metric,algorithm,comparison,value,unit
required_esn0_at_fer_0.1,BP,N640_vs_N480_reduction,5.970,dB
required_esn0_at_fer_0.1,NMS,N640_vs_N480_reduction,5.930,dB
required_esn0_at_fer_0.01,BP,N640_vs_N480_reduction,6.634,dB
required_esn0_at_fer_0.01,NMS,N640_vs_N480_reduction,6.638,dB
required_esn0_at_fer_0.1,BP,N560_vs_N480_reduction,0.146,dB
required_esn0_at_fer_0.1,NMS,N560_vs_N480_reduction,0.123,dB
required_esn0_at_fer_0.01,BP,N560_vs_N480_reduction,0.090,dB
required_esn0_at_fer_0.01,NMS,N560_vs_N480_reduction,0.100,dB
mean_relative_gain_ber,BP,N560_vs_N480,-0.587,dB
mean_relative_gain_fer,BP,N560_vs_N480,-0.576,dB
mean_relative_gain_ber,NMS,N560_vs_N480,-0.598,dB
mean_relative_gain_fer,NMS,N560_vs_N480,-0.532,dB
mean_relative_gain_ber,BP,N640_vs_N480,3.462,dB
mean_relative_gain_fer,BP,N640_vs_N480,5.167,dB
mean_relative_gain_ber,NMS,N640_vs_N480,3.591,dB
mean_relative_gain_fer,NMS,N640_vs_N480,5.318,dB
mean_decode_time_reduction_at_fer_0.1,NMS_vs_BP,N480,69.2,percent
mean_decode_time_reduction_at_fer_0.1,NMS_vs_BP,N560,64.9,percent
mean_decode_time_reduction_at_fer_0.1,NMS_vs_BP,N640,74.5,percent
p95_decode_time_reduction_at_fer_0.1,NMS_vs_BP,N480,72.0,percent
p95_decode_time_reduction_at_fer_0.1,NMS_vs_BP,N560,71.0,percent
p95_decode_time_reduction_at_fer_0.1,NMS_vs_BP,N640,74.9,percent

