caseName,pattern,errorKind,payload,motherCodeword,shortenedCodeword,received,syndromes,allZeroSyndrome,nonzeroSyndromeCount,locator,locatorDegree,rootPositions,shortenedErrorPositions,rootsInShortenedPrefix,correctedShortened,decodedPayload,postSyndromes,postSyndromeZero,bmIterationCount,failureReason,status,truePayloadRecovered,reportedSuccess,miscorrected
BCH-B200,0,T_PLUS_1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000001000000000000000000000000000010000000000000000000000000000100000000000000000000000000001000000000000000000000000000010000000000000000000000000000100000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000,122:224:238:170:130:254:253:35:252:23:241:227,0,12,1:122:192:21:247:12:124,6,118:177:219,111:170:212,0,00000001000000000000000000000000000010000000000000000000000000000100000000000000000000000000001000000000000000000000000000010000000000000000000000000000100000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000,00000001000000000000000000000000000010000000000000000000000000000100000000000000000000000000001000000000000000000000000000010000000000000000000000000000100000000000000000000000000001000000000000000000,122:224:238:170:130:254:253:35:252:23:241:227,0,12,root count differs from locator degree,INVALID_ROOT_COUNT,0,0,0
BCH-B200,0,T_PLUS_2,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000001000000000000000000000000000010000000000000000000000000000100000000000000000000000000001000000000000000000000000000010000000000000000000000000000100000000000000000000000000001000000000000000000000000000010000000000000000000000000000000000000,48:105:32:248:181:116:237:247:132:107:184:180,0,12,1:48:215:81:74:142:187,6,187,180,0,00000001000000000000000000000000000010000000000000000000000000000100000000000000000000000000001000000000000000000000000000010000000000000000000000000000100000000000000000000000000001000000000000000000000000000010000000000000000000000000000000000000,00000001000000000000000000000000000010000000000000000000000000000100000000000000000000000000001000000000000000000000000000010000000000000000000000000000100000000000000000000000000001000000000000000000,48:105:32:248:181:116:237:247:132:107:184:180,0,12,root count differs from locator degree,INVALID_ROOT_COUNT,0,0,0
BCH-B200,0,HIGH_WEIGHT,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000001000000000000100000000000000010000000000001000000000000000100000000000000000000000000001000000000000000000000000000010000000000000000000000000000100000000000000000000000000001000000000000000000000000000010000000000000000000000000000100000000,186:62:119:61:135:177:172:56:68:6:23:123,0,12,1:186:199:59:40:170:26,6,218,211,0,00000001000000000000100000000000000010000000000001000000000000000100000000000000000000000000001000000000000000000000000000010000000000000000000000000000100000000000000000000000000001000000000000000000000000000010000000000000000000000000000100000000,00000001000000000000100000000000000010000000000001000000000000000100000000000000000000000000001000000000000000000000000000010000000000000000000000000000100000000000000000000000000001000000000000000000,186:62:119:61:135:177:172:56:68:6:23:123,0,12,root count differs from locator degree,INVALID_ROOT_COUNT,0,0,0
BCH-B200,1,T_PLUS_1,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111010010101111110011000011100010100000010010110011,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111010010101111110011000011100010100000010010110011,10000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111010010101111110011000011100010100000010010110011,101:168:173:39:137:54:235:97:160:82:202:125,0,12,1:101:66:220:77:89:64,6,,,0,10000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111010010101111110011000011100010100000010010110011,10000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,101:168:173:39:137:54:235:97:160:82:202:125,0,12,root count differs from locator degree,INVALID_ROOT_COUNT,0,0,0
BCH-B200,1,T_PLUS_2,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111010010101111110011000011100010100000010010110011,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111010010101111110011000011100010100000010010110011,10000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111010010101111110011000011100010100000010010110011,115:161:11:102:118:69:191:173:110:176:58:220,0,12,1:115:42:30:242:138:27,6,,,0,10000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111010010101111110011000011100010100000010010110011,10000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,115:161:11:102:118:69:191:173:110:176:58:220,0,12,root count differs from locator degree,INVALID_ROOT_COUNT,0,0,0
BCH-B200,1,HIGH_WEIGHT,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111010010101111110011000011100010100000010010110011,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111010010101111110011000011100010100000010010110011,10000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111010010101111110011000011100010100000010010110011,56:41:233:53:214:235:11:120:247:215:134:239,0,12,1:56:185:31:72:164:56,6,,,0,10000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111010010101111110011000011100010100000010010110011,10000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,56:41:233:53:214:235:11:120:247:215:134:239,0,12,root count differs from locator degree,INVALID_ROOT_COUNT,0,0,0
BCH-B200,2,T_PLUS_1,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,000000001010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101001110011010101110111110100001100000001110010001,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101001110011010101110111110100001100000001110010001,01001011010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101001110011010101110111110100001100000001110010110,104:249:164:246:180:119:153:163:237:106:191:177,0,12,1:104:58:61:231:121:192,6,211,204,0,01001011010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101001110011010101110111110100001100000001110010110,01001011010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,104:249:164:246:180:119:153:163:237:106:191:177,0,12,root count differs from locator degree,INVALID_ROOT_COUNT,0,0,0
BCH-B200,2,T_PLUS_2,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,000000001010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101001110011010101110111110100001100000001110010001,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101001110011010101110111110100001100000001110010001,01011010010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101001110011010101110111110100001100000001110011110,182:110:77:237:24:156:18:251:62:93:157:94,0,12,1:182:124:147:202:91:149,6,,,0,01011010010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101001110011010101110111110100001100000001110011110,01011010010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,182:110:77:237:24:156:18:251:62:93:157:94,0,12,root count differs from locator degree,INVALID_ROOT_COUNT,0,0,0
BCH-B200,2,HIGH_WEIGHT,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,000000001010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101001110011010101110111110100001100000001110010001,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101001110011010101110111110100001100000001110010001,01010010101101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101001110011010101110111110100001100000001110001110,77:156:149:94:113:31:181:132:14:165:101:72,0,12,1:77:134:249:220:140:40,6,162,155,0,01010010101101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101001110011010101110111110100001100000001110001110,01010010101101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,77:156:149:94:113:31:181:132:14:165:101:72,0,12,root count differs from locator degree,INVALID_ROOT_COUNT,0,0,0
BCH-B200,3,T_PLUS_1,10101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010,000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010011100110101011101111101000011000000011100100010,10101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010011100110101011101111101000011000000011100100010,10101010101010101010100010101010101010101010101010101010101010101010101010111010101010101010101010101010101010111010101010101010001010101010101010101010101010101010001010101010101011101010101010101010011100110101011100111101000011000000011100100010,57:40:233:52:69:235:82:121:16:220:107:239,0,12,1:57:148:205:91:12:100,6,,,0,10101010101010101010100010101010101010101010101010101010101010101010101010111010101010101010101010101010101010111010101010101010001010101010101010101010101010101010001010101010101011101010101010101010011100110101011100111101000011000000011100100010,10101010101010101010100010101010101010101010101010101010101010101010101010111010101010101010101010101010101010111010101010101010001010101010101010101010101010101010001010101010101011101010101010101010,57:40:233:52:69:235:82:121:16:220:107:239,0,12,root count differs from locator degree,INVALID_ROOT_COUNT,0,0,0
