caseName,blockIndex,localPosition,globalPosition,payloadBits,originalEncodedBits,receivedBits,status,lookupHit,correctedPosition,correctedCodeword,decodedBlockMessage,recoveredPayload,correctedBlocks,paddedInformationWrongBlocks,originalPayloadWrongBlocks,fillerOnlyInformationMismatchBlocks,payloadRecovered,pass
BCH-S200,0,0,0,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,110101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,0,010101010100100,01010101010,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,0,1,1,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,000101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,1,010101010100100,01010101010,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,0,2,2,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,011101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,2,010101010100100,01010101010,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,0,3,3,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010001010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,3,010101010100100,01010101010,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,0,4,4,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010111010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,4,010101010100100,01010101010,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,0,5,5,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010100010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,5,010101010100100,01010101010,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,0,6,6,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010101110100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,6,010101010100100,01010101010,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,0,7,7,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010101000100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,7,010101010100100,01010101010,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,0,8,8,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010101011100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,8,010101010100100,01010101010,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,0,9,9,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010101010000100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,9,010101010100100,01010101010,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
