caseName,lastBlockIndex,localPosition,globalPosition,bitClass,status,correctedPosition,payloadRecovered,pass
BCH-S200,18,0,270,payload,CORRECTED_SINGLE_ERROR,0,true,true
BCH-S200,18,1,271,payload,CORRECTED_SINGLE_ERROR,1,true,true
BCH-S200,18,2,272,filler,CORRECTED_SINGLE_ERROR,2,true,true
BCH-S200,18,3,273,filler,CORRECTED_SINGLE_ERROR,3,true,true
BCH-S200,18,4,274,filler,CORRECTED_SINGLE_ERROR,4,true,true
BCH-S200,18,5,275,filler,CORRECTED_SINGLE_ERROR,5,true,true
BCH-S200,18,6,276,filler,CORRECTED_SINGLE_ERROR,6,true,true
BCH-S200,18,7,277,filler,CORRECTED_SINGLE_ERROR,7,true,true
BCH-S200,18,8,278,filler,CORRECTED_SINGLE_ERROR,8,true,true
BCH-S200,18,9,279,filler,CORRECTED_SINGLE_ERROR,9,true,true
BCH-S200,18,10,280,filler,CORRECTED_SINGLE_ERROR,10,true,true
BCH-S200,18,11,281,parity,CORRECTED_SINGLE_ERROR,11,true,true
BCH-S200,18,12,282,parity,CORRECTED_SINGLE_ERROR,12,true,true
BCH-S200,18,13,283,parity,CORRECTED_SINGLE_ERROR,13,true,true
BCH-S200,18,14,284,parity,CORRECTED_SINGLE_ERROR,14,true,true
BCH-S300,27,0,405,payload,CORRECTED_SINGLE_ERROR,0,true,true
BCH-S300,27,1,406,payload,CORRECTED_SINGLE_ERROR,1,true,true
BCH-S300,27,2,407,payload,CORRECTED_SINGLE_ERROR,2,true,true
BCH-S300,27,3,408,filler,CORRECTED_SINGLE_ERROR,3,true,true
BCH-S300,27,4,409,filler,CORRECTED_SINGLE_ERROR,4,true,true
BCH-S300,27,5,410,filler,CORRECTED_SINGLE_ERROR,5,true,true
BCH-S300,27,6,411,filler,CORRECTED_SINGLE_ERROR,6,true,true
BCH-S300,27,7,412,filler,CORRECTED_SINGLE_ERROR,7,true,true
BCH-S300,27,8,413,filler,CORRECTED_SINGLE_ERROR,8,true,true
BCH-S300,27,9,414,filler,CORRECTED_SINGLE_ERROR,9,true,true
BCH-S300,27,10,415,filler,CORRECTED_SINGLE_ERROR,10,true,true
BCH-S300,27,11,416,parity,CORRECTED_SINGLE_ERROR,11,true,true
BCH-S300,27,12,417,parity,CORRECTED_SINGLE_ERROR,12,true,true
BCH-S300,27,13,418,parity,CORRECTED_SINGLE_ERROR,13,true,true
BCH-S300,27,14,419,parity,CORRECTED_SINGLE_ERROR,14,true,true
