caseName,scenarioName,blockIndex,localPositions,payloadBits,originalCodeword,receivedCodeword,status,lookupHit,correctedPosition,correctedCodeword,decodedBlockMessage,codewordRecovered,payloadRecovered,blockInformationWrong,originalPayloadWrong,fillerOnlyInformationMismatch,reportedSuccessWrongBlockInformation,reportedSuccessWrongOriginalPayload,pass
BCH-S200,two_payload,0,0;1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,000000000000000,110000000000000,CORRECTED_SINGLE_ERROR,true,12,110000000000100,11000000000,false,false,true,true,false,1,1,true
BCH-S200,payload_parity,0,0;11,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,000000000000000,100000000001000,CORRECTED_SINGLE_ERROR,true,14,100000000001001,10000000000,false,false,true,true,false,1,1,true
BCH-S200,two_parity,0,11;12,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,000000000000000,000000000001100,CORRECTED_SINGLE_ERROR,true,8,000000001001100,00000000100,false,false,true,true,false,1,1,true
BCH-S200,payload_filler,18,0;2,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,010000000001101,111000000001101,CORRECTED_SINGLE_ERROR,true,9,111000000101101,11100000010,false,false,true,true,false,1,1,true
BCH-S200,two_filler,18,2;3,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,010000000001101,011100000001101,CORRECTED_SINGLE_ERROR,true,14,011100000001100,01110000000,false,true,true,false,true,1,0,true
BCH-S200,filler_parity,18,2;11,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,010000000001101,011000000000101,CORRECTED_SINGLE_ERROR,true,4,011010000000101,01101000000,false,true,true,false,true,1,0,true
BCH-S300,two_payload,0,0;1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,000000000000000,110000000000000,CORRECTED_SINGLE_ERROR,true,12,110000000000100,11000000000,false,false,true,true,false,1,1,true
BCH-S300,payload_parity,0,0;11,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,000000000000000,100000000001000,CORRECTED_SINGLE_ERROR,true,14,100000000001001,10000000000,false,false,true,true,false,1,1,true
BCH-S300,two_parity,0,11;12,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,000000000000000,000000000001100,CORRECTED_SINGLE_ERROR,true,8,000000001001100,00000000100,false,false,true,true,false,1,1,true
BCH-S300,payload_filler,27,0;3,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,001000000001111,101100000001111,CORRECTED_SINGLE_ERROR,true,4,101110000001111,10111000000,false,false,true,true,false,1,1,true
BCH-S300,two_filler,27,3;4,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,001000000001111,001110000001111,CORRECTED_SINGLE_ERROR,true,0,101110000001111,10111000000,false,false,true,true,false,1,1,true
BCH-S300,filler_parity,27,3;11,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,001000000001111,001100000000111,CORRECTED_SINGLE_ERROR,true,9,001100000100111,00110000010,false,true,true,false,true,1,0,true
