requirement,implementation_location,positive_test,negative_test,gate_condition
explicit_case_and_lengths,current/include/bch_segmented/bch15_segmented_adapter.hpp;current/src/bch15_segmented_adapter.cpp,S200_and_S300_profiles,case_payload_or_encoded_length_mismatch,rejected_mismatch
filler_index_mapping,current/src/bch15_segmented_adapter.cpp;current/tests/test_bch15_segmented_adapter.cpp,S200_last_block_2_payload_9_filler_and_S300_last_block_3_payload_8_filler,last_block_boundary_checks,exact_tail_trim
status_preservation,current/src/bch15_segmented_adapter.cpp,POST_CHECK_FAILED_and_UNRECOGNIZED_SYNDROME_keep_returned_information_bits,failed_status_not_reported_as_truth_success,status_retained
pool_reproducibility,current/tests/test_bch15_segmented_adapter.cpp,frameIndex_0_to_99_for_both_Common_pools,wrong_pool_id_or_payload_length,pool_100_plus_100_recovered
common_rate_reuse,current/src/bch15_segmented_adapter.cpp;current/tests/test_bch15_segmented_adapter.cpp,computeCodeRate_200_285_and_300_420,wrong_rate_or_lengths,reuses_Common_computeCodeRate
single_error_recovery,current/tests/test_bch15_segmented_adapter.cpp,S200_9_blocks_x_15_and_S300_8_blocks_x_15,wrong_position_or_payload,single_error_mismatch_0
multi_block_single_error,current/tests/test_bch15_segmented_adapter.cpp,first_last_adjacent_spread_and_every_block_one_error,payload_or_corrected_count_wrong,multi_block_single_error_mismatch_0
same_block_double_error_audit,current/tests/test_bch15_segmented_adapter.cpp,payload_parity_filler_double_error_classes,status_vs_truth_confusion,double_error_classified
filler_boundary_audit,current/tests/test_bch15_segmented_adapter.cpp,every_last_block_position_for_S200_and_S300,wrong_payload_filler_parity_class,filler_boundary_mismatch_0
output_isolation,current/CMakeLists.txt,CTest_outputs_under_build_test_outputs,historical_stage_directory_as_output,no_historical_stage_diff
