rowId,payloadLength,encodedLength,actual_rate,ebn0_db,bit,z
0,200,285,0.70175438596491224,-1.5,0,-2.25
1,200,285,0.70175438596491224,-1.5,1,-0.40000000000000002
2,200,285,0.70175438596491224,-1.5,0,0
3,200,285,0.70175438596491224,-1.5,1,0.34999999999999998
4,200,285,0.70175438596491224,-1.5,0,1.75
5,200,248,0.80645161290322576,0,1,-2.25
6,200,248,0.80645161290322576,0,0,-0.40000000000000002
7,200,248,0.80645161290322576,0,1,0
8,200,248,0.80645161290322576,0,0,0.34999999999999998
9,200,248,0.80645161290322576,0,1,1.75
10,300,420,0.7142857142857143,3.25,0,-2.25
11,300,420,0.7142857142857143,3.25,1,-0.40000000000000002
12,300,420,0.7142857142857143,3.25,0,0
13,300,420,0.7142857142857143,3.25,1,0.34999999999999998
14,300,420,0.7142857142857143,3.25,0,1.75
15,300,390,0.76923076923076927,7,1,-2.25
16,300,390,0.76923076923076927,7,0,-0.40000000000000002
17,300,390,0.76923076923076927,7,1,0
18,300,390,0.76923076923076927,7,0,0.34999999999999998
19,300,390,0.76923076923076927,7,1,1.75
