caseId,blockIndex,payloadBits,fillerBits,shorteningBits,motherK,motherN,encodedLength,informationEquationPass,encodedEquationPass,blockWithin1000Pass
K200_S15,0,11,0,0,11,15,15,true,true,true
K200_S15,1,11,0,0,11,15,15,true,true,true
K200_S15,2,11,0,0,11,15,15,true,true,true
K200_S15,3,11,0,0,11,15,15,true,true,true
K200_S15,4,11,0,0,11,15,15,true,true,true
K200_S15,5,11,0,0,11,15,15,true,true,true
K200_S15,6,11,0,0,11,15,15,true,true,true
K200_S15,7,11,0,0,11,15,15,true,true,true
K200_S15,8,11,0,0,11,15,15,true,true,true
K200_S15,9,11,0,0,11,15,15,true,true,true
K200_S15,10,11,0,0,11,15,15,true,true,true
K200_S15,11,11,0,0,11,15,15,true,true,true
K200_S15,12,11,0,0,11,15,15,true,true,true
K200_S15,13,11,0,0,11,15,15,true,true,true
K200_S15,14,11,0,0,11,15,15,true,true,true
K200_S15,15,11,0,0,11,15,15,true,true,true
K200_S15,16,11,0,0,11,15,15,true,true,true
K200_S15,17,11,0,0,11,15,15,true,true,true
K200_S15,18,2,9,0,11,15,15,true,true,true
K200_M255K207,0,200,0,7,207,255,248,true,true,true
K200_M511K421,0,200,0,221,421,511,290,true,true,true
K200_M511K385,0,200,0,185,385,511,326,true,true,true
K300_S15,0,11,0,0,11,15,15,true,true,true
K300_S15,1,11,0,0,11,15,15,true,true,true
K300_S15,2,11,0,0,11,15,15,true,true,true
K300_S15,3,11,0,0,11,15,15,true,true,true
K300_S15,4,11,0,0,11,15,15,true,true,true
K300_S15,5,11,0,0,11,15,15,true,true,true
K300_S15,6,11,0,0,11,15,15,true,true,true
K300_S15,7,11,0,0,11,15,15,true,true,true
K300_S15,8,11,0,0,11,15,15,true,true,true
K300_S15,9,11,0,0,11,15,15,true,true,true
K300_S15,10,11,0,0,11,15,15,true,true,true
K300_S15,11,11,0,0,11,15,15,true,true,true
K300_S15,12,11,0,0,11,15,15,true,true,true
K300_S15,13,11,0,0,11,15,15,true,true,true
K300_S15,14,11,0,0,11,15,15,true,true,true
K300_S15,15,11,0,0,11,15,15,true,true,true
K300_S15,16,11,0,0,11,15,15,true,true,true
K300_S15,17,11,0,0,11,15,15,true,true,true
K300_S15,18,11,0,0,11,15,15,true,true,true
K300_S15,19,11,0,0,11,15,15,true,true,true
K300_S15,20,11,0,0,11,15,15,true,true,true
K300_S15,21,11,0,0,11,15,15,true,true,true
K300_S15,22,11,0,0,11,15,15,true,true,true
K300_S15,23,11,0,0,11,15,15,true,true,true
K300_S15,24,11,0,0,11,15,15,true,true,true
K300_S15,25,11,0,0,11,15,15,true,true,true
K300_S15,26,11,0,0,11,15,15,true,true,true
K300_S15,27,3,8,0,11,15,15,true,true,true
K300_M255K207,0,150,0,57,207,255,198,true,true,true
K300_M255K207,1,150,0,57,207,255,198,true,true,true
K300_M511K421,0,300,0,121,421,511,390,true,true,true
K300_M511K385,0,300,0,85,385,511,426,true,true,true
