caseId,patternId,errorWeight,cppStatus,recoveredMismatchBits,cppRecoveredMismatchBits,matlabTrueSuccess,passed
K200_S15,0,0,TRUE_SUCCESS,0,0,1,1
K200_S15,6,1,TRUE_SUCCESS,0,0,1,1
K200_M255K207,0,0,TRUE_SUCCESS,0,0,1,1
K200_M255K207,36,6,TRUE_SUCCESS,0,0,1,1
K200_M511K421,0,0,TRUE_SUCCESS,0,0,1,1
K200_M511K421,60,10,TRUE_SUCCESS,0,0,1,1
K200_M511K385,0,0,TRUE_SUCCESS,0,0,1,1
K200_M511K385,84,14,TRUE_SUCCESS,0,0,1,1
K300_S15,0,0,TRUE_SUCCESS,0,0,1,1
K300_S15,6,1,TRUE_SUCCESS,0,0,1,1
K300_M255K207,0,0,TRUE_SUCCESS,0,0,1,1
K300_M255K207,36,6,TRUE_SUCCESS,0,0,1,1
K300_M511K421,0,0,TRUE_SUCCESS,0,0,1,1
K300_M511K421,60,10,TRUE_SUCCESS,0,0,1,1
K300_M511K385,0,0,TRUE_SUCCESS,0,0,1,1
K300_M511K385,84,14,TRUE_SUCCESS,0,0,1,1
