caseId,patternId,blockIndex,errorWeight,patternName,status,failedBlocks,correctedBlocks,noErrorBlocks,withinCapability,guaranteePass
K200_S15,0,0,0,RANDOM,TRUE_SUCCESS,0,0,19,1,1
K200_S15,1,0,1,SYSTEMATIC,TRUE_SUCCESS,0,1,18,1,1
K200_S15,2,0,1,PARITY,TRUE_SUCCESS,0,1,18,1,1
K200_S15,3,0,1,HEAD_TAIL,TRUE_SUCCESS,0,1,18,1,1
K200_S15,4,0,1,CONTIGUOUS,TRUE_SUCCESS,0,1,18,1,1
K200_S15,5,0,1,SYSTEMATIC_PARITY_BOUNDARY,TRUE_SUCCESS,0,1,18,1,1
K200_S15,6,0,1,RANDOM,TRUE_SUCCESS,0,1,18,1,1
K200_S15,7,0,2,SYSTEMATIC,MISCORRECTION,0,1,18,0,1
K200_S15,8,0,2,PARITY,MISCORRECTION,0,1,18,0,1
K200_S15,9,0,2,HEAD_TAIL,MISCORRECTION,0,1,18,0,1
K200_S15,10,0,2,CONTIGUOUS,MISCORRECTION,0,1,18,0,1
K200_S15,11,0,2,SYSTEMATIC_PARITY_BOUNDARY,MISCORRECTION,0,1,18,0,1
K200_S15,12,0,2,RANDOM,MISCORRECTION,0,1,18,0,1
K200_S15,13,0,3,SYSTEMATIC,MISCORRECTION,0,1,18,0,1
K200_S15,14,0,3,PARITY,MISCORRECTION,0,1,18,0,1
K200_S15,15,0,3,HEAD_TAIL,MISCORRECTION,0,1,18,0,1
K200_S15,16,0,3,CONTIGUOUS,MISCORRECTION,0,1,18,0,1
K200_S15,17,0,3,SYSTEMATIC_PARITY_BOUNDARY,MISCORRECTION,0,1,18,0,1
K200_S15,18,0,3,RANDOM,MISCORRECTION,0,1,18,0,1
K200_S15,19,1,0,RANDOM,TRUE_SUCCESS,0,0,19,1,1
K200_S15,20,1,1,SYSTEMATIC,TRUE_SUCCESS,0,1,18,1,1
K200_S15,21,1,1,PARITY,TRUE_SUCCESS,0,1,18,1,1
K200_S15,22,1,1,HEAD_TAIL,TRUE_SUCCESS,0,1,18,1,1
K200_S15,23,1,1,CONTIGUOUS,TRUE_SUCCESS,0,1,18,1,1
K200_S15,24,1,1,SYSTEMATIC_PARITY_BOUNDARY,TRUE_SUCCESS,0,1,18,1,1
K200_S15,25,1,1,RANDOM,TRUE_SUCCESS,0,1,18,1,1
K200_S15,26,1,2,SYSTEMATIC,MISCORRECTION,0,1,18,0,1
K200_S15,27,1,2,PARITY,MISCORRECTION,0,1,18,0,1
K200_S15,28,1,2,HEAD_TAIL,MISCORRECTION,0,1,18,0,1
K200_S15,29,1,2,CONTIGUOUS,MISCORRECTION,0,1,18,0,1
K200_S15,30,1,2,SYSTEMATIC_PARITY_BOUNDARY,MISCORRECTION,0,1,18,0,1
K200_S15,31,1,2,RANDOM,MISCORRECTION,0,1,18,0,1
K200_S15,32,1,3,SYSTEMATIC,MISCORRECTION,0,1,18,0,1
K200_S15,33,1,3,PARITY,MISCORRECTION,0,1,18,0,1
K200_S15,34,1,3,HEAD_TAIL,MISCORRECTION,0,1,18,0,1
K200_S15,35,1,3,CONTIGUOUS,MISCORRECTION,0,1,18,0,1
K200_S15,36,1,3,SYSTEMATIC_PARITY_BOUNDARY,MISCORRECTION,0,1,18,0,1
K200_S15,37,1,3,RANDOM,MISCORRECTION,0,1,18,0,1
K200_S15,38,2,0,RANDOM,TRUE_SUCCESS,0,0,19,1,1
K200_S15,39,2,1,SYSTEMATIC,TRUE_SUCCESS,0,1,18,1,1
K200_S15,40,2,1,PARITY,TRUE_SUCCESS,0,1,18,1,1
K200_S15,41,2,1,HEAD_TAIL,TRUE_SUCCESS,0,1,18,1,1
K200_S15,42,2,1,CONTIGUOUS,TRUE_SUCCESS,0,1,18,1,1
K200_S15,43,2,1,SYSTEMATIC_PARITY_BOUNDARY,TRUE_SUCCESS,0,1,18,1,1
K200_S15,44,2,1,RANDOM,TRUE_SUCCESS,0,1,18,1,1
K200_S15,45,2,2,SYSTEMATIC,MISCORRECTION,0,1,18,0,1
K200_S15,46,2,2,PARITY,MISCORRECTION,0,1,18,0,1
K200_S15,47,2,2,HEAD_TAIL,MISCORRECTION,0,1,18,0,1
K200_S15,48,2,2,CONTIGUOUS,MISCORRECTION,0,1,18,0,1
K200_S15,49,2,2,SYSTEMATIC_PARITY_BOUNDARY,MISCORRECTION,0,1,18,0,1
K200_S15,50,2,2,RANDOM,MISCORRECTION,0,1,18,0,1
K200_S15,51,2,3,SYSTEMATIC,MISCORRECTION,0,1,18,0,1
K200_S15,52,2,3,PARITY,MISCORRECTION,0,1,18,0,1
K200_S15,53,2,3,HEAD_TAIL,MISCORRECTION,0,1,18,0,1
K200_S15,54,2,3,CONTIGUOUS,MISCORRECTION,0,1,18,0,1
K200_S15,55,2,3,SYSTEMATIC_PARITY_BOUNDARY,MISCORRECTION,0,1,18,0,1
K200_S15,56,2,3,RANDOM,MISCORRECTION,0,1,18,0,1
K200_S15,57,3,0,RANDOM,TRUE_SUCCESS,0,0,19,1,1
K200_S15,58,3,1,SYSTEMATIC,TRUE_SUCCESS,0,1,18,1,1
K200_S15,59,3,1,PARITY,TRUE_SUCCESS,0,1,18,1,1
K200_S15,60,3,1,HEAD_TAIL,TRUE_SUCCESS,0,1,18,1,1
K200_S15,61,3,1,CONTIGUOUS,TRUE_SUCCESS,0,1,18,1,1
K200_S15,62,3,1,SYSTEMATIC_PARITY_BOUNDARY,TRUE_SUCCESS,0,1,18,1,1
K200_S15,63,3,1,RANDOM,TRUE_SUCCESS,0,1,18,1,1
K200_S15,64,3,2,SYSTEMATIC,MISCORRECTION,0,1,18,0,1
K200_S15,65,3,2,PARITY,MISCORRECTION,0,1,18,0,1
K200_S15,66,3,2,HEAD_TAIL,MISCORRECTION,0,1,18,0,1
K200_S15,67,3,2,CONTIGUOUS,MISCORRECTION,0,1,18,0,1
K200_S15,68,3,2,SYSTEMATIC_PARITY_BOUNDARY,MISCORRECTION,0,1,18,0,1
K200_S15,69,3,2,RANDOM,MISCORRECTION,0,1,18,0,1
K200_S15,70,3,3,SYSTEMATIC,MISCORRECTION,0,1,18,0,1
K200_S15,71,3,3,PARITY,MISCORRECTION,0,1,18,0,1
K200_S15,72,3,3,HEAD_TAIL,MISCORRECTION,0,1,18,0,1
K200_S15,73,3,3,CONTIGUOUS,MISCORRECTION,0,1,18,0,1
