caseName,ebn0Db,snrIndex,frameIndex,noiseHash,channelHardBitErrors,decodedBitErrors,trueSuccess,reportedSuccess,miscorrected,decoderFailure,frameStatus
BCH-S200,6,60,0,df2912d8e81baa63f7e59cf62485c4a3aa6a8d0219cce46707f8c52f88450dda,2,0,1,1,0,0,CORRECTED
BCH-S200,6,60,1,81e070b1e9874bfe84159358b947e8db5554b02fefa49b6744f7dcb22c95db5a,2,0,1,1,0,0,CORRECTED
BCH-S200,6,60,2,49321ea48a9baeb9a4c33105452d2a51a611af500b27139e3212eecf447cecb7,5,2,0,1,1,0,CORRECTED
BCH-S200,6,60,3,98ace016a99928459ac1e826f10db3b290d1a26d3e23c0dd8c8f229d28fcfa6a,0,0,1,1,0,0,NO_ERROR
BCH-S200,6,60,4,35ea412645e5e3cc984cbd11232fe42e7ed87fce5358f865e5a40d9ec1bf0a0c,2,0,1,1,0,0,CORRECTED
BCH-S200,6,60,5,bbbbc47abdf466a621216282ba73d67bb899e9924eeb9ad94e406f1b34611097,1,0,1,1,0,0,CORRECTED
BCH-S200,6,60,6,3efc0a1fdd0fe421fd3f50ce8177f082bb6c98f50e51c457371b02588d422127,3,0,1,1,0,0,CORRECTED
BCH-S200,6,60,7,b0c478e40ada895ed048f3189ec1ceaa82e1423374e6801ad9b1c7cd59688347,2,0,1,1,0,0,CORRECTED
BCH-S200,6,60,8,bed173c6aa7277422ca7c743f21586e298e7b2a215ce11fed8c9390b881f6a17,4,0,1,1,0,0,CORRECTED
BCH-S200,6,60,9,87e84d4052ef285ded6aa029e631b86973028284f04a4a89731e2872287f2735,4,0,1,1,0,0,CORRECTED
BCH-S200,6,60,10,6fbaaa3dabb84068a71ec5d86742b4aedb7a94235c636463010da5b60cd97f40,2,0,1,1,0,0,CORRECTED
BCH-S200,6,60,11,f04ea4ced97e5264b481c6c32015ce66a72d368908ef4dcf2f72a242ff730fa0,1,0,1,1,0,0,CORRECTED
BCH-S200,6,60,12,e8aff275f63b56e151b676ecad48d44858f67f6c52d7e27c4a7504210fc891d6,6,1,0,1,1,0,CORRECTED
BCH-S200,6,60,13,36ae40fd43c2034a215f573052e0b4f37743a7e365011e65c4def901a960d26f,0,0,1,1,0,0,NO_ERROR
BCH-S200,6,60,14,1d1c8176de2d60c991b3df6a0f888a6ef25c3cda24da720eddf7d3e3b1513f9f,6,0,1,1,0,0,CORRECTED
BCH-S200,6,60,15,7411fa2ad4bae8f3c8dad19f78f2015503f6e36afa840bba8bd96c2da4b1e5a1,1,0,1,1,0,0,CORRECTED
BCH-S200,6,60,16,8cbc4440736b97c6c45e8dce5956ea54848b229ad8e1b0d64f1121e57b383826,1,0,1,1,0,0,CORRECTED
BCH-S200,6,60,17,77e17c47f8a9980f35a9bbf9cfc456ba130ccea1cf48d352b705e26cd565e465,2,0,1,1,0,0,CORRECTED
BCH-S200,6,60,18,a93b188e122166a315745a794816c27db0980a96c9ebe2b1ee10886daa3984cb,4,0,1,1,0,0,CORRECTED
BCH-S200,6,60,19,8d035c9e00ac8b052dfa870ceca30c1d7db713abb5ca99c18738c813ad525970,1,0,1,1,0,0,CORRECTED
BCH-S200,6,60,20,3d0989ab7c6b68f8db9f7729472904aefc0cde4f267c3d5377279ec0697fd824,2,0,1,1,0,0,CORRECTED
BCH-S200,6,60,21,f1f45e6c0e24d1717de558124dfdb7af807765d9e9341bf0e63998d23752ad31,5,0,1,1,0,0,CORRECTED
BCH-S200,6,60,22,44ee12561ec4158c7fe4c0371f71665758ef16bb0f8eb83da52dc880add97c0f,3,0,1,1,0,0,CORRECTED
BCH-S200,6,60,23,9beeffb6b983dd187d359c1e0c75efe1f6b8d2606775dea9c7cc68e314915487,0,0,1,1,0,0,NO_ERROR
BCH-S200,6,60,24,491db0695129d8b2deadbeda6ada4d1d21d7d9c07c58aa32b4f77a0f26bf43f3,1,0,1,1,0,0,CORRECTED
BCH-S200,6,60,25,834b0e46ac6e067764d5ff9d87f3e7d89de47d0bc7e5f5d4259a2a66586ea0aa,2,0,1,1,0,0,CORRECTED
BCH-S200,6,60,26,960b92d1e795791968ccc805abd544c14bf4be0a67fbb17f7ae5ca15a1decbc9,2,1,0,1,1,0,CORRECTED
BCH-S200,6,60,27,69b938181387a0500b75b9f8a0aafe1e3b20bf390004442e1efc5e5cb5a9e90d,2,0,1,1,0,0,CORRECTED
BCH-S200,6,60,28,5672f768e0cb7df50d78a8e9b870f2e0d5b11df5f4a0dce7097932d3133f43a3,2,0,1,1,0,0,CORRECTED
BCH-S200,6,60,29,7c18bd63fadd52ea5415f7caa08f3a73319a72b1ab400d703de0d59e39a7e302,2,0,1,1,0,0,CORRECTED
BCH-S200,6,60,30,24bda90dfaeffa107bcfe8aed904742ad49fd9c68d42f5d67f93c3ff992c9230,4,0,1,1,0,0,CORRECTED
BCH-S200,6,60,31,55edaeb201dda52e67e1cf57c07bde265ef708e9e32fa6c6ba5ee6da4f2a0a43,1,0,1,1,0,0,CORRECTED
BCH-S200,6,60,32,f9455b73ffd4bf8e1435dff367e3a83508291f1a34593f9bfafa13195c29cf71,4,0,1,1,0,0,CORRECTED
BCH-S200,6,60,33,bc732a81ff70d9dd3e4caab87a1dd8b85962a62332d107cf3fada92fd6d47beb,1,0,1,1,0,0,CORRECTED
BCH-S200,6,60,34,72d18ce6aba096663dc3bc5c8958065f52541a7e7127c34748e2c65d5c4e2147,7,2,0,1,1,0,CORRECTED
BCH-S200,6,60,35,1280dcf7815a26cf9186b4e1586be98128e990dfefbdd4fff7d74d5ae310f7f9,1,0,1,1,0,0,CORRECTED
BCH-S200,6,60,36,19ad661e3a06fc4e705167df1bb4312d669cdc6e57c7465b709538abb7a55c32,2,0,1,1,0,0,CORRECTED
BCH-S200,6,60,37,c6c61cd79778e399241129c79a66c775f9cc129abe3271b12bfedf0b74ea2ca8,1,0,1,1,0,0,CORRECTED
BCH-S200,6,60,38,b3a857c652f1c33b13a56f2ec64888d685b411b242d73ade641399a95b4f7e87,3,0,1,1,0,0,CORRECTED
BCH-S200,6,60,39,27e91bd30e0f162fe0ea8ab9ffa8b43ac38014acc63b2783b589d07cbf5e78ab,0,0,1,1,0,0,NO_ERROR
BCH-S200,6,60,40,f1b0725e9bef8ae961e957e60a3839f2df79d48edb7f409da2bf742727ba6cd3,4,0,1,1,0,0,CORRECTED
BCH-S200,6,60,41,73d7886b615fc47a263b50f53a20df610328698e2a59931ddbb57625ad50bbd5,2,0,1,1,0,0,CORRECTED
BCH-S200,6,60,42,3753ec18e9e0173752eae07eb1e7cde1495ff5c536352ff6204f8caa6d335afb,0,0,1,1,0,0,NO_ERROR
BCH-S200,6,60,43,fa9e18e088ed753e1b5273ceaa865293622bc6ad9b967dad06c6dbe71a5746f2,3,0,1,1,0,0,CORRECTED
