caseName,ebn0Db,snrIndex,frameIndex,noiseHash,channelHardBitErrors,decodedBitErrors,trueSuccess,reportedSuccess,miscorrected,decoderFailure,frameStatus
BCH-S300,6.5,65,2500,9c58b31a3ff9e3eae55aa8ae16bb48a3e6a1edafd4ea238c3d12f0629931a0d6,3,2,0,1,1,0,CORRECTED
BCH-S300,6.5,65,2501,889a1d8bd04a036dc3888ff081803dc674735babb97a4cf11a818fe6ea990277,2,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2502,b14d73487dfbc1f93e741a686eb82d1c14beff568de75b1cdc596f144c95fc19,1,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2503,45421550dc30e786a877dcad887cd20c4de7d474946f877ebed3e4d86be2da5e,4,2,0,1,1,0,CORRECTED
BCH-S300,6.5,65,2504,1c85b0a4269b98391de60e02765725face2a8cb61de5609adfd5ccd2b7879d4c,2,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2505,41c1b58de832f328a6d345fb8e36f3c2ceef6c4699cde01d08d71842d01ebd22,1,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2506,b6ec878d7a9a0581205e2f870d478a621c33aa537688cbf2aa120d0dfccfa904,2,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2507,d13db159f6b3c66b955a1235cd846adfe4b31a7ad17a37a5f2e62ac4f260ce9a,3,2,0,1,1,0,CORRECTED
BCH-S300,6.5,65,2508,4c0735d0f44135cc844ae56c6b18712ca1d38cb958877b772ec720504d786fb4,3,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2509,1ff79d1d28b5624243cacfa54f59fc7a07e0425f5ffe5e10978add3a0a69430d,3,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2510,65c9a77e79c722ade7b8c4ceded892b7197cbababa077b01286ae26b216a22cf,1,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2511,9feb7cc5603eff4d29cdcfcb03b2083d968fe4525837a2a239fa8dec11ca31c9,2,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2512,8bf768813eafa30481f3d11fe16c47711e845724f5a176bb4f2ac73d1fce6bd1,3,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2513,039a9048e5451bff0407315ec3743f186e917c4811247e8b0e3019e44196c1fd,3,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2514,c079c5e7fc85349c56135e86dc64af82693599ab361c72fbc94e479202b19964,1,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2515,e0fb80e6aa8bde112cb84fac4cc386e3870077fc5e994921216a5fee900f5bdf,4,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2516,31d2b7991a2ba7b911013c50a5a8e2c894549072ab89d67d4805570d817e98e7,2,0,1,1,0,0,CORRECTED
BCH-S300,6.5,65,2517,9398ddd2afabf59cf348b9b2c8adf4b0cad0183f81302ce74ad50dc1c53fb7f0,3,0,1,1,0,0,CORRECTED
