filename,caseName,ebn0Db,metric,rawValue,plottedValue,zeroHandlingPolicy
bch13_prescan_200bit_ber.png,BCH-S200,0,BER,0.12897,0.12897,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-S200,0.5,BER,0.1122075,0.1122075,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-S200,1,BER,0.0921925,0.0921925,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-S200,1.5,BER,0.076165,0.076165,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-S200,2,BER,0.0592825,0.0592825,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-S200,2.5,BER,0.0456875,0.0456875,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-S200,3,BER,0.0336575,0.0336575,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-S200,3.5,BER,0.0230325,0.0230325,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-S200,4,BER,0.015165,0.015165,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-S200,4.5,BER,0.009525,0.009525,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-S200,5,BER,0.0055175,0.0055175,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-S200,5.5,BER,0.0030225,0.0030225,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-S200,6,BER,0.001715,0.001715,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-S200,6.5,BER,0.000765,0.000765,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-S200,7,BER,0.0002575,0.0002575,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-S200,7.5,BER,9.25e-05,9.25e-05,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-S200,8,BER,4.75e-05,4.75e-05,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-S200,8.5,BER,5e-06,5e-06,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-S200,9,BER,0.0,7.5e-06,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_200bit_ber.png,BCH-S200,9.5,BER,0.0,7.5e-06,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_200bit_ber.png,BCH-S200,10,BER,0.0,7.5e-06,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_200bit_ber.png,BCH-B200,0,BER,0.102115,0.102115,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-B200,0.5,BER,0.08977,0.08977,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-B200,1,BER,0.0766225,0.0766225,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-B200,1.5,BER,0.06496,0.06496,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-B200,2,BER,0.05445,0.05445,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-B200,2.5,BER,0.043835,0.043835,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-B200,3,BER,0.03167,0.03167,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-B200,3.5,BER,0.0206625,0.0206625,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-B200,4,BER,0.01053,0.01053,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-B200,4.5,BER,0.004185,0.004185,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-B200,5,BER,0.0010725,0.0010725,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-B200,5.5,BER,0.0001325,0.0001325,RAW_POSITIVE
bch13_prescan_200bit_ber.png,BCH-B200,6,BER,0.0,7.5e-06,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_200bit_ber.png,BCH-B200,6.5,BER,0.0,7.5e-06,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_200bit_ber.png,BCH-B200,7,BER,0.0,7.5e-06,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_200bit_ber.png,BCH-B200,7.5,BER,0.0,7.5e-06,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_200bit_ber.png,BCH-B200,8,BER,0.0,7.5e-06,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_200bit_ber.png,BCH-B200,8.5,BER,0.0,7.5e-06,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_200bit_ber.png,BCH-B200,9,BER,0.0,7.5e-06,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_200bit_ber.png,BCH-B200,9.5,BER,0.0,7.5e-06,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
