caseName,ebn0Db,metric,rawValue,plottedValue,zeroHandlingPolicy
BCH-S200,0,FER,1.0,1.0,RAW_POSITIVE
BCH-S200,0.5,FER,1.0,1.0,RAW_POSITIVE
BCH-S200,1,FER,0.9995,0.9995,RAW_POSITIVE
BCH-S200,1.5,FER,0.999,0.999,RAW_POSITIVE
BCH-S200,2,FER,0.9965,0.9965,RAW_POSITIVE
BCH-S200,2.5,FER,0.9865,0.9865,RAW_POSITIVE
BCH-S200,3,FER,0.956,0.956,RAW_POSITIVE
BCH-S200,3.5,FER,0.875,0.875,RAW_POSITIVE
BCH-S200,4,FER,0.7555,0.7555,RAW_POSITIVE
BCH-S200,4.5,FER,0.578,0.578,RAW_POSITIVE
BCH-S200,5,FER,0.3935,0.3935,RAW_POSITIVE
BCH-S200,5.5,FER,0.2445,0.2445,RAW_POSITIVE
BCH-S200,6,FER,0.1415,0.1415,RAW_POSITIVE
BCH-S200,6.5,FER,0.0685,0.0685,RAW_POSITIVE
BCH-S200,7,FER,0.024,0.024,RAW_POSITIVE
BCH-S200,7.5,FER,0.009,0.009,RAW_POSITIVE
BCH-S200,8,FER,0.0045,0.0045,RAW_POSITIVE
BCH-S200,8.5,FER,0.0005,0.0005,RAW_POSITIVE
BCH-S200,9,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-S200,9.5,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-S200,10,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B200,0,FER,1.0,1.0,RAW_POSITIVE
BCH-B200,0.5,FER,1.0,1.0,RAW_POSITIVE
BCH-B200,1,FER,0.9995,0.9995,RAW_POSITIVE
BCH-B200,1.5,FER,0.9945,0.9945,RAW_POSITIVE
BCH-B200,2,FER,0.9795,0.9795,RAW_POSITIVE
BCH-B200,2.5,FER,0.9325,0.9325,RAW_POSITIVE
BCH-B200,3,FER,0.786,0.786,RAW_POSITIVE
BCH-B200,3.5,FER,0.5725,0.5725,RAW_POSITIVE
BCH-B200,4,FER,0.3175,0.3175,RAW_POSITIVE
BCH-B200,4.5,FER,0.1365,0.1365,RAW_POSITIVE
BCH-B200,5,FER,0.0345,0.0345,RAW_POSITIVE
BCH-B200,5.5,FER,0.0045,0.0045,RAW_POSITIVE
BCH-B200,6,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B200,6.5,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B200,7,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B200,7.5,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B200,8,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B200,8.5,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B200,9,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B200,9.5,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B200,10,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
