caseName,ebn0Db,snrIndex,frameIndex,noiseHash,channelHardBitErrors,decodedBitErrors,trueSuccess,reportedSuccess,miscorrected,decoderFailure,frameStatus
BCH-B300,0,0,0,fc49cc4f2c22207c33a4b8ecb12151953955c4b41758d68500f98f8f5300444a,39,29,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,1,66345f5edd32134b3f7f5c0be350a2b81805e77d503272272d845a5d8aa1d92b,49,34,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,2,98cfed60bbc233fb97d7ed5f2dc0761e1d33fe92746869c1f9805050b30bd223,53,40,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,3,55a8016ee233eb4b18e58fb0ca42226d9721109ddf28491e2fad24e3e8257aeb,38,29,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,4,deefdeadbd5898162c3faecc7ec5e71434192810964b2e02f97b8b2e44a9af32,38,29,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,5,2c48e3a198b3db3bc9633b18f32ccaa3127dd814c854ad9cc991c91828e445d6,41,30,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,6,89a60516c9298fe3ee808f1eec1606f86e57d928ae6189ad708b1d2467123008,39,28,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,7,e983ca8cfa0b49d900af44ad43fdbe0982e32d6460025555560bceb467676be4,45,36,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,8,215dd8a981f95df89c79b51846dbbdebc08de3fb0ebc52bc361b8656c28be413,37,25,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,9,0227656245fc1a10083ce5d62a80a9f69594e47a3680d5eab9c32995adfaa6cf,31,20,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,10,71ca58224185bada2466202727d9f7463ee54d1e6afeb5dd5cac534d21768ab5,47,37,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,11,ca793ac05d608ba6a5e9edbe0a95003f1157833ba43b7db87f7a2a9d1aae27e9,51,39,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,12,9853b9471f3f0e33ff750e0390ead178262d0d844779ce4ad64777901964e3dc,39,27,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,13,e709d9ea9b3415bf86d99d23d825d89c6e86f2e9f772ffaa8eee69b4cf9ed3ca,32,25,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,14,de374cbb1fd12e7ae52efb50a5888dce6afa6f88e83385b81c5f868898231d74,35,31,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,15,157927ba1ced805a053d78d324734ef1b8294a2bfcb6c67c71a6a3be623183e2,37,25,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,16,94e5d6f1424506f06edf3a6d42e1cd2dca17d231b325173402f86b3260e6322b,38,30,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,17,9468b14e98ad08693d1c8158da9790f4b9a7483c1096e5f70583e8304ce92ab8,49,41,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,18,24e7bd0a687a04d13577b2ce6f88511cc75929de4198c8f3a07b1b95f2f31f06,35,27,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,19,d2fa81b1c39c5fe83337688574b4c555922191c6e0f67170def539805ae75690,49,42,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,20,4eaf22bd25a1206d74a2011bbc0e427f455c5a595562d1709238122e713843da,44,38,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,21,4ef71a776a237eae587a85856f3e2e8c49ae9f4f4cf1933ae4733a8ee43e5f1b,34,27,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,22,edbf85d35c175248e3c702b6921da1086ef305c247187bd9854039276b7977ec,44,30,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,23,d4a26749f4178f58a30357baf6926a53c6d3a354e9f883380fe4794bf3eafa3e,33,26,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,24,faed035a5ae280c35d2d4426992be38cc8c1fd45af2a311b97e459b001a93846,35,27,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,25,48e966facaf4a77cba9916cc5b9290ccf2b078967a925c4b09c0e38f944f507b,44,32,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,26,89af25a538472a463a7ebddcaefa6a1a95a8055c686d344669e073c86b377c01,36,27,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,27,8426b1558aafd85dbb45c2014733b5346ab7bd46316339ccd5f26cc831487d18,41,33,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,28,26e59cf961fdf4b15a7af43c2de7bbda52f2ada08913b3f1cab4d1389d3198d1,48,38,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,29,35ea54dc78ecc915fa2ec80a34d85061ce241cd5e7efd05c4ae4cae5f03df6e2,50,40,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,30,05824d6735473b5405248441c01db3e9eec8d4470ad35d89790dbb138d47f415,39,28,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,31,511437d75edaf2bc5cf71a299eb2b108e2778e800fe59bc9b6ce9fb6b5cb7ff9,41,34,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,32,db3c79cdb3dce629de8256685a85066540d73ce3e23af3de6fc753fc9fa418fa,36,28,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,33,0106d54cf8272176d81f86d3816e13212569aa5016bac260cf3f7879095fc4fd,39,29,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,34,a05828e5864f5f0be2b1bd46d76318938378e5fd7a2a1261f51637ee6c277eb1,31,23,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,35,c00df28ce7b75df35a41320a3fc0fc2d0dc98ff1358b9e7f4c42121eaf80bcf5,40,30,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,36,72491b02fce1f5dff62c22dc33c44c148db2a10cba8a8576c1cbb730412b804d,49,43,0,0,0,1,INVALID_ROOT_COUNT
BCH-B300,0,0,37,e503f80041c587876bffca1bfcb4dfbc29c0bfb493ac47b18d478993eb9098ea,33,25,0,0,0,1,INVALID_ROOT_COUNT
