caseName,ebn0Db,snrIndex,frameIndex,noiseHash,channelHardBitErrors,decodedBitErrors,trueSuccess,reportedSuccess,miscorrected,decoderFailure,frameStatus
BCH-B300,6,3,0,effb5e4159a5acb502ce8de8ab422a35c87992a0ecbdf67224d4b996db8eff6b,2,0,1,1,0,0,CORRECTED
BCH-B300,6,3,1,76b2ed3803a8c3164b0ec3f7cd845ca78106c37401f5fa19885f09096608d98c,0,0,1,1,0,0,NO_ERROR
BCH-B300,6,3,2,f6298218ad8560ca589dcb3df580e0c259cc57c9ada98bde76697997103d70b4,4,0,1,1,0,0,CORRECTED
BCH-B300,6,3,3,0b3535a81d01a36ca58cd5c11dca055890d23865d19787d5c1ec369b4d0c4c04,5,0,1,1,0,0,CORRECTED
BCH-B300,6,3,4,7f490f620ecd42dcb6ee5f4260455440b1908df044b001c419c1c8e519a710ce,2,0,1,1,0,0,CORRECTED
BCH-B300,6,3,5,d04ef0234169b67a0072ae3b61efa893284024119c60f760423782539c107999,2,0,1,1,0,0,CORRECTED
BCH-B300,6,3,6,66db4586fcdea2b4b260be4a4d788bee9c1c02da22709cfdaa7b14e5a766f4f3,1,0,1,1,0,0,CORRECTED
BCH-B300,6,3,7,d9eba7f4f9e6bc8b14375f96df3dbcf21f7a49fcf3861518b9c1fe8bd2e46600,4,0,1,1,0,0,CORRECTED
BCH-B300,6,3,8,d8927ee9544e9ed45721bb7270cc777285f96ff4cb636e093104a79d2023aa64,4,0,1,1,0,0,CORRECTED
BCH-B300,6,3,9,e95bd90d4a9a278ec8bd2cd893ab1083c298f7d6ded772b4dc7c18a0987e5458,2,0,1,1,0,0,CORRECTED
BCH-B300,6,3,10,1429a2d308f5f8026c80340e0c2309037d6c38838effcc543e98c2a3e57ce1a3,4,0,1,1,0,0,CORRECTED
BCH-B300,6,3,11,c96b1c9dc4dce5285844dde8892ce730cc25e49f66da64f96133992a3b6fccf2,2,0,1,1,0,0,CORRECTED
BCH-B300,6,3,12,1748deb920d63825c13a74313a4555aef90a51cc8b3e1d89b3ea7fcdb636a963,2,0,1,1,0,0,CORRECTED
BCH-B300,6,3,13,f12256638d3a6d4651f0580a9ea78882e5ca357067afdac2758467379f203fb4,1,0,1,1,0,0,CORRECTED
BCH-B300,6,3,14,a0aadf3f6cdd8ceb34f5846c86c69101cb6eb4e54a764f26501c933cd2b16662,3,0,1,1,0,0,CORRECTED
BCH-B300,6,3,15,292ee9dd14023cc994c96f4d8993a6415f431a687cb07d17f6f392e96718de05,6,0,1,1,0,0,CORRECTED
BCH-B300,6,3,16,87be7e973fd8cc3e20015e8722ed14e5c524c4d075e8cd54d9b554d93896a5f0,2,0,1,1,0,0,CORRECTED
BCH-B300,6,3,17,fb145670619e26006cef4597828da5dd828a78e87e54b755b93e46066d768dfc,3,0,1,1,0,0,CORRECTED
BCH-B300,6,3,18,0aad4fc63bae5167fbc366efc4c219ebbd8a5921d20878797e71e4ccdc61df36,2,0,1,1,0,0,CORRECTED
BCH-B300,6,3,19,178521f1028eb3d61be718d814458a953bfbcf0e1624f3aa7dcbd2755eba7701,1,0,1,1,0,0,CORRECTED
BCH-B300,6,3,20,f9e5e793d8c145e64f5c81c18c60711f846b264437ab5b277ef67ba53b782f58,2,0,1,1,0,0,CORRECTED
BCH-B300,6,3,21,7a4573d4a933e3628451a9e510480a524c2154aef6a9345a3378a9f03c013429,5,0,1,1,0,0,CORRECTED
BCH-B300,6,3,22,51d059a1c8ed9d7a5ad6bf7015731fa9b90895ad1e023bc20bb4312f8f2f8f02,4,0,1,1,0,0,CORRECTED
BCH-B300,6,3,23,4a5439b3864a991f08fd1407b136fe30f1e6099948736b13a867889a80907929,0,0,1,1,0,0,NO_ERROR
BCH-B300,6,3,24,5dc1907e567c04a62f8cf2dae3e835e0db5b1669f0214c5acd048e3c2ec44317,3,0,1,1,0,0,CORRECTED
BCH-B300,6,3,25,b6d831c61e56cfa9da82b2586aa8120da92d521089449a55bc2b535bf3824ba0,0,0,1,1,0,0,NO_ERROR
BCH-B300,6,3,26,b783a4ce954e436569ac0a9c63a71b8505f580566b728b56f1d9f0e3330d6958,1,0,1,1,0,0,CORRECTED
BCH-B300,6,3,27,93f87f2d1eeaea346bf00939d99800e8fd2938e7c34c7561e7dfd1641776cec9,4,0,1,1,0,0,CORRECTED
BCH-B300,6,3,28,2c9d5f710a1215a189ddc7703731429879be84a41665b434a27bdd37212af5b7,4,0,1,1,0,0,CORRECTED
BCH-B300,6,3,29,4ddb4957abfefe0c80e3f7f192e1a5160ec5e3d6280dead45524aa40c37572d3,1,0,1,1,0,0,CORRECTED
BCH-B300,6,3,30,a662b2e4e0b62e5f4fbd517c61ad5f093c4098b97125e0499b30272dd02cb668,1,0,1,1,0,0,CORRECTED
BCH-B300,6,3,31,04a6b86a0e297667dc21b7f01c0d292d2fe98dd37f38444a10c539c5ec1d810f,3,0,1,1,0,0,CORRECTED
BCH-B300,6,3,32,7d55d6c93e7bc8a1e1ad7df1c7431af698539112f433076a4edd897aa74ea22d,3,0,1,1,0,0,CORRECTED
BCH-B300,6,3,33,5cf65f0f61893a0ac9a10cfbacb60f1d874b307ad5fe486139b6e11ce8c1c75f,1,0,1,1,0,0,CORRECTED
BCH-B300,6,3,34,ec158a07574964750f14e1d8ede45e0812e30e8f8ed1e680accae4c1a910101e,2,0,1,1,0,0,CORRECTED
BCH-B300,6,3,35,14aa185f6d836c7309374a9e7733af0cc3e63832f7536d60b2133db34505b85b,3,0,1,1,0,0,CORRECTED
BCH-B300,6,3,36,9d686d5d29b8397d2482f35044e84a36b631c992b39a8fa737007ec7d0a4b8ee,7,0,1,1,0,0,CORRECTED
BCH-B300,6,3,37,794997ce105b1d9370759f9933e0b7747fb97d47d49714d885e0d383d2b41952,2,0,1,1,0,0,CORRECTED
BCH-B300,6,3,38,9cfa126575d4135733eca00cc3baca201f377479aa842e2a2c8714bedead0b30,1,0,1,1,0,0,CORRECTED
BCH-B300,6,3,39,81d3be2dc7208d7f07f624316aa1222637023b8631db9535ea0409a88458e336,2,0,1,1,0,0,CORRECTED
BCH-B300,6,3,40,2fc9b3047d47347d54cbb534c9622642b52f7cc4532f7fcac2eb2328c0f4f362,2,0,1,1,0,0,CORRECTED
BCH-B300,6,3,41,bb1f670cf91160384d77cd85ad4be01b7dc63c7c4ef8d40cd1e8359819cb248e,2,0,1,1,0,0,CORRECTED
BCH-B300,6,3,42,0f000024fc88a200c8fa0e67923b5d17c322fdc7add686946b04186edeec23de,1,0,1,1,0,0,CORRECTED
BCH-B300,6,3,43,ea2319ef2715766f687e1bd630b4eb9631512005e316ec90ed2131ae874d5ec3,2,0,1,1,0,0,CORRECTED
BCH-B300,6,3,44,38c5803782b08cc1ed4e5473c303997d3b822997c9c28850722457b0f3171143,4,0,1,1,0,0,CORRECTED
BCH-B300,6,3,45,be62fb545b2b4b9104e6ad11c39c5dd008243694a47ebf46252bc7b052e06065,4,0,1,1,0,0,CORRECTED
BCH-B300,6,3,46,7ccb1f725bbb02d51e07d579cb78ac93c44f65ac3b60420797bb9aeb143d9d95,3,0,1,1,0,0,CORRECTED
BCH-B300,6,3,47,a8b1faff288b357e10c82c6a384871193d5c4adc129ef3ec04891068dd36ef37,6,0,1,1,0,0,CORRECTED
BCH-B300,6,3,48,d950efdca3c750934187501c1bb2eb70d7232f9e723331613f7fccd475583059,2,0,1,1,0,0,CORRECTED
BCH-B300,6,3,49,221aabffb7288b9a8074546ea557db6e571ef43e2bd1965320619a01a795f583,4,0,1,1,0,0,CORRECTED
BCH-B300,6,3,50,e7f7e2a88ad6e4f6daa3cecb9f09ea1194336d82e27e64bb89744c3dda7d5db6,4,0,1,1,0,0,CORRECTED
BCH-B300,6,3,51,52c4af287331f3fcb2bb7246a7507bc38590c58fec40b45e87a708307bd1a722,1,0,1,1,0,0,CORRECTED
BCH-B300,6,3,52,b407f827af72ccb28e43857a34b6ef1b8662d08c48fa6cdb8a4425f8583f8e8a,0,0,1,1,0,0,NO_ERROR
BCH-B300,6,3,53,cdd3ba7f94635cb5e59840aefb63e39a6c87a8d804213b359e8bcd0bfc1adeb0,1,0,1,1,0,0,CORRECTED
BCH-B300,6,3,54,a189466261cb37518df240c4f44c42b2e21af67e189ddbf5a81debafcf242f8d,2,0,1,1,0,0,CORRECTED
BCH-B300,6,3,55,ae385262405b7af5a1e037507c3c9037ec2ee7ed7e1092a3a1a00bbde7b16235,6,0,1,1,0,0,CORRECTED
BCH-B300,6,3,56,e975eb46024877775adfb5e92e5a3383ad3ccf947a60372a38fbd737007e6777,2,0,1,1,0,0,CORRECTED
BCH-B300,6,3,57,eb9fd60a35566e56871ea3ff1c1ffde0aabf245e08c6751971b7a357bbf325f5,1,0,1,1,0,0,CORRECTED
BCH-B300,6,3,58,b2dd3f59a17be3abd651be47e9655fd8dafa849307dc4f73f40f6d1cfd34fb99,5,0,1,1,0,0,CORRECTED
BCH-B300,6,3,59,732e61c9936d1ae841d83a106156215dbe59731ca681e5ae627ef5317d500e24,6,0,1,1,0,0,CORRECTED
BCH-B300,6,3,60,f8733149e96ce6a4ab535d6bc279b70f77d14d636732cd44c479a03bce09023d,4,0,1,1,0,0,CORRECTED
BCH-B300,6,3,61,27d40cec91baec44f2a62e0483acacf62ff374ccde5ca7609b65a793f4e2e41f,3,0,1,1,0,0,CORRECTED
BCH-B300,6,3,62,aedaed2b34de8e88080b36d3c9dc42e41d4227fe8e285df01db88024e5400380,2,0,1,1,0,0,CORRECTED
BCH-B300,6,3,63,f54a83dcab99191430a5fdfeecebdb0a1d68d87daf0169d53bcdacfe37e360d7,4,0,1,1,0,0,CORRECTED
BCH-B300,6,3,64,87d5d1695e1e34353df2bb262f7e479daba3d9dc7e5fec61b77ef9002756f517,0,0,1,1,0,0,NO_ERROR
BCH-B300,6,3,65,d7a53170f442b5203c0187957047040b3c37d4deb6a1ac0332716bff020a2deb,5,0,1,1,0,0,CORRECTED
BCH-B300,6,3,66,ba3c430df015063d6dc96830b824794fd80c201f956e1b601f1392f926604ae7,0,0,1,1,0,0,NO_ERROR
BCH-B300,6,3,67,b79a08232fb252babbe1889144f722038cee99e46a68d5eab57e071732c98a86,2,0,1,1,0,0,CORRECTED
BCH-B300,6,3,68,cdc754f11463a64f4e1c9e1cf18b8b60f6c7567d23929bb7a3b979247fd2424e,3,0,1,1,0,0,CORRECTED
BCH-B300,6,3,69,2e7327dc82cad811c26149213561b0c14a4dcd74e27d2bfe9c63c2ab542a448c,1,0,1,1,0,0,CORRECTED
BCH-B300,6,3,70,a7eb5f05e209fe0a925bdf6fb8afaec41edd7d108d40e3ce75e0f9f792746bb9,1,0,1,1,0,0,CORRECTED
BCH-B300,6,3,71,abbb5635043d35e52e920345c6ff062289845ad2f31b12333dd8797488865278,3,0,1,1,0,0,CORRECTED
BCH-B300,6,3,72,d18d6fd62a6e288d386845177d9607da3c5d71b8a98e91cc0ffe4d023147a347,4,0,1,1,0,0,CORRECTED
BCH-B300,6,3,73,ad62784406630660045a65b4e71f4136e4b04742abcc66a55757ec3d4b77b1cc,2,0,1,1,0,0,CORRECTED
BCH-B300,6,3,74,408707f4a2fe35706c92377cc9211df03da7fd52ea3423faa5d1a6b4708ce0c1,3,0,1,1,0,0,CORRECTED
BCH-B300,6,3,75,4c0cd272f074ab61d55eb477b124104383745415a5dccd1f50793f9c8ea0838e,2,0,1,1,0,0,CORRECTED
BCH-B300,6,3,76,b238545a8ef3e5ec2c1f4b3a966a36942f7131719dff9559d05327826324e28e,6,0,1,1,0,0,CORRECTED
BCH-B300,6,3,77,a3dbd254f32e40b8a4bee5a16e9efb4de3788bd3bdc4b5fda87ac2f0952d3052,1,0,1,1,0,0,CORRECTED
BCH-B300,6,3,78,6b7fed54df6b1b82541724a570ef16acb1a8a62aa6a679a335fc648aaa4f8a78,1,0,1,1,0,0,CORRECTED
BCH-B300,6,3,79,022bd562786b06b70c0accebde7cd6e196fa3e1323ca4f5000da5b42a745b987,3,0,1,1,0,0,CORRECTED
BCH-B300,6,3,80,75b2b47d130a9a9b1c08616ebe892bbe0621c85b0e5a3c51ede82bc1d07be34c,2,0,1,1,0,0,CORRECTED
BCH-B300,6,3,81,ad8593b3ecb8980186c9be3b0abae5ed6586c452fe1bea3ba96b4aabd488b465,1,0,1,1,0,0,CORRECTED
BCH-B300,6,3,82,45965e95e27960748808bda75216906f6ce52fd3b34fb8307c28add0437e9e94,2,0,1,1,0,0,CORRECTED
BCH-B300,6,3,83,4e33accd0313e7e5d2fa3f3fe736f983a7cbff86914054ecd3569d539f065398,3,0,1,1,0,0,CORRECTED
BCH-B300,6,3,84,26cf72cecce255001cdb2f3ef63416f4baf5cb17b6a09141da744a208d2e84a0,4,0,1,1,0,0,CORRECTED
BCH-B300,6,3,85,4145a7cfab633ea894301e75ede874ee04b715e4c148800072909c39036dde87,2,0,1,1,0,0,CORRECTED
