caseName,ebn0Db,snrIndex,frameIndex,noiseHash,channelHardBitErrors,decodedBitErrors,trueSuccess,reportedSuccess,miscorrected,decoderFailure,frameStatus
BCH-S200,2,1,0,513793a700b151870b8182ee63512b932e0a0bfca28f4bf2c03a20bdbc043e2e,24,11,0,1,1,0,CORRECTED
BCH-S200,2,1,1,2641b60e0b813587caedf6fedd51074c925e3083579fa72929d0cdd5a6c06496,13,11,0,1,1,0,CORRECTED
BCH-S200,2,1,2,b10d9422ba8e63a0319a66a96f021630e29b7ba9b7d359ff163faada4f716136,15,8,0,1,1,0,CORRECTED
BCH-S200,2,1,3,95cb251dccceb69f0acebf92468758a820d60165dc343713c920b39b3dabc334,24,15,0,1,1,0,CORRECTED
BCH-S200,2,1,4,1e90a713c97caac2281f334d15fff0985eb0667f7cc26f959d30a30a6ba470bc,18,8,0,1,1,0,CORRECTED
BCH-S200,2,1,5,22133d97e28a4766cfa0f43f9b217b7778237a41a27387b7f6f55970abdd1282,18,11,0,1,1,0,CORRECTED
BCH-S200,2,1,6,8d7c17ff363f7f5d20a692819e3a260f6070bc4575d090253c05bd267f8757c7,12,6,0,1,1,0,CORRECTED
BCH-S200,2,1,7,f0e946c27a719001f691840e9f916cc04b7f43ec051b08aa36a3c4a7f4cb1fb3,15,9,0,1,1,0,CORRECTED
BCH-S200,2,1,8,d091d05e530f152fb1f7cf3421fb2e312abf9d7b04150c7d9d1c05e65c33d3f0,19,15,0,1,1,0,CORRECTED
BCH-S200,2,1,9,4464f6e86ea04214adb3a1afa4a1b8180d2b35fdd2d39f37e9180a42bfdc0939,17,6,0,1,1,0,CORRECTED
BCH-S200,2,1,10,ca61e2f3c9c95953beef2233165272f33e2ea3f157f856602f9b4cb1f3d236ce,15,8,0,1,1,0,CORRECTED
BCH-S200,2,1,11,ffe31347dbf441c8c448b85cfa4f980be790d58f2c194931b38944e996431cda,28,24,0,1,1,0,CORRECTED
BCH-S200,2,1,12,39bdb3e1af9351820673f05428df32584524beb4ea592fa7534703adbe69a820,13,2,0,1,1,0,CORRECTED
BCH-S200,2,1,13,503bd9ab9c89ffb9434f7752cce845e619b96fa7283adb660dfa442b57fc83bf,21,15,0,1,1,0,CORRECTED
BCH-S200,2,1,14,f079c0f8d52fcf0fb42d5ae00299a6054c26e597721b604418795b0dcc8c61f0,16,6,0,1,1,0,CORRECTED
BCH-S200,2,1,15,d870fabdd3d387e0e4aa854b5a02037c77a159b95bef34291b30f887bdf3df54,20,14,0,1,1,0,CORRECTED
BCH-S200,2,1,16,3938a18ede2f8a7ef033e6c383f0db18daff9219f57e4d5e79ceabd7825ac5f9,22,12,0,1,1,0,CORRECTED
BCH-S200,2,1,17,c2628845e95007a45cc791997ad53ef22c5d6dcbbc0fa23d1a220301a9f4e2d7,28,17,0,1,1,0,CORRECTED
BCH-S200,2,1,18,4f5a78adca35fe30b1b78df27d0cbdd546ff30e7f10b9cf3e4b1caebc7d78d32,23,17,0,1,1,0,CORRECTED
BCH-S200,2,1,19,8c58c11393df4709a0ac3f38e45526d94e481ddf0ca65bbc8b074b7384ff2c2e,29,19,0,1,1,0,CORRECTED
BCH-S200,2,1,20,f11679c0d4e5c3b10eeac484a088fcf273ddd8ba2768baa43d7da4dab1fe0e1c,10,5,0,1,1,0,CORRECTED
BCH-S200,2,1,21,83dd6f13665b94cfe9d45db6a7daff8259f35a1d8f566a9652360330aac7be45,15,6,0,1,1,0,CORRECTED
BCH-S200,2,1,22,c36c949e41cea8aba8094b482bd2d443d357684d13d8d1aae6306d9161ef3f0d,22,13,0,1,1,0,CORRECTED
BCH-S200,2,1,23,26e9fae8cd688a3d8f038f6a6ab6da45d2339d6b0b3819887b3cfb9c0fca0d86,18,16,0,1,1,0,CORRECTED
BCH-S200,2,1,24,a7ed558ab2604e02d3349ad4f803337d795456d068a0e9c00e6884814c36f645,17,16,0,1,1,0,CORRECTED
BCH-S200,2,1,25,a2e55a3d2ec766f4430df7670ae7886192e6da3c49fd9a74d2140f69b54ece69,22,16,0,1,1,0,CORRECTED
BCH-S200,2,1,26,2cdd9d52872ba490cbf4815fddb89ee40a109f7b053ab2e8a45f1935f2d48f91,16,5,0,1,1,0,CORRECTED
BCH-S200,2,1,27,fdd8dc7208691b0367f59dc9798fe079dcc6839f8d3b074c5a3bd18a2f33f58c,25,11,0,1,1,0,CORRECTED
BCH-S200,2,1,28,f565d4c8daa783b256f1a3dbc6237593dc2801208723a85cec184741077d296e,21,13,0,1,1,0,CORRECTED
BCH-S200,2,1,29,0b9ada88d27493e648e216a96acc163a7416044e39d66d7b77f8d0243eb0fa02,21,12,0,1,1,0,CORRECTED
BCH-S200,2,1,30,e60c9298c719668bfa1ef04934b72cbc9dcb24e83391827afd4c7da1953d596d,17,10,0,1,1,0,CORRECTED
BCH-S200,2,1,31,d46857bcaa6807ba6bd542a9121b3e2a4cf7727dfe1562eb93796a06a3a972cf,11,6,0,1,1,0,CORRECTED
BCH-S200,2,1,32,a66bb2809d76e216989bd38b755859bbb080dc959be1c5ba34be7407547e5160,27,19,0,1,1,0,CORRECTED
BCH-S200,2,1,33,28c1791e6da83f31c395b64f64d67d486fa063e266ba4d8acf33cf9b116439c3,22,12,0,1,1,0,CORRECTED
BCH-S200,2,1,34,41468ca8f237ff147e327fea1dd4c72feafc74ef1b339da3cdd1d2ce864c042c,11,4,0,1,1,0,CORRECTED
BCH-S200,2,1,35,11a450784cc0441293310a6dd99a0874494725e212d642d2bd5aa44c0ec17df3,20,12,0,1,1,0,CORRECTED
BCH-S200,2,1,36,6ca554f7363a8a158a25ef6798dd1fc81cd83390616f1f7b64c25c2af7a2b986,16,9,0,1,1,0,CORRECTED
BCH-S200,2,1,37,083ab9db7dc0c21ba75c32b6e162f7dc5f403d3250cd1d95efc5b3e2f28288d9,23,13,0,1,1,0,CORRECTED
BCH-S200,2,1,38,ad2c44e90afb77874ce586ea074d8f13144318aae5bdd0e690cc3ec93d90b3a0,19,10,0,1,1,0,CORRECTED
BCH-S200,2,1,39,2afb0a0ab93557ceb84343ae220a72901b51d6ba0f51a72e4c2b6594390d6b31,16,7,0,1,1,0,CORRECTED
BCH-S200,2,1,40,de0fe3eaeb4ecdb8dce80341008c3f258db33ed3b45e8c8b2a44329c7f4401fa,16,11,0,1,1,0,CORRECTED
BCH-S200,2,1,41,610e04754efcceb2d69efb601b1b206384663d54ea97942f3d1f590eaf93aa4c,22,23,0,1,1,0,CORRECTED
BCH-S200,2,1,42,f3bcc524c3a348e85217b36b8c73a196e06f90f2fd39efce23064bdd54b2f54a,20,11,0,1,1,0,CORRECTED
BCH-S200,2,1,43,e8e34e0ef9f189b7cc147c9c57e67e8774c508e1ff248acd25ab545b3d317142,19,14,0,1,1,0,CORRECTED
BCH-S200,2,1,44,1dcdfdbc9848a2f1edadf1688ca58467c550aa450647e6c26a21be72f70a5deb,21,17,0,1,1,0,CORRECTED
BCH-S200,2,1,45,b6a1d5f00cc2b407567d55cd1ed45a59a72651291c43aafb9c71680831cce54c,20,9,0,1,1,0,CORRECTED
BCH-S200,2,1,46,1d4f37a9cd745ac7c66f74b3e5a4f17f489bbd643e20388758a3fe5e5f26f764,19,10,0,1,1,0,CORRECTED
BCH-S200,2,1,47,d598b14c33152b5daf26ecec52867a202ac15007dbff25dad65b67d823da6997,20,14,0,1,1,0,CORRECTED
BCH-S200,2,1,48,032368060d8d82983c0c641f008e787dbc77e6313e042d2532ef37d9ddce5971,16,7,0,1,1,0,CORRECTED
BCH-S200,2,1,49,5e6e72eac5cf609cf11273235a879d9ee3ed107dcb4a9c72b9d9ea86476c4c54,21,13,0,1,1,0,CORRECTED
BCH-S200,2,1,50,91899b052fdeec0d779d8ca72399c81abec48d1cf36cacf52f4305cfe2b826c5,15,5,0,1,1,0,CORRECTED
BCH-S200,2,1,51,7e93b20dd1a46aeeb6686a948a91f63866e4811803932861f5fd20f196298166,24,13,0,1,1,0,CORRECTED
BCH-S200,2,1,52,0ac47f366dc7b0f72877d6cff6051176351d56c0b4e94eaea61160e929fd82b1,21,10,0,1,1,0,CORRECTED
BCH-S200,2,1,53,41b12dfa3bf78bbe71e0597d66bdf935b7e6a7abd9d5788ecb002da48bce901f,21,9,0,1,1,0,CORRECTED
BCH-S200,2,1,54,557d454b59cca940eb1b70449941d38b1d7bdf4c2792bc74c117daf7617bfdd5,15,6,0,1,1,0,CORRECTED
