caseId,ebn0Index,trialFrames,elapsedSeconds,framesPerSecond,estimated50000FramesSeconds
K200_S15,0,500,0.0247919,20167.9,2.47919
K200_S15,1,500,0.0242166,20647,2.42166
K200_S15,2,500,0.0221822,22540.6,2.21822
K200_M255K207,0,500,0.0285806,17494.4,2.85806
K200_M255K207,1,500,0.0272384,18356.4,2.72384
K200_M255K207,2,500,0.0256487,19494.2,2.56487
K200_M511K421,0,500,0.0436498,11454.8,4.36498
K200_M511K421,1,500,0.0409101,12221.9,4.09101
K200_M511K421,2,500,0.0344418,14517.2,3.44418
K200_M511K385,0,500,0.059121,8457.23,5.9121
K200_M511K385,1,500,0.0571551,8748.13,5.71551
K200_M511K385,2,500,0.0486338,10280.9,4.86338
K300_S15,0,500,0.0356318,14032.4,3.56318
K300_S15,1,500,0.0333954,14972.1,3.33954
K300_S15,2,500,0.0333573,14989.2,3.33573
K300_M255K207,0,500,0.0799113,6256.94,7.99113
K300_M255K207,1,500,0.0620795,8054.19,6.20795
K300_M255K207,2,500,0.0591478,8453.4,5.91478
K300_M511K421,0,500,0.0651965,7669.12,6.51965
K300_M511K421,1,500,0.0557084,8975.31,5.57084
K300_M511K421,2,500,0.0472498,10582.1,4.72498
K300_M511K385,0,500,0.068331,7317.32,6.8331
K300_M511K385,1,500,0.0631134,7922.25,6.31134
K300_M511K385,2,500,0.0541681,9230.52,5.41681
