stageId,gitCommit,configHash,caseId,displayName,payloadLength,motherN,motherK,motherT,blockCount,encodedLength,actualRate,channelModelId,rawImpulseResponse,normalizedImpulseResponse,channelEnergy,equalizerType,solverType,waveformSnrIndex,waveformSnrDb,snrLinear,derivedEbn0Db,sigma2,masterSeed,totalFrames,totalPayloadBits,payloadErrorBits,payloadErrorFrames,decoderFailureFrames,miscorrectionFrames,undetectedErrorFrames,trueSuccessFrames,ber,fer,decoderFailureRate,miscorrectionRate,undetectedErrorRate,trueSuccessRate,encodeTimeTotalNs,channelTimeTotalNs,equalizeTimeTotalNs,hardDecisionTimeTotalNs,decodeTimeTotalNs,encodeTimeMeanNs,channelTimeMeanNs,equalizeTimeMeanNs,hardDecisionTimeMeanNs,decodeTimeMeanNs,decodeTimeP50Ns,decodeTimeP95Ns,decodeTimeP99Ns,decodeTimeMaxNs,equalizeTimeP50Ns,equalizeTimeP95Ns,equalizeTimeP99Ns,equalizeTimeMaxNs,solverResidualMean,solverResidualMax,stopReason,checkpointId,shardId,gridType
stage08_multipath_formal_common_snr,a251a4f1d4cfb87fd01e99da592a8ae9a9bfe790,BC8C55A2713D7A06EBAA8A6EDD34813874918E3535AC4C23C9BAE7ABA7755784,K200_S15,"BCH15分块200",200,15,11,1,19,285,0.70175438596491224,S2_FIXED_REAL_FIR_V1,"1;0.65;0;0.35","0.80451798670912955;0.52293669136093424;0;0.28158129534819532",0.99999999999999989,BLOCK_LINEAR_MMSE,BANDED_CHOLESKY_NORMAL_EQUATIONS,1,0.5,1.1220184543019633,-0.97215131319452164,0.89125093813374556,8080808,1000,200000,39995,1000,0,1000,1000,0,0.19997500000000001,1,0,1,1,0,3849800,2389800,5102700,538700,9402300,3849.8000000000002,2389.8000000000002,5102.6999999999998,538.70000000000005,9402.2999999999993,8100,12800,16700,98300,4800,5800,8200,48200,2.082058877593861e-16,2.5099778430870861e-16,TARGET_FRAME_ERRORS_REACHED,SHARD1_POINT_K200_S15_1,SHARD_1,BASE_0P5DB
stage08_multipath_formal_common_snr,a251a4f1d4cfb87fd01e99da592a8ae9a9bfe790,BC8C55A2713D7A06EBAA8A6EDD34813874918E3535AC4C23C9BAE7ABA7755784,K200_S15,"BCH15分块200",200,15,11,1,19,285,0.70175438596491224,S2_FIXED_REAL_FIR_V1,"1;0.65;0;0.35","0.80451798670912955;0.52293669136093424;0;0.28158129534819532",0.99999999999999989,BLOCK_LINEAR_MMSE,BANDED_CHOLESKY_NORMAL_EQUATIONS,3,1.5,1.4125375446227544,0.027848686805478362,0.70794578438413791,8080808,1000,200000,34272,1000,0,1000,1000,0,0.17136000000000001,1,0,1,1,0,3793400,2224200,5235300,523100,9183700,3793.4000000000001,2224.1999999999998,5235.3000000000002,523.10000000000002,9183.7000000000007,7700,12900,18400,69400,4700,5600,6800,236200,1.7849059365831832e-16,2.1647223554319898e-16,TARGET_FRAME_ERRORS_REACHED,SHARD1_POINT_K200_S15_3,SHARD_1,BASE_0P5DB
stage08_multipath_formal_common_snr,a251a4f1d4cfb87fd01e99da592a8ae9a9bfe790,BC8C55A2713D7A06EBAA8A6EDD34813874918E3535AC4C23C9BAE7ABA7755784,K200_S15,"BCH15分块200",200,15,11,1,19,285,0.70175438596491224,S2_FIXED_REAL_FIR_V1,"1;0.65;0;0.35","0.80451798670912955;0.52293669136093424;0;0.28158129534819532",0.99999999999999989,BLOCK_LINEAR_MMSE,BANDED_CHOLESKY_NORMAL_EQUATIONS,5,2.5,1.7782794100389228,1.0278486868054784,0.56234132519034907,8080808,1000,200000,28161,1000,0,1000,1000,0,0.14080500000000001,1,0,1,1,0,3573000,2361000,4998900,553000,9350500,3573,2361,4998.8999999999996,553,9350.5,7700,13200,28600,150500,4700,5800,7700,21100,2.2152344805493884e-16,2.7096031502210458e-16,TARGET_FRAME_ERRORS_REACHED,SHARD1_POINT_K200_S15_5,SHARD_1,BASE_0P5DB
stage08_multipath_formal_common_snr,a251a4f1d4cfb87fd01e99da592a8ae9a9bfe790,BC8C55A2713D7A06EBAA8A6EDD34813874918E3535AC4C23C9BAE7ABA7755784,K200_S15,"BCH15分块200",200,15,11,1,19,285,0.70175438596491224,S2_FIXED_REAL_FIR_V1,"1;0.65;0;0.35","0.80451798670912955;0.52293669136093424;0;0.28158129534819532",0.99999999999999989,BLOCK_LINEAR_MMSE,BANDED_CHOLESKY_NORMAL_EQUATIONS,7,3.5,2.2387211385683394,2.0278486868054784,0.44668359215096315,8080808,1000,200000,22705,1000,0,1000,1000,0,0.113525,1,0,1,1,0,3517000,2220600,5000900,522500,8875600,3517,2220.5999999999999,5000.8999999999996,522.5,8875.6000000000004,7600,12900,16900,138500,4700,5600,6900,71900,1.7176142906768624e-16,2.0847545071691373e-16,TARGET_FRAME_ERRORS_REACHED,SHARD1_POINT_K200_S15_7,SHARD_1,BASE_0P5DB
stage08_multipath_formal_common_snr,a251a4f1d4cfb87fd01e99da592a8ae9a9bfe790,BC8C55A2713D7A06EBAA8A6EDD34813874918E3535AC4C23C9BAE7ABA7755784,K200_S15,"BCH15分块200",200,15,11,1,19,285,0.70175438596491224,S2_FIXED_REAL_FIR_V1,"1;0.65;0;0.35","0.80451798670912955;0.52293669136093424;0;0.28158129534819532",0.99999999999999989,BLOCK_LINEAR_MMSE,BANDED_CHOLESKY_NORMAL_EQUATIONS,9,4.5,2.8183829312644537,3.0278486868054784,0.35481338923357547,8080808,1000,200000,16546,1000,0,1000,1000,0,0.082729999999999998,1,0,1,1,0,3749500,2225100,5037300,590000,9289900,3749.5,2225.0999999999999,5037.3000000000002,590,9289.8999999999996,7800,12600,15800,192800,4700,5600,6700,31200,2.3076128388963813e-16,2.8226283272291839e-16,TARGET_FRAME_ERRORS_REACHED,SHARD1_POINT_K200_S15_9,SHARD_1,BASE_0P5DB
stage08_multipath_formal_common_snr,a251a4f1d4cfb87fd01e99da592a8ae9a9bfe790,BC8C55A2713D7A06EBAA8A6EDD34813874918E3535AC4C23C9BAE7ABA7755784,K200_S15,"BCH15分块200",200,15,11,1,19,285,0.70175438596491224,S2_FIXED_REAL_FIR_V1,"1;0.65;0;0.35","0.80451798670912955;0.52293669136093424;0;0.28158129534819532",0.99999999999999989,BLOCK_LINEAR_MMSE,BANDED_CHOLESKY_NORMAL_EQUATIONS,11,5.5,3.548133892335755,4.0278486868054788,0.28183829312644537,8080808,1000,200000,11704,997,0,997,997,3,0.058520000000000003,0.997,0,0.997,0.997,0.0030000000000000001,4618300,2408100,6482500,624600,12674700,4618.3000000000002,2408.0999999999999,6482.5,624.60000000000002,12674.700000000001,10600,14300,38700,569900,5200,6600,17300,579000,2.0795642027435908e-16,2.565613178202536e-16,TARGET_FRAME_ERRORS_REACHED,SHARD1_POINT_K200_S15_11,SHARD_1,BASE_0P5DB
stage08_multipath_formal_common_snr,a251a4f1d4cfb87fd01e99da592a8ae9a9bfe790,BC8C55A2713D7A06EBAA8A6EDD34813874918E3535AC4C23C9BAE7ABA7755784,K200_S15,"BCH15分块200",200,15,11,1,19,285,0.70175438596491224,S2_FIXED_REAL_FIR_V1,"1;0.65;0;0.35","0.80451798670912955;0.52293669136093424;0;0.28158129534819532",0.99999999999999989,BLOCK_LINEAR_MMSE,BANDED_CHOLESKY_NORMAL_EQUATIONS,13,6.5,4.4668359215096318,5.0278486868054788,0.22387211385683392,8080808,1000,200000,7878,969,0,969,969,31,0.039390000000000001,0.96899999999999997,0,0.96899999999999997,0.96899999999999997,0.031,3578500,2246100,5011400,515300,8613600,3578.5,2246.0999999999999,5011.3999999999996,515.29999999999995,8613.6000000000004,7100,12000,14200,270200,4700,5900,6600,52300,1.8107538821752029e-16,2.1918523388600198e-16,TARGET_FRAME_ERRORS_REACHED,SHARD1_POINT_K200_S15_13,SHARD_1,BASE_0P5DB
stage08_multipath_formal_common_snr,a251a4f1d4cfb87fd01e99da592a8ae9a9bfe790,BC8C55A2713D7A06EBAA8A6EDD34813874918E3535AC4C23C9BAE7ABA7755784,K200_S15,"BCH15分块200",200,15,11,1,19,285,0.70175438596491224,S2_FIXED_REAL_FIR_V1,"1;0.65;0;0.35","0.80451798670912955;0.52293669136093424;0;0.28158129534819532",0.99999999999999989,BLOCK_LINEAR_MMSE,BANDED_CHOLESKY_NORMAL_EQUATIONS,15,7.5,5.6234132519034912,6.0278486868054788,0.17782794100389226,8080808,1000,200000,4961,870,0,870,870,130,0.024805000000000001,0.87,0,0.87,0.87,0.13,4141900,2236500,5267600,524000,8784400,4141.8999999999996,2236.5,5267.6000000000004,524,8784.3999999999996,6900,12200,20600,238600,4700,5600,7200,134000,1.7297907638708605e-16,2.0766676587753708e-16,TARGET_FRAME_ERRORS_REACHED,SHARD1_POINT_K200_S15_15,SHARD_1,BASE_0P5DB
stage08_multipath_formal_common_snr,a251a4f1d4cfb87fd01e99da592a8ae9a9bfe790,BC8C55A2713D7A06EBAA8A6EDD34813874918E3535AC4C23C9BAE7ABA7755784,K200_S15,"BCH15分块200",200,15,11,1,19,285,0.70175438596491224,S2_FIXED_REAL_FIR_V1,"1;0.65;0;0.35","0.80451798670912955;0.52293669136093424;0;0.28158129534819532",0.99999999999999989,BLOCK_LINEAR_MMSE,BANDED_CHOLESKY_NORMAL_EQUATIONS,17,8.5,7.0794578438413787,7.0278486868054788,0.14125375446227545,8080808,1000,200000,3057,743,0,743,743,257,0.015285,0.74299999999999999,0,0.74299999999999999,0.74299999999999999,0.25700000000000001,4461700,4583300,6934900,572800,10907100,4461.6999999999998,4583.3000000000002,6934.8999999999996,572.79999999999995,10907.1,7000,14100,45400,996800,4800,6700,26700,564800,1.666048188549666e-16,2.070687901845214e-16,TARGET_FRAME_ERRORS_REACHED,SHARD1_POINT_K200_S15_17,SHARD_1,BASE_0P5DB
stage08_multipath_formal_common_snr,a251a4f1d4cfb87fd01e99da592a8ae9a9bfe790,BC8C55A2713D7A06EBAA8A6EDD34813874918E3535AC4C23C9BAE7ABA7755784,K200_S15,"BCH15分块200",200,15,11,1,19,285,0.70175438596491224,S2_FIXED_REAL_FIR_V1,"1;0.65;0;0.35","0.80451798670912955;0.52293669136093424;0;0.28158129534819532",0.99999999999999989,BLOCK_LINEAR_MMSE,BANDED_CHOLESKY_NORMAL_EQUATIONS,19,9.5,8.9125093813374541,8.0278486868054788,0.11220184543019636,8080808,1000,200000,1617,496,0,496,496,504,0.0080850000000000002,0.496,0,0.496,0.496,0.504,13052700,4489100,10382900,1202300,39018400,13052.700000000001,4489.1000000000004,10382.9,1202.3,39018.400000000001,11100,46900,304000,9259700,5400,15900,91500,939800,1.7007807259780507e-16,2.0504221811676325e-16,TARGET_FRAME_ERRORS_REACHED,SHARD1_POINT_K200_S15_19,SHARD_1,BASE_0P5DB
stage08_multipath_formal_common_snr,a251a4f1d4cfb87fd01e99da592a8ae9a9bfe790,BC8C55A2713D7A06EBAA8A6EDD34813874918E3535AC4C23C9BAE7ABA7755784,K200_S15,"BCH15分块200",200,15,11,1,19,285,0.70175438596491224,S2_FIXED_REAL_FIR_V1,"1;0.65;0;0.35","0.80451798670912955;0.52293669136093424;0;0.28158129534819532",0.99999999999999989,BLOCK_LINEAR_MMSE,BANDED_CHOLESKY_NORMAL_EQUATIONS,21,10.5,11.220184543019636,9.0278486868054788,0.089125093813374537,8080808,1000,200000,825,295,0,295,295,705,0.0041250000000000002,0.29499999999999998,0,0.29499999999999998,0.29499999999999998,0.70499999999999996,5331500,3121200,8679800,660400,10774900,5331.5,3121.1999999999998,8679.7999999999993,660.39999999999998,10774.9,9300,13800,37200,463700,5200,6800,34300,1617300,1.7401665298683871e-16,2.1541204058885095e-16,TARGET_FRAME_ERRORS_REACHED,SHARD1_POINT_K200_S15_21,SHARD_1,BASE_0P5DB
