payloadLength,metric,caseA,caseB,leftSnrDb,rightSnrDb,rankingAtLeft,rankingAtRight,crossingObservedBetweenGridPoints
200,ber,K200_M255K207,K200_M511K385,0.5,1.0,B,A,true
200,ber,K200_M255K207,K200_M511K385,2.5,3.0,A,B,true
200,ber,K200_M255K207,K200_M511K421,0.0,0.5,B,A,true
200,ber,K200_M255K207,K200_M511K421,0.5,1.0,A,B,true
200,ber,K200_M255K207,K200_M511K421,1.0,1.5,B,A,true
200,ber,K200_M255K207,K200_M511K421,1.5,2.0,A,B,true
200,ber,K200_M255K207,K200_M511K421,2.5,3.0,B,A,true
200,ber,K200_M255K207,K200_M511K421,3.0,3.5,A,B,true
200,ber,K200_M255K207,K200_M511K421,4.0,4.5,B,A,true
200,ber,K200_M255K207,K200_M511K421,5.0,5.5,A,B,true
200,ber,K200_M255K207,K200_S15,3.5,4.0,A,B,true
200,ber,K200_M255K207,K200_S15,8.0,8.5,B,A,true
200,ber,K200_M511K385,K200_M511K421,0.0,0.5,B,A,true
200,ber,K200_M511K385,K200_M511K421,0.5,1.0,A,B,true
200,ber,K200_M511K385,K200_M511K421,1.0,1.5,B,A,true
200,ber,K200_M511K385,K200_M511K421,1.5,2.0,A,B,true
200,ber,K200_M511K385,K200_M511K421,2.5,3.0,B,A,true
200,ber,K200_M511K385,K200_M511K421,3.0,3.5,A,B,true
200,ber,K200_M511K385,K200_M511K421,4.0,4.5,B,A,true
200,ber,K200_M511K385,K200_S15,4.0,4.5,A,B,true
200,ber,K200_M511K385,K200_S15,6.0,6.5,B,A,true
200,ber,K200_M511K421,K200_S15,4.0,4.5,A,B,true
200,ber,K200_M511K421,K200_S15,7.0,7.5,B,A,true
200,fer,K200_M255K207,K200_S15,4.5,5.0,A,B,true
200,fer,K200_M255K207,K200_S15,5.0,5.5,B,A,true
300,ber,K300_M255K207,K300_M511K385,0.5,1.0,A,B,true
300,ber,K300_M255K207,K300_M511K385,2.0,2.5,B,A,true
300,ber,K300_M255K207,K300_M511K385,4.0,4.5,A,B,true
300,ber,K300_M255K207,K300_M511K385,4.5,5.0,B,A,true
300,ber,K300_M255K207,K300_M511K385,5.0,5.5,A,B,true
300,ber,K300_M255K207,K300_M511K385,5.5,6.0,B,A,true
300,ber,K300_M255K207,K300_M511K385,7.0,7.5,A,B,true
300,ber,K300_M255K207,K300_M511K421,0.0,0.5,A,B,true
300,ber,K300_M255K207,K300_M511K421,2.0,2.5,B,A,true
300,ber,K300_M255K207,K300_M511K421,3.0,3.5,A,B,true
300,ber,K300_M255K207,K300_M511K421,3.5,4.0,B,A,true
300,ber,K300_M255K207,K300_M511K421,4.0,4.5,A,B,true
300,ber,K300_M255K207,K300_M511K421,4.5,5.0,B,A,true
300,ber,K300_M255K207,K300_M511K421,5.0,5.5,A,B,true
300,ber,K300_M255K207,K300_M511K421,5.5,6.0,B,A,true
300,ber,K300_M255K207,K300_M511K421,9.0,9.5,A,B,true
300,ber,K300_M255K207,K300_S15,4.0,4.5,A,B,true
300,ber,K300_M255K207,K300_S15,7.0,7.5,B,A,true
300,ber,K300_M511K385,K300_M511K421,0.5,1.0,B,A,true
300,ber,K300_M511K385,K300_M511K421,1.0,1.5,A,B,true
300,ber,K300_M511K385,K300_M511K421,1.5,2.0,B,A,true
300,ber,K300_M511K385,K300_M511K421,3.0,3.5,A,B,true
300,ber,K300_M511K385,K300_M511K421,3.5,4.0,B,A,true
300,ber,K300_M511K385,K300_M511K421,4.5,5.0,A,B,true
300,ber,K300_M511K385,K300_M511K421,5.5,6.0,B,A,true
300,ber,K300_M511K385,K300_S15,4.0,4.5,A,B,true
300,ber,K300_M511K385,K300_S15,7.0,7.5,B,A,true
300,ber,K300_M511K421,K300_S15,4.0,4.5,A,B,true
300,ber,K300_M511K421,K300_S15,8.0,8.5,B,A,true
300,fer,K300_M255K207,K300_M511K421,5.5,6.0,A,B,true
300,fer,K300_M255K207,K300_M511K421,6.0,6.5,B,A,true
300,fer,K300_M255K207,K300_M511K421,6.5,7.0,A,B,true
300,fer,K300_M255K207,K300_M511K421,7.0,7.5,B,A,true
300,fer,K300_M255K207,K300_M511K421,7.5,8.0,A,B,true
