caseId,legendLabel,payloadLength,encodedLength,actualRate,ebn0Db,snrDb,targetSnrDb,metricName,metricValue,totalFrames,errorCount,isZeroObserved,plotSurrogateUsed,plotValue
K300_S15,分块,300,420,0.7142857142857143,1.46128035678238,0,0,decodeTimeMeanNs,20794,1000,1000,0,0,20794
K300_S15,分块,300,420,0.7142857142857143,1.96128035678238,0.5,0.5,decodeTimeMeanNs,14689,1000,1000,0,0,14689
K300_S15,分块,300,420,0.7142857142857143,2.46128035678238,1,1,decodeTimeMeanNs,13677,1000,1000,0,0,13677
K300_S15,分块,300,420,0.7142857142857143,2.96128035678238,1.5,1.5,decodeTimeMeanNs,14486,1000,999,0,0,14486
K300_S15,分块,300,420,0.7142857142857143,3.46128035678238,2,2,decodeTimeMeanNs,12852,1000,984,0,0,12852
K300_S15,分块,300,420,0.7142857142857143,3.96128035678238,2.5,2.5,decodeTimeMeanNs,11327,1000,942,0,0,11327
K300_S15,分块,300,420,0.7142857142857143,4.46128035678238,3,3,decodeTimeMeanNs,18556,1000,875,0,0,18556
K300_S15,分块,300,420,0.7142857142857143,4.96128035678238,3.5,3.5,decodeTimeMeanNs,43513,1000,696,0,0,43513
K300_S15,分块,300,420,0.7142857142857143,5.46128035678238,4,4,decodeTimeMeanNs,40810,1000,500,0,0,40810
K300_S15,分块,300,420,0.7142857142857143,5.96128035678238,4.5,4.5,decodeTimeMeanNs,17154,1000,310,0,0,17154
K300_S15,分块,300,420,0.7142857142857143,6.46128035678238,5,5,decodeTimeMeanNs,13536,1200,212,0,0,13536
K300_S15,分块,300,420,0.7142857142857143,6.96128035678238,5.5,5.5,decodeTimeMeanNs,29750,2300,201,0,0,29750
K300_S15,分块,300,420,0.7142857142857143,7.46128035678238,6,6,decodeTimeMeanNs,14382,5100,205,0,0,14382
K300_S15,分块,300,420,0.7142857142857143,7.96128035678238,6.5,6.5,decodeTimeMeanNs,10726,12600,200,0,0,10726
