caseId,snrIndex,targetSnrDb,ebn0Db
K200_S15,0,0.0,1.5381486434452905
K200_S15,1,0.5,2.0381486434452905
K200_S15,2,1.0,2.5381486434452905
K200_S15,3,1.5,3.0381486434452905
K200_S15,4,2.0,3.5381486434452905
K200_S15,5,2.5,4.0381486434452905
K200_S15,6,3.0,4.5381486434452905
K200_S15,7,3.5,5.0381486434452905
K200_S15,8,4.0,5.5381486434452905
K200_S15,9,4.5,6.0381486434452905
K200_S15,10,5.0,6.5381486434452905
K200_S15,11,5.5,7.0381486434452905
K200_S15,12,6.0,7.5381486434452905
K200_S15,13,6.5,8.03814864344529
K200_S15,14,7.0,8.53814864344529
K200_S15,15,7.5,9.03814864344529
K200_S15,16,8.0,9.53814864344529
K200_M255K207,0,0.0,0.9342168516223509
K200_M255K207,1,0.5,1.434216851622351
K200_M255K207,2,1.0,1.934216851622351
K200_M255K207,3,1.5,2.434216851622351
K200_M255K207,4,2.0,2.934216851622351
K200_M255K207,5,2.5,3.434216851622351
K200_M255K207,6,3.0,3.934216851622351
K200_M255K207,7,3.5,4.434216851622351
K200_M255K207,8,4.0,4.934216851622351
K200_M255K207,9,4.5,5.434216851622351
K200_M255K207,10,5.0,5.934216851622351
K200_M255K207,11,5.5,6.434216851622351
K200_M255K207,12,6.0,6.934216851622351
K200_M255K207,13,6.5,7.434216851622351
K200_M255K207,14,7.0,7.934216851622351
K200_M255K207,15,7.5,8.43421685162235
K200_M255K207,16,8.0,8.93421685162235
K200_M511K421,0,0.0,1.6136800223497485
K200_M511K421,1,0.5,2.1136800223497483
K200_M511K421,2,1.0,2.6136800223497483
K200_M511K421,3,1.5,3.1136800223497483
K200_M511K421,4,2.0,3.6136800223497483
K200_M511K421,5,2.5,4.113680022349748
K200_M511K421,6,3.0,4.613680022349748
K200_M511K421,7,3.5,5.113680022349748
K200_M511K421,8,4.0,5.613680022349748
K200_M511K421,9,4.5,6.113680022349748
K200_M511K421,10,5.0,6.613680022349748
K200_M511K421,11,5.5,7.113680022349748
K200_M511K421,12,6.0,7.613680022349748
K200_M511K421,13,6.5,8.11368002234975
K200_M511K421,14,7.0,8.61368002234975
K200_M511K421,15,7.5,9.11368002234975
K200_M511K421,16,8.0,9.61368002234975
K200_M511K385,0,0.0,2.121876044039578
K200_M511K385,1,0.5,2.621876044039578
K200_M511K385,2,1.0,3.121876044039578
K200_M511K385,3,1.5,3.621876044039578
K200_M511K385,4,2.0,4.121876044039578
K200_M511K385,5,2.5,4.621876044039578
K200_M511K385,6,3.0,5.121876044039578
K200_M511K385,7,3.5,5.621876044039578
K200_M511K385,8,4.0,6.121876044039578
K200_M511K385,9,4.5,6.621876044039578
K200_M511K385,10,5.0,7.121876044039578
K200_M511K385,11,5.5,7.621876044039578
K200_M511K385,12,6.0,8.121876044039578
K200_M511K385,13,6.5,8.621876044039578
K200_M511K385,14,7.0,9.121876044039578
K200_M511K385,15,7.5,9.621876044039578
K200_M511K385,16,8.0,10.121876044039578
K300_S15,0,0.0,1.46128035678238
K300_S15,1,0.5,1.96128035678238
K300_S15,2,1.0,2.46128035678238
K300_S15,3,1.5,2.96128035678238
K300_S15,4,2.0,3.46128035678238
K300_S15,5,2.5,3.96128035678238
K300_S15,6,3.0,4.46128035678238
K300_S15,7,3.5,4.96128035678238
K300_S15,8,4.0,5.46128035678238
K300_S15,9,4.5,5.96128035678238
K300_S15,10,5.0,6.46128035678238
K300_S15,11,5.5,6.96128035678238
K300_S15,12,6.0,7.46128035678238
K300_S15,13,6.5,7.96128035678238
K300_S15,14,7.0,8.46128035678238
K300_S15,15,7.5,8.96128035678238
K300_S15,16,8.0,9.46128035678238
K300_M255K207,0,0.0,1.2057393120584987
K300_M255K207,1,0.5,1.7057393120584987
K300_M255K207,2,1.0,2.2057393120584985
K300_M255K207,3,1.5,2.7057393120584985
K300_M255K207,4,2.0,3.2057393120584985
K300_M255K207,5,2.5,3.7057393120584985
K300_M255K207,6,3.0,4.2057393120584985
K300_M255K207,7,3.5,4.7057393120584985
K300_M255K207,8,4.0,5.2057393120584985
K300_M255K207,9,4.5,5.7057393120584985
K300_M255K207,10,5.0,6.2057393120584985
K300_M255K207,11,5.5,6.7057393120584985
K300_M255K207,12,6.0,7.2057393120584985
K300_M255K207,13,6.5,7.7057393120584985
K300_M255K207,14,7.0,8.2057393120585
K300_M255K207,15,7.5,8.7057393120585
K300_M255K207,16,8.0,9.2057393120585
K300_M511K421,0,0.0,1.1394335230683674
K300_M511K421,1,0.5,1.6394335230683674
K300_M511K421,2,1.0,2.1394335230683676
K300_M511K421,3,1.5,2.6394335230683676
K300_M511K421,4,2.0,3.1394335230683676
K300_M511K421,5,2.5,3.6394335230683676
K300_M511K421,6,3.0,4.139433523068368
K300_M511K421,7,3.5,4.639433523068368
K300_M511K421,8,4.0,5.139433523068368
K300_M511K421,9,4.5,5.639433523068368
K300_M511K421,10,5.0,6.139433523068368
K300_M511K421,11,5.5,6.639433523068368
K300_M511K421,12,6.0,7.139433523068368
K300_M511K421,13,6.5,7.639433523068368
K300_M511K421,14,7.0,8.139433523068368
K300_M511K421,15,7.5,8.639433523068368
K300_M511K421,16,8.0,9.139433523068368
K300_M511K385,0,0.0,1.5228834438305652
K300_M511K385,1,0.5,2.0228834438305654
K300_M511K385,2,1.0,2.5228834438305654
K300_M511K385,3,1.5,3.0228834438305654
K300_M511K385,4,2.0,3.5228834438305654
K300_M511K385,5,2.5,4.022883443830565
K300_M511K385,6,3.0,4.522883443830565
K300_M511K385,7,3.5,5.022883443830565
K300_M511K385,8,4.0,5.522883443830565
K300_M511K385,9,4.5,6.022883443830565
K300_M511K385,10,5.0,6.522883443830565
K300_M511K385,11,5.5,7.022883443830565
K300_M511K385,12,6.0,7.522883443830565
K300_M511K385,13,6.5,8.022883443830565
K300_M511K385,14,7.0,8.522883443830565
K300_M511K385,15,7.5,9.022883443830565
K300_M511K385,16,8.0,9.522883443830565
