caseId,legendLabel,payloadLength,encodedLength,actualRate,ebn0Db,snrDb,requestedBlockageLengthSymbols,blockageLengthSymbols,actualBlockageRatio,metricName,metricValue,totalFrames,errorCount,isZeroObserved,plotSurrogateUsed,plotValue
K200_M255K207,255整块,200,248,0.80645161290322576,7.5,6.5657831483776494,5,5,0.020161290322580645,miscorrectionRate,0.0,50000,0,1,1,1e-05
K200_M255K207,255整块,200,248,0.80645161290322576,7.5,6.5657831483776494,10,10,0.040322580645161289,miscorrectionRate,0.0006,5000,3,0,0,0.0006
K200_M255K207,255整块,200,248,0.80645161290322576,7.5,6.5657831483776494,20,20,0.080645161290322578,miscorrectionRate,0.001,5000,5,0,0,0.001
K200_M255K207,255整块,200,248,0.80645161290322576,7.5,6.5657831483776494,30,30,0.12096774193548387,miscorrectionRate,0.0008,5000,4,0,0,0.0008
K200_M511K385,385整块,200,326,0.61349693251533743,7.5,5.3781239559604224,5,5,0.015337423312883436,miscorrectionRate,0.0,50000,0,1,1,1e-05
K200_M511K385,385整块,200,326,0.61349693251533743,7.5,5.3781239559604224,10,10,0.030674846625766871,miscorrectionRate,0.0,50000,0,1,1,1e-05
K200_M511K385,385整块,200,326,0.61349693251533743,7.5,5.3781239559604224,20,20,0.061349693251533742,miscorrectionRate,0.0,5000,0,1,1,0.0001
K200_M511K385,385整块,200,326,0.61349693251533743,7.5,5.3781239559604224,30,30,0.09202453987730061,miscorrectionRate,0.0,5000,0,1,1,0.0001
K200_M511K421,421整块,200,290,0.68965517241379315,7.5,5.8863199776502517,5,5,0.017241379310344827,miscorrectionRate,0.0,50000,0,1,1,1e-05
K200_M511K421,421整块,200,290,0.68965517241379315,7.5,5.8863199776502517,10,10,0.034482758620689655,miscorrectionRate,0.0,44300,0,1,1,1.128668171557562e-05
K200_M511K421,421整块,200,290,0.68965517241379315,7.5,5.8863199776502517,20,20,0.068965517241379309,miscorrectionRate,0.0,5000,0,1,1,0.0001
K200_M511K421,421整块,200,290,0.68965517241379315,7.5,5.8863199776502517,30,30,0.10344827586206896,miscorrectionRate,0.0,5000,0,1,1,0.0001
K200_S15,分块,200,285,0.70175438596491224,7.5,5.9618513565547095,5,5,0.017543859649122806,miscorrectionRate,0.767,5000,3835,0,0,0.767
K200_S15,分块,200,285,0.70175438596491224,7.5,5.9618513565547095,10,10,0.035087719298245612,miscorrectionRate,0.9668,5000,4834,0,0,0.9668
K200_S15,分块,200,285,0.70175438596491224,7.5,5.9618513565547095,20,20,0.070175438596491224,miscorrectionRate,0.9996,5000,4998,0,0,0.9996
K200_S15,分块,200,285,0.70175438596491224,7.5,5.9618513565547095,30,30,0.10526315789473684,miscorrectionRate,1.0,5000,5000,0,0,1.0
