caseId,legendLabel,payloadLength,encodedLength,actualRate,ebn0Db,snrDb,requestedBlockageLengthSymbols,blockageLengthSymbols,actualBlockageRatio,metricName,metricValue,totalFrames,errorCount,isZeroObserved,plotSurrogateUsed,plotValue
K300_M255K207,255双块,300,396,0.75757575757575757,8,6.7942606879415015,5,5,0.012626262626262626,fer,0.00064,50000,32,0,0,0.00064
K300_M255K207,255双块,300,396,0.75757575757575757,8,6.7942606879415015,10,10,0.025252525252525252,fer,0.1712,5000,856,0,0,0.1712
K300_M255K207,255双块,300,396,0.75757575757575757,8,6.7942606879415015,20,20,0.050505050505050504,fer,0.7924,5000,3962,0,0,0.7924
K300_M255K207,255双块,300,396,0.75757575757575757,8,6.7942606879415015,30,30,0.07575757575757576,fer,0.8732,5000,4366,0,0,0.8732
K300_M511K385,385整块,300,426,0.70422535211267601,8,6.4771165561694346,5,5,0.011737089201877934,fer,0.0,50000,0,1,1,1e-05
K300_M511K385,385整块,300,426,0.70422535211267601,8,6.4771165561694346,10,10,0.023474178403755867,fer,0.0,50000,0,1,1,1e-05
K300_M511K385,385整块,300,426,0.70422535211267601,8,6.4771165561694346,20,20,0.046948356807511735,fer,0.0452,5000,226,0,0,0.0452
K300_M511K385,385整块,300,426,0.70422535211267601,8,6.4771165561694346,30,30,0.070422535211267609,fer,0.5516,5000,2758,0,0,0.5516
K300_M511K421,421整块,300,390,0.76923076923076927,8,6.8605664769316324,5,5,0.01282051282051282,fer,0.0,50000,0,1,1,1e-05
K300_M511K421,421整块,300,390,0.76923076923076927,8,6.8605664769316324,10,10,0.02564102564102564,fer,0.00114,50000,57,0,0,0.00114
K300_M511K421,421整块,300,390,0.76923076923076927,8,6.8605664769316324,20,20,0.05128205128205128,fer,0.4222,5000,2111,0,0,0.4222
K300_M511K421,421整块,300,390,0.76923076923076927,8,6.8605664769316324,30,30,0.076923076923076927,fer,0.846,5000,4230,0,0,0.846
K300_S15,分块,300,420,0.7142857142857143,8,6.53871964321762,5,5,0.011904761904761904,fer,0.758,5000,3790,0,0,0.758
K300_S15,分块,300,420,0.7142857142857143,8,6.53871964321762,10,10,0.023809523809523808,fer,0.9712,5000,4856,0,0,0.9712
K300_S15,分块,300,420,0.7142857142857143,8,6.53871964321762,20,20,0.047619047619047616,fer,0.9998,5000,4999,0,0,0.9998
K300_S15,分块,300,420,0.7142857142857143,8,6.53871964321762,30,30,0.071428571428571425,fer,1.0,5000,5000,0,0,1.0
