experimentType,caseId,ebn0Index,ebn0Db,blockageParameterIndex,requestedBlockageLengthSymbols
FIXED_LENGTH,K200_S15,0,7.5,0,5
FIXED_LENGTH,K200_S15,0,7.5,1,10
FIXED_LENGTH,K200_S15,0,7.5,2,20
FIXED_LENGTH,K200_S15,0,7.5,3,30
FIXED_LENGTH,K200_M255K207,0,7.5,0,5
FIXED_LENGTH,K200_M255K207,0,7.5,1,10
FIXED_LENGTH,K200_M255K207,0,7.5,2,20
FIXED_LENGTH,K200_M255K207,0,7.5,3,30
FIXED_LENGTH,K200_M511K421,0,7.5,0,5
FIXED_LENGTH,K200_M511K421,0,7.5,1,10
FIXED_LENGTH,K200_M511K421,0,7.5,2,20
FIXED_LENGTH,K200_M511K421,0,7.5,3,30
FIXED_LENGTH,K200_M511K385,0,7.5,0,5
FIXED_LENGTH,K200_M511K385,0,7.5,1,10
FIXED_LENGTH,K200_M511K385,0,7.5,2,20
FIXED_LENGTH,K200_M511K385,0,7.5,3,30
FIXED_LENGTH,K300_S15,0,8.0,0,5
FIXED_LENGTH,K300_S15,0,8.0,1,10
FIXED_LENGTH,K300_S15,0,8.0,2,20
FIXED_LENGTH,K300_S15,0,8.0,3,30
FIXED_LENGTH,K300_M255K207,0,8.0,0,5
FIXED_LENGTH,K300_M255K207,0,8.0,1,10
FIXED_LENGTH,K300_M255K207,0,8.0,2,20
FIXED_LENGTH,K300_M255K207,0,8.0,3,30
FIXED_LENGTH,K300_M511K421,0,8.0,0,5
FIXED_LENGTH,K300_M511K421,0,8.0,1,10
FIXED_LENGTH,K300_M511K421,0,8.0,2,20
FIXED_LENGTH,K300_M511K421,0,8.0,3,30
FIXED_LENGTH,K300_M511K385,0,8.0,0,5
FIXED_LENGTH,K300_M511K385,0,8.0,1,10
FIXED_LENGTH,K300_M511K385,0,8.0,2,20
FIXED_LENGTH,K300_M511K385,0,8.0,3,30
