caseId,legendLabel,payloadLength,encodedLength,actualRate,ebn0Db,snrDb,metricName,metricValue,totalFrames,errorCount,isZeroObserved,plotSurrogateUsed,plotValue,requestedBlockageRatio,blockageLengthSymbols,actualBlockageRatio
K200_S15,分块,200,285,0.70175438596491224,7.5,5.9618513565547095,ber,0.00011657608695652174,18400,429,0,0,0.00011657608695652174,0,0,0
K200_S15,分块,200,285,0.70175438596491224,7.5,5.9618513565547095,ber,0.01212,5000,12120,0,0,0.01212,0.02,6,0.021052631578947368
K200_S15,分块,200,285,0.70175438596491224,7.5,5.9618513565547095,ber,0.026642,5000,26642,0,0,0.026642,0.050000000000000003,14,0.04912280701754386
K200_S15,分块,200,285,0.70175438596491224,7.5,5.9618513565547095,ber,0.043294,5000,43294,0,0,0.043294,0.080000000000000002,23,0.080701754385964913
K200_S15,分块,200,285,0.70175438596491224,7.5,5.9618513565547095,ber,0.054288,5000,54288,0,0,0.054288,0.10000000000000001,29,0.10175438596491228
K200_S15,分块,200,285,0.70175438596491224,7.5,5.9618513565547095,ber,0.063257,5000,63257,0,0,0.063257,0.12,34,0.11929824561403508
K200_S15,分块,200,285,0.70175438596491224,7.5,5.9618513565547095,ber,0.07979,5000,79790,0,0,0.07979,0.14999999999999999,43,0.15087719298245614
K200_S15,分块,200,285,0.70175438596491224,7.5,5.9618513565547095,ber,0.105645,5000,105645,0,0,0.105645,0.20000000000000001,57,0.20000000000000001
K200_M255K207,255整块,200,248,0.80645161290322576,7.5,6.5657831483776494,ber,0.0,50000,0,1,1,5e-08,0,0,0
K200_M255K207,255整块,200,248,0.80645161290322576,7.5,6.5657831483776494,ber,5.44e-05,50000,544,0,0,5.44e-05,0.02,5,0.020161290322580645
K200_M255K207,255整块,200,248,0.80645161290322576,7.5,6.5657831483776494,ber,0.014712,5000,14712,0,0,0.014712,0.050000000000000003,12,0.048387096774193547
K200_M255K207,255整块,200,248,0.80645161290322576,7.5,6.5657831483776494,ber,0.041808,5000,41808,0,0,0.041808,0.080000000000000002,20,0.080645161290322578
K200_M255K207,255整块,200,248,0.80645161290322576,7.5,6.5657831483776494,ber,0.052987,5000,52987,0,0,0.052987,0.10000000000000001,25,0.10080645161290322
K200_M255K207,255整块,200,248,0.80645161290322576,7.5,6.5657831483776494,ber,0.063958,5000,63958,0,0,0.063958,0.12,30,0.12096774193548387
K200_M255K207,255整块,200,248,0.80645161290322576,7.5,6.5657831483776494,ber,0.080257,5000,80257,0,0,0.080257,0.14999999999999999,37,0.14919354838709678
K200_M255K207,255整块,200,248,0.80645161290322576,7.5,6.5657831483776494,ber,0.110675,5000,110675,0,0,0.110675,0.20000000000000001,50,0.20161290322580644
K200_M511K421,421整块,200,290,0.68965517241379315,7.5,5.8863199776502517,ber,0.0,50000,0,1,1,5e-08,0,0,0
K200_M511K421,421整块,200,290,0.68965517241379315,7.5,5.8863199776502517,ber,7e-07,50000,7,0,0,7e-07,0.02,6,0.020689655172413793
K200_M511K421,421整块,200,290,0.68965517241379315,7.5,5.8863199776502517,ber,0.005875,5000,5875,0,0,0.005875,0.050000000000000003,15,0.051724137931034482
K200_M511K421,421整块,200,290,0.68965517241379315,7.5,5.8863199776502517,ber,0.035418,5000,35418,0,0,0.035418,0.080000000000000002,23,0.079310344827586213
K200_M511K421,421整块,200,290,0.68965517241379315,7.5,5.8863199776502517,ber,0.051679,5000,51679,0,0,0.051679,0.10000000000000001,29,0.10000000000000001
K200_M511K421,421整块,200,290,0.68965517241379315,7.5,5.8863199776502517,ber,0.063844,5000,63844,0,0,0.063844,0.12,35,0.1206896551724138
K200_M511K421,421整块,200,290,0.68965517241379315,7.5,5.8863199776502517,ber,0.081642,5000,81642,0,0,0.081642,0.14999999999999999,44,0.15172413793103448
K200_M511K421,421整块,200,290,0.68965517241379315,7.5,5.8863199776502517,ber,0.110054,5000,110054,0,0,0.110054,0.20000000000000001,58,0.20000000000000001
K200_M511K385,385整块,200,326,0.61349693251533743,7.5,5.3781239559604224,ber,0.0,50000,0,1,1,5e-08,0,0,0
K200_M511K385,385整块,200,326,0.61349693251533743,7.5,5.3781239559604224,ber,0.0,50000,0,1,1,5e-08,0.02,7,0.021472392638036811
K200_M511K385,385整块,200,326,0.61349693251533743,7.5,5.3781239559604224,ber,0.0006676100628930818,15900,2123,0,0,0.0006676100628930818,0.050000000000000003,16,0.049079754601226995
K200_M511K385,385整块,200,326,0.61349693251533743,7.5,5.3781239559604224,ber,0.023693,5000,23693,0,0,0.023693,0.080000000000000002,26,0.079754601226993863
K200_M511K385,385整块,200,326,0.61349693251533743,7.5,5.3781239559604224,ber,0.048572,5000,48572,0,0,0.048572,0.10000000000000001,33,0.10122699386503067
K200_M511K385,385整块,200,326,0.61349693251533743,7.5,5.3781239559604224,ber,0.064437,5000,64437,0,0,0.064437,0.12,39,0.1196319018404908
K200_M511K385,385整块,200,326,0.61349693251533743,7.5,5.3781239559604224,ber,0.081681,5000,81681,0,0,0.081681,0.14999999999999999,49,0.15030674846625766
K200_M511K385,385整块,200,326,0.61349693251533743,7.5,5.3781239559604224,ber,0.106169,5000,106169,0,0,0.106169,0.20000000000000001,65,0.19938650306748465
