caseId,legendLabel,payloadLength,encodedLength,actualRate,ebn0Db,snrDb,metricName,metricValue,totalFrames,errorCount,isZeroObserved,plotSurrogateUsed,plotValue,requestedBlockageRatio,blockageLengthSymbols,actualBlockageRatio
K300_S15,分块,300,420,0.7142857142857143,5,3.53871964321762,fer,1.0,5000,5000,0,0,1.0,0.10000000000000001,42,0.10000000000000001
K300_S15,分块,300,420,0.7142857142857143,6,4.53871964321762,fer,1.0,5000,5000,0,0,1.0,0.10000000000000001,42,0.10000000000000001
K300_S15,分块,300,420,0.7142857142857143,7,5.53871964321762,fer,1.0,5000,5000,0,0,1.0,0.10000000000000001,42,0.10000000000000001
K300_S15,分块,300,420,0.7142857142857143,8,6.53871964321762,fer,1.0,5000,5000,0,0,1.0,0.10000000000000001,42,0.10000000000000001
K300_S15,分块,300,420,0.7142857142857143,9,7.53871964321762,fer,1.0,5000,5000,0,0,1.0,0.10000000000000001,42,0.10000000000000001
K300_M255K207,255双块,300,396,0.75757575757575757,5,3.7942606879415015,fer,0.9906,5000,4953,0,0,0.9906,0.10000000000000001,40,0.10101010101010101
K300_M255K207,255双块,300,396,0.75757575757575757,6,4.7942606879415015,fer,0.9704,5000,4852,0,0,0.9704,0.10000000000000001,40,0.10101010101010101
K300_M255K207,255双块,300,396,0.75757575757575757,7,5.7942606879415015,fer,0.9472,5000,4736,0,0,0.9472,0.10000000000000001,40,0.10101010101010101
K300_M255K207,255双块,300,396,0.75757575757575757,8,6.7942606879415015,fer,0.9238,5000,4619,0,0,0.9238,0.10000000000000001,40,0.10101010101010101
K300_M255K207,255双块,300,396,0.75757575757575757,9,7.7942606879415015,fer,0.9062,5000,4531,0,0,0.9062,0.10000000000000001,40,0.10101010101010101
K300_M511K421,421整块,300,390,0.76923076923076927,5,3.8605664769316324,fer,0.9974,5000,4987,0,0,0.9974,0.10000000000000001,39,0.10000000000000001
K300_M511K421,421整块,300,390,0.76923076923076927,6,4.8605664769316324,fer,0.981,5000,4905,0,0,0.981,0.10000000000000001,39,0.10000000000000001
K300_M511K421,421整块,300,390,0.76923076923076927,7,5.8605664769316324,fer,0.9344,5000,4672,0,0,0.9344,0.10000000000000001,39,0.10000000000000001
K300_M511K421,421整块,300,390,0.76923076923076927,8,6.8605664769316324,fer,0.8846,5000,4423,0,0,0.8846,0.10000000000000001,39,0.10000000000000001
K300_M511K421,421整块,300,390,0.76923076923076927,9,7.8605664769316324,fer,0.8518,5000,4259,0,0,0.8518,0.10000000000000001,39,0.10000000000000001
K300_M511K385,385整块,300,426,0.70422535211267601,5,3.4771165561694346,fer,0.9982,5000,4991,0,0,0.9982,0.10000000000000001,43,0.10093896713615023
K300_M511K385,385整块,300,426,0.70422535211267601,6,4.4771165561694346,fer,0.9802,5000,4901,0,0,0.9802,0.10000000000000001,43,0.10093896713615023
K300_M511K385,385整块,300,426,0.70422535211267601,7,5.4771165561694346,fer,0.9252,5000,4626,0,0,0.9252,0.10000000000000001,43,0.10093896713615023
K300_M511K385,385整块,300,426,0.70422535211267601,8,6.4771165561694346,fer,0.8404,5000,4202,0,0,0.8404,0.10000000000000001,43,0.10093896713615023
K300_M511K385,385整块,300,426,0.70422535211267601,9,7.4771165561694346,fer,0.793,5000,3965,0,0,0.793,0.10000000000000001,43,0.10093896713615023
