caseId,sampleId,samplePolicy,continuousError,hardMismatch,payloadMismatch,statusMismatch,passed
K200_S15,0,ZERO_RATIO,0,0,0,0,1
K200_S15,1,BOUNDARY_START,0,0,0,0,1
K200_S15,2,RANDOM_START,0,0,0,0,1
K200_M511K385,0,ZERO_RATIO,0,0,0,0,1
K200_M511K385,1,BOUNDARY_START,0,0,0,0,1
K200_M511K385,2,RANDOM_START,0,0,0,0,1
K300_S15,0,ZERO_RATIO,0,0,0,0,1
K300_S15,1,BOUNDARY_START,0,0,0,0,1
K300_S15,2,RANDOM_START,0,0,0,0,1
K300_M255K207,0,ZERO_RATIO,0,0,0,0,1
K300_M255K207,1,BOUNDARY_START,0,0,0,0,1
K300_M255K207,2,RANDOM_START,0,0,0,0,1
