experimentType,caseId,ebn0Index,ebn0Db,blockageParameterIndex,requestedBlockageRatio,targetSnrDb
RATIO,K200_S15,0,7.5,0,0,5.9618513565547095
RATIO,K200_S15,0,7.5,1,0.02,5.9618513565547095
RATIO,K200_S15,0,7.5,2,0.05,5.9618513565547095
RATIO,K200_S15,0,7.5,3,0.08,5.9618513565547095
RATIO,K200_S15,0,7.5,4,0.1,5.9618513565547095
RATIO,K200_S15,0,7.5,5,0.12,5.9618513565547095
RATIO,K200_S15,0,7.5,6,0.15,5.9618513565547095
RATIO,K200_S15,0,7.5,7,0.2,5.9618513565547095
RATIO,K200_M255K207,0,7.5,0,0,6.5657831483776494
RATIO,K200_M255K207,0,7.5,1,0.02,6.5657831483776494
RATIO,K200_M255K207,0,7.5,2,0.05,6.5657831483776494
RATIO,K200_M255K207,0,7.5,3,0.08,6.5657831483776494
RATIO,K200_M255K207,0,7.5,4,0.1,6.5657831483776494
RATIO,K200_M255K207,0,7.5,5,0.12,6.5657831483776494
RATIO,K200_M255K207,0,7.5,6,0.15,6.5657831483776494
RATIO,K200_M255K207,0,7.5,7,0.2,6.5657831483776494
RATIO,K200_M511K421,0,7.5,0,0,5.8863199776502517
RATIO,K200_M511K421,0,7.5,1,0.02,5.8863199776502517
RATIO,K200_M511K421,0,7.5,2,0.05,5.8863199776502517
RATIO,K200_M511K421,0,7.5,3,0.08,5.8863199776502517
RATIO,K200_M511K421,0,7.5,4,0.1,5.8863199776502517
RATIO,K200_M511K421,0,7.5,5,0.12,5.8863199776502517
RATIO,K200_M511K421,0,7.5,6,0.15,5.8863199776502517
RATIO,K200_M511K421,0,7.5,7,0.2,5.8863199776502517
RATIO,K200_M511K385,0,7.5,0,0,5.3781239559604224
RATIO,K200_M511K385,0,7.5,1,0.02,5.3781239559604224
RATIO,K200_M511K385,0,7.5,2,0.05,5.3781239559604224
RATIO,K200_M511K385,0,7.5,3,0.08,5.3781239559604224
RATIO,K200_M511K385,0,7.5,4,0.1,5.3781239559604224
RATIO,K200_M511K385,0,7.5,5,0.12,5.3781239559604224
RATIO,K200_M511K385,0,7.5,6,0.15,5.3781239559604224
RATIO,K200_M511K385,0,7.5,7,0.2,5.3781239559604224
RATIO,K300_S15,0,8.0,0,0,6.53871964321762
RATIO,K300_S15,0,8.0,1,0.02,6.53871964321762
RATIO,K300_S15,0,8.0,2,0.05,6.53871964321762
RATIO,K300_S15,0,8.0,3,0.08,6.53871964321762
RATIO,K300_S15,0,8.0,4,0.1,6.53871964321762
RATIO,K300_S15,0,8.0,5,0.12,6.53871964321762
RATIO,K300_S15,0,8.0,6,0.15,6.53871964321762
RATIO,K300_S15,0,8.0,7,0.2,6.53871964321762
RATIO,K300_M255K207,0,8.0,0,0,6.7942606879415015
RATIO,K300_M255K207,0,8.0,1,0.02,6.7942606879415015
RATIO,K300_M255K207,0,8.0,2,0.05,6.7942606879415015
RATIO,K300_M255K207,0,8.0,3,0.08,6.7942606879415015
RATIO,K300_M255K207,0,8.0,4,0.1,6.7942606879415015
RATIO,K300_M255K207,0,8.0,5,0.12,6.7942606879415015
RATIO,K300_M255K207,0,8.0,6,0.15,6.7942606879415015
RATIO,K300_M255K207,0,8.0,7,0.2,6.7942606879415015
RATIO,K300_M511K421,0,8.0,0,0,6.8605664769316324
RATIO,K300_M511K421,0,8.0,1,0.02,6.8605664769316324
RATIO,K300_M511K421,0,8.0,2,0.05,6.8605664769316324
RATIO,K300_M511K421,0,8.0,3,0.08,6.8605664769316324
