caseId,burstLengthIndex,burstLengthBits
K200_S15,3,3
K200_S15,7,8
K200_S15,11,20
K200_S15,15,50
K200_M255K207,3,3
K200_M255K207,7,8
K200_M255K207,11,20
K200_M255K207,15,50
K200_M511K421,3,3
K200_M511K421,7,8
K200_M511K421,11,20
K200_M511K421,15,50
K200_M511K385,3,3
K200_M511K385,7,8
K200_M511K385,11,20
K200_M511K385,15,50
K300_S15,3,3
K300_S15,7,8
K300_S15,11,20
K300_S15,15,50
K300_M255K207,3,3
K300_M255K207,7,8
K300_M255K207,11,20
K300_M255K207,15,50
K300_M511K421,3,3
K300_M511K421,7,8
K300_M511K421,11,20
K300_M511K421,15,50
K300_M511K385,3,3
K300_M511K385,7,8
K300_M511K385,11,20
K300_M511K385,15,50
