caseId,burstLengthBits,framesProcessed,affectedCodeBlocksTotal,meanAffectedCodeBlocks,maxAffectedCodeBlocks,maxErrorsInOneCodeBlockObserved,meanMaxErrorsInOneCodeBlock
K200_S15,0,50000,0,0,0,0,0
K200_S15,1,50000,50000,1,1,1,1
K200_S15,2,1000,1045,1.0449999999999999,2,2,1.9550000000000001
K200_S15,3,1000,1124,1.1240000000000001,2,3,2.8759999999999999
K200_S15,4,1000,1196,1.196,2,4,3.7280000000000002
K200_S15,5,1000,1241,1.2410000000000001,2,5,4.6440000000000001
K200_S15,6,1000,1295,1.2949999999999999,2,6,5.4660000000000002
K200_S15,8,1000,1472,1.472,2,8,6.9160000000000004
K200_S15,10,1000,1581,1.581,2,10,8.4390000000000001
K200_S15,12,1000,1726,1.726,2,12,9.5879999999999992
K200_S15,15,1000,1927,1.927,2,15,11.401
K200_S15,20,1000,2263,2.2629999999999999,3,15,13.298
K200_S15,25,1000,2593,2.593,3,15,14.596
K200_S15,30,1000,2919,2.919,3,15,15
K200_S15,40,1000,3625,3.625,4,15,15
K200_S15,50,1000,4256,4.2560000000000002,5,15,15
K200_M255K207,0,50000,0,0,0,0,0
K200_M255K207,1,50000,50000,1,1,1,1
K200_M255K207,2,50000,50000,1,1,2,2
K200_M255K207,3,50000,50000,1,1,3,3
K200_M255K207,4,50000,50000,1,1,4,4
K200_M255K207,5,50000,50000,1,1,5,5
K200_M255K207,6,50000,50000,1,1,6,6
K200_M255K207,8,1000,1000,1,1,8,8
K200_M255K207,10,1000,1000,1,1,10,10
K200_M255K207,12,1000,1000,1,1,12,12
K200_M255K207,15,1000,1000,1,1,15,15
K200_M255K207,20,1000,1000,1,1,20,20
K200_M255K207,25,1000,1000,1,1,25,25
K200_M255K207,30,1000,1000,1,1,30,30
K200_M255K207,40,1000,1000,1,1,40,40
K200_M255K207,50,1000,1000,1,1,50,50
K200_M511K421,0,50000,0,0,0,0,0
K200_M511K421,1,50000,50000,1,1,1,1
K200_M511K421,2,50000,50000,1,1,2,2
K200_M511K421,3,50000,50000,1,1,3,3
K200_M511K421,4,50000,50000,1,1,4,4
K200_M511K421,5,50000,50000,1,1,5,5
K200_M511K421,6,50000,50000,1,1,6,6
K200_M511K421,8,50000,50000,1,1,8,8
K200_M511K421,10,50000,50000,1,1,10,10
K200_M511K421,12,1000,1000,1,1,12,12
K200_M511K421,15,1000,1000,1,1,15,15
K200_M511K421,20,1000,1000,1,1,20,20
K200_M511K421,25,1000,1000,1,1,25,25
K200_M511K421,30,1000,1000,1,1,30,30
K200_M511K421,40,1000,1000,1,1,40,40
K200_M511K421,50,1000,1000,1,1,50,50
K200_M511K385,0,50000,0,0,0,0,0
K200_M511K385,1,50000,50000,1,1,1,1
K200_M511K385,2,50000,50000,1,1,2,2
K200_M511K385,3,50000,50000,1,1,3,3
K200_M511K385,4,50000,50000,1,1,4,4
K200_M511K385,5,50000,50000,1,1,5,5
K200_M511K385,6,50000,50000,1,1,6,6
K200_M511K385,8,50000,50000,1,1,8,8
K200_M511K385,10,50000,50000,1,1,10,10
K200_M511K385,12,50000,50000,1,1,12,12
K200_M511K385,15,1000,1000,1,1,15,15
K200_M511K385,20,1000,1000,1,1,20,20
K200_M511K385,25,1000,1000,1,1,25,25
K200_M511K385,30,1000,1000,1,1,30,30
K200_M511K385,40,1000,1000,1,1,40,40
K200_M511K385,50,1000,1000,1,1,50,50
K300_S15,0,50000,0,0,0,0,0
K300_S15,1,50000,50000,1,1,1,1
K300_S15,2,1000,1069,1.069,2,2,1.931
K300_S15,3,1000,1130,1.1299999999999999,2,3,2.8700000000000001
K300_S15,4,1000,1213,1.2130000000000001,2,4,3.7080000000000002
K300_S15,5,1000,1275,1.2749999999999999,2,5,4.5890000000000004
K300_S15,6,1000,1327,1.327,2,6,5.4160000000000004
K300_S15,8,1000,1446,1.446,2,8,6.9660000000000002
K300_S15,10,1000,1609,1.609,2,10,8.2799999999999994
K300_S15,12,1000,1719,1.7190000000000001,2,12,9.6370000000000005
K300_S15,15,1000,1929,1.929,2,15,11.302
K300_S15,20,1000,2242,2.242,3,15,13.348000000000001
K300_S15,25,1000,2593,2.593,3,15,14.593
K300_S15,30,1000,2937,2.9369999999999998,3,15,15
K300_S15,40,1000,3586,3.5859999999999999,4,15,15
K300_S15,50,1000,4266,4.266,5,15,15
K300_M255K207,0,50000,0,0,0,0,0
K300_M255K207,1,50000,50000,1,1,1,1
K300_M255K207,2,50000,50124,1.00248,2,2,1.99752
K300_M255K207,3,50000,50226,1.0045200000000001,2,3,2.9954800000000001
K300_M255K207,4,50000,50382,1.0076400000000001,2,4,3.9897
K300_M255K207,5,50000,50451,1.00902,2,5,4.9863200000000001
K300_M255K207,6,50000,50605,1.0121,2,6,5.9779
K300_M255K207,8,1000,1018,1.018,2,8,7.9630000000000001
K300_M255K207,10,1000,1032,1.032,2,10,9.9049999999999994
K300_M255K207,12,1000,1033,1.0329999999999999,2,12,11.894
K300_M255K207,15,1000,1031,1.0309999999999999,2,15,14.862
K300_M255K207,20,1000,1047,1.0469999999999999,2,20,19.718
K300_M255K207,25,1000,1075,1.075,2,25,24.452000000000002
K300_M255K207,30,1000,1070,1.0700000000000001,2,30,29.466999999999999
K300_M255K207,40,1000,1110,1.1100000000000001,2,40,38.835000000000001
K300_M255K207,50,1000,1150,1.1499999999999999,2,50,48.122999999999998
K300_M511K421,0,50000,0,0,0,0,0
K300_M511K421,1,50000,50000,1,1,1,1
K300_M511K421,2,50000,50000,1,1,2,2
K300_M511K421,3,50000,50000,1,1,3,3
K300_M511K421,4,50000,50000,1,1,4,4
K300_M511K421,5,50000,50000,1,1,5,5
K300_M511K421,6,50000,50000,1,1,6,6
K300_M511K421,8,50000,50000,1,1,8,8
K300_M511K421,10,50000,50000,1,1,10,10
K300_M511K421,12,1000,1000,1,1,12,12
K300_M511K421,15,1000,1000,1,1,15,15
K300_M511K421,20,1000,1000,1,1,20,20
K300_M511K421,25,1000,1000,1,1,25,25
K300_M511K421,30,1000,1000,1,1,30,30
K300_M511K421,40,1000,1000,1,1,40,40
K300_M511K421,50,1000,1000,1,1,50,50
K300_M511K385,0,50000,0,0,0,0,0
K300_M511K385,1,50000,50000,1,1,1,1
K300_M511K385,2,50000,50000,1,1,2,2
K300_M511K385,3,50000,50000,1,1,3,3
K300_M511K385,4,50000,50000,1,1,4,4
K300_M511K385,5,50000,50000,1,1,5,5
K300_M511K385,6,50000,50000,1,1,6,6
K300_M511K385,8,50000,50000,1,1,8,8
K300_M511K385,10,50000,50000,1,1,10,10
K300_M511K385,12,50000,50000,1,1,12,12
K300_M511K385,15,1000,1000,1,1,15,15
K300_M511K385,20,1000,1000,1,1,20,20
K300_M511K385,25,1000,1000,1,1,25,25
K300_M511K385,30,1000,1000,1,1,30,30
K300_M511K385,40,1000,1000,1,1,40,40
K300_M511K385,50,1000,1000,1,1,50,50
