caseId,burstLengthBits,framesProcessed,decoderDeclaredSuccessFrames,decoderDeclaredFailureFrames,trueSuccessFrames,miscorrectionFrames,undetectedErrorFrames,decoderFailureRate,miscorrectionRate,undetectedErrorRate,trueSuccessRate
K200_S15,0,50000,50000,0,50000,0,0,0,0,0,1
K200_S15,1,50000,50000,0,50000,0,0,0,0,0,1
K200_S15,2,1000,1000,0,83,917,0,0,0.91700000000000004,0,0.083000000000000004
K200_S15,3,1000,1000,0,42,958,0,0,0.95799999999999996,0,0.042000000000000003
K200_S15,4,1000,1000,0,23,977,0,0,0.97699999999999998,0,0.023
K200_S15,5,1000,1000,0,26,974,0,0,0.97399999999999998,0,0.025999999999999999
K200_S15,6,1000,1000,0,33,967,0,0,0.96699999999999997,0,0.033000000000000002
K200_S15,8,1000,1000,0,15,985,0,0,0.98499999999999999,0,0.014999999999999999
K200_S15,10,1000,1000,0,14,986,0,0,0.98599999999999999,0,0.014
K200_S15,12,1000,1000,0,10,990,0,0,0.98999999999999999,0,0.01
K200_S15,15,1000,1000,0,0,1000,73,0,1,0.072999999999999995,0
K200_S15,20,1000,1000,0,0,1000,0,0,1,0,0
K200_S15,25,1000,1000,0,0,1000,0,0,1,0,0
K200_S15,30,1000,1000,0,0,1000,81,0,1,0.081000000000000003,0
K200_S15,40,1000,1000,0,0,1000,0,0,1,0,0
K200_S15,50,1000,1000,0,0,1000,0,0,1,0,0
K200_M255K207,0,50000,50000,0,50000,0,0,0,0,0,1
K200_M255K207,1,50000,50000,0,50000,0,0,0,0,0,1
K200_M255K207,2,50000,50000,0,50000,0,0,0,0,0,1
K200_M255K207,3,50000,50000,0,50000,0,0,0,0,0,1
K200_M255K207,4,50000,50000,0,50000,0,0,0,0,0,1
K200_M255K207,5,50000,50000,0,50000,0,0,0,0,0,1
K200_M255K207,6,50000,50000,0,50000,0,0,0,0,0,1
K200_M255K207,8,1000,0,1000,183,0,0,1,0,0,0.183
K200_M255K207,10,1000,0,1000,171,0,0,1,0,0,0.17100000000000001
K200_M255K207,12,1000,0,1000,167,0,0,1,0,0,0.16700000000000001
K200_M255K207,15,1000,0,1000,148,0,0,1,0,0,0.14799999999999999
K200_M255K207,20,1000,0,1000,104,0,0,1,0,0,0.104
K200_M255K207,25,1000,0,1000,111,0,0,1,0,0,0.111
K200_M255K207,30,1000,0,1000,91,0,0,1,0,0,0.090999999999999998
K200_M255K207,40,1000,0,1000,47,0,0,1,0,0,0.047
K200_M255K207,50,1000,0,1000,0,0,0,1,0,0,0
K200_M511K421,0,50000,50000,0,50000,0,0,0,0,0,1
K200_M511K421,1,50000,50000,0,50000,0,0,0,0,0,1
K200_M511K421,2,50000,50000,0,50000,0,0,0,0,0,1
K200_M511K421,3,50000,50000,0,50000,0,0,0,0,0,1
K200_M511K421,4,50000,50000,0,50000,0,0,0,0,0,1
K200_M511K421,5,50000,50000,0,50000,0,0,0,0,0,1
K200_M511K421,6,50000,50000,0,50000,0,0,0,0,0,1
K200_M511K421,8,50000,50000,0,50000,0,0,0,0,0,1
K200_M511K421,10,50000,50000,0,50000,0,0,0,0,0,1
K200_M511K421,12,1000,0,1000,290,0,0,1,0,0,0.28999999999999998
K200_M511K421,15,1000,0,1000,283,0,0,1,0,0,0.28299999999999997
K200_M511K421,20,1000,0,1000,241,0,0,1,0,0,0.24099999999999999
K200_M511K421,25,1000,0,1000,233,0,0,1,0,0,0.23300000000000001
K200_M511K421,30,1000,0,1000,234,0,0,1,0,0,0.23400000000000001
K200_M511K421,40,1000,0,1000,215,0,0,1,0,0,0.215
K200_M511K421,50,1000,0,1000,182,0,0,1,0,0,0.182
K200_M511K385,0,50000,50000,0,50000,0,0,0,0,0,1
K200_M511K385,1,50000,50000,0,50000,0,0,0,0,0,1
K200_M511K385,2,50000,50000,0,50000,0,0,0,0,0,1
K200_M511K385,3,50000,50000,0,50000,0,0,0,0,0,1
K200_M511K385,4,50000,50000,0,50000,0,0,0,0,0,1
