caseId,burstLengthIndex,burstLengthBits
K200_S15,0,0
K200_S15,1,1
K200_S15,2,2
K200_S15,3,3
K200_S15,4,4
K200_S15,5,5
K200_S15,6,6
K200_S15,7,8
K200_S15,8,10
K200_S15,9,12
K200_S15,10,15
K200_S15,11,20
K200_S15,12,25
K200_S15,13,30
K200_S15,14,40
K200_S15,15,50
K200_M255K207,0,0
K200_M255K207,1,1
K200_M255K207,2,2
K200_M255K207,3,3
K200_M255K207,4,4
K200_M255K207,5,5
K200_M255K207,6,6
K200_M255K207,7,8
K200_M255K207,8,10
K200_M255K207,9,12
K200_M255K207,10,15
K200_M255K207,11,20
K200_M255K207,12,25
K200_M255K207,13,30
K200_M255K207,14,40
K200_M255K207,15,50
K200_M511K421,0,0
K200_M511K421,1,1
K200_M511K421,2,2
K200_M511K421,3,3
K200_M511K421,4,4
K200_M511K421,5,5
K200_M511K421,6,6
K200_M511K421,7,8
K200_M511K421,8,10
K200_M511K421,9,12
K200_M511K421,10,15
K200_M511K421,11,20
K200_M511K421,12,25
K200_M511K421,13,30
K200_M511K421,14,40
K200_M511K421,15,50
K200_M511K385,0,0
K200_M511K385,1,1
K200_M511K385,2,2
K200_M511K385,3,3
K200_M511K385,4,4
K200_M511K385,5,5
K200_M511K385,6,6
K200_M511K385,7,8
K200_M511K385,8,10
K200_M511K385,9,12
K200_M511K385,10,15
K200_M511K385,11,20
K200_M511K385,12,25
K200_M511K385,13,30
K200_M511K385,14,40
K200_M511K385,15,50
K300_S15,0,0
K300_S15,1,1
K300_S15,2,2
K300_S15,3,3
K300_S15,4,4
K300_S15,5,5
K300_S15,6,6
K300_S15,7,8
K300_S15,8,10
K300_S15,9,12
K300_S15,10,15
K300_S15,11,20
K300_S15,12,25
K300_S15,13,30
K300_S15,14,40
K300_S15,15,50
K300_M255K207,0,0
K300_M255K207,1,1
K300_M255K207,2,2
K300_M255K207,3,3
K300_M255K207,4,4
K300_M255K207,5,5
K300_M255K207,6,6
K300_M255K207,7,8
K300_M255K207,8,10
K300_M255K207,9,12
K300_M255K207,10,15
K300_M255K207,11,20
K300_M255K207,12,25
K300_M255K207,13,30
K300_M255K207,14,40
K300_M255K207,15,50
K300_M511K421,0,0
K300_M511K421,1,1
K300_M511K421,2,2
K300_M511K421,3,3
K300_M511K421,4,4
K300_M511K421,5,5
K300_M511K421,6,6
K300_M511K421,7,8
K300_M511K421,8,10
K300_M511K421,9,12
K300_M511K421,10,15
K300_M511K421,11,20
K300_M511K421,12,25
K300_M511K421,13,30
K300_M511K421,14,40
K300_M511K421,15,50
K300_M511K385,0,0
K300_M511K385,1,1
K300_M511K385,2,2
K300_M511K385,3,3
K300_M511K385,4,4
K300_M511K385,5,5
K300_M511K385,6,6
K300_M511K385,7,8
K300_M511K385,8,10
K300_M511K385,9,12
K300_M511K385,10,15
K300_M511K385,11,20
K300_M511K385,12,25
K300_M511K385,13,30
K300_M511K385,14,40
K300_M511K385,15,50
