plotId,caseId,series,legendLabel,xRaw,xDisplay,yRaw,yPlot,yIsZero,framesProcessed,payloadBitsProcessed,plotSurrogateUsed
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,1,无交织,3,3,0,1.0000000000000001e-05,true,50000,15000000,true
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,1,无交织,5,5,0,1.0000000000000001e-05,true,50000,15000000,true
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,1,无交织,8,8,0.748,0.748,false,1000,300000,false
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,1,无交织,10,10,0.751,0.751,false,1000,300000,false
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,1,无交织,15,15,0.80800000000000005,0.80800000000000005,false,1000,300000,false
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,1,无交织,20,20,0.82699999999999996,0.82699999999999996,false,1000,300000,false
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,1,无交织,30,30,0.89300000000000002,0.89300000000000002,false,1000,300000,false
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,4,D=4,3,3,0,1.0000000000000001e-05,true,50000,15000000,true
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,4,D=4,5,5,0,1.0000000000000001e-05,true,50000,15000000,true
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,4,D=4,8,8,0,1.0000000000000001e-05,true,50000,15000000,true
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,4,D=4,10,10,0,1.0000000000000001e-05,true,50000,15000000,true
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,4,D=4,15,15,1,1,false,1000,300000,false
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,4,D=4,20,20,1,1,false,1000,300000,false
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,4,D=4,30,30,1,1,false,1000,300000,false
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,8,D=8,3,3,0,1.0000000000000001e-05,true,50000,15000000,true
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,8,D=8,5,5,0,1.0000000000000001e-05,true,50000,15000000,true
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,8,D=8,8,8,0,1.0000000000000001e-05,true,50000,15000000,true
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,8,D=8,10,10,0.014191442560136238,0.014191442560136238,false,14093,4227900,false
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,8,D=8,15,15,1,1,false,1000,300000,false
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,8,D=8,20,20,1,1,false,1000,300000,false
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,8,D=8,30,30,1,1,false,1000,300000,false
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,16,D=16,3,3,0,1.0000000000000001e-05,true,50000,15000000,true
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,16,D=16,5,5,0,1.0000000000000001e-05,true,50000,15000000,true
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,16,D=16,8,8,0.37,0.37,false,1000,300000,false
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,16,D=16,10,10,0.63900000000000001,0.63900000000000001,false,1000,300000,false
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,16,D=16,15,15,1,1,false,1000,300000,false
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,16,D=16,20,20,1,1,false,1000,300000,false
stage15_interleaving_formal_k300_m255k207_depth_fer,K300_M255K207,16,D=16,30,30,1,1,false,1000,300000,false
