plotId,caseId,series,legendLabel,xRaw,xDisplay,yRaw,yPlot,yIsZero,framesProcessed,payloadBitsProcessed,plotSurrogateUsed
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,NONE,无交织,1,1,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,NONE,无交织,2,2,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,NONE,无交织,3,3,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,NONE,无交织,5,5,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,NONE,无交织,8,8,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,NONE,无交织,10,10,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,NONE,无交织,15,15,0.039046666666666667,0.039046666666666667,false,1000,300000,false
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,NONE,无交织,20,20,0.050810000000000001,0.050810000000000001,false,1000,300000,false
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,NONE,无交织,30,30,0.077013333333333336,0.077013333333333336,false,1000,300000,false
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,BLOCK,块交织,1,1,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,BLOCK,块交织,2,2,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,BLOCK,块交织,3,3,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,BLOCK,块交织,5,5,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,BLOCK,块交织,8,8,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,BLOCK,块交织,10,10,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,BLOCK,块交织,15,15,0.03821666666666667,0.03821666666666667,false,1000,300000,false
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,BLOCK,块交织,20,20,0.051040000000000002,0.051040000000000002,false,1000,300000,false
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,BLOCK,块交织,30,30,0.076119999999999993,0.076119999999999993,false,1000,300000,false
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,ROW_COLUMN,行列交织,1,1,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,ROW_COLUMN,行列交织,2,2,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,ROW_COLUMN,行列交织,3,3,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,ROW_COLUMN,行列交织,5,5,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,ROW_COLUMN,行列交织,8,8,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,ROW_COLUMN,行列交织,10,10,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,ROW_COLUMN,行列交织,15,15,0.038313333333333331,0.038313333333333331,false,1000,300000,false
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,ROW_COLUMN,行列交织,20,20,0.051006666666666665,0.051006666666666665,false,1000,300000,false
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,ROW_COLUMN,行列交织,30,30,0.076566666666666672,0.076566666666666672,false,1000,300000,false
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,PSEUDORANDOM,伪随机交织,1,1,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,PSEUDORANDOM,伪随机交织,2,2,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,PSEUDORANDOM,伪随机交织,3,3,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,PSEUDORANDOM,伪随机交织,5,5,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,PSEUDORANDOM,伪随机交织,8,8,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,PSEUDORANDOM,伪随机交织,10,10,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,PSEUDORANDOM,伪随机交织,15,15,0.038440000000000002,0.038440000000000002,false,1000,300000,false
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,PSEUDORANDOM,伪随机交织,20,20,0.051606666666666669,0.051606666666666669,false,1000,300000,false
stage15_interleaving_formal_k300_m511k421_ber,K300_M511K421,PSEUDORANDOM,伪随机交织,30,30,0.077153333333333338,0.077153333333333338,false,1000,300000,false
