plotId,caseId,series,legendLabel,xRaw,xDisplay,yRaw,yPlot,yIsZero,framesProcessed,payloadBitsProcessed,plotSurrogateUsed
stage15_interleaving_formal_k300_s15_ber,K300_S15,NONE,无交织,1,1,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_s15_ber,K300_S15,NONE,无交织,2,2,0.0069533333333333331,0.0069533333333333331,false,1000,300000,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,NONE,无交织,3,3,0.0091066666666666674,0.0091066666666666674,false,1000,300000,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,NONE,无交织,5,5,0.014749999999999999,0.014749999999999999,false,1000,300000,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,NONE,无交织,8,8,0.021056666666666668,0.021056666666666668,false,1000,300000,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,NONE,无交织,10,10,0.024523333333333334,0.024523333333333334,false,1000,300000,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,NONE,无交织,15,15,0.036150000000000002,0.036150000000000002,false,1000,300000,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,NONE,无交织,20,20,0.04816666666666667,0.04816666666666667,false,1000,300000,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,NONE,无交织,30,30,0.072706666666666669,0.072706666666666669,false,1000,300000,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,BLOCK,块交织,1,1,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_s15_ber,K300_S15,BLOCK,块交织,2,2,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_s15_ber,K300_S15,BLOCK,块交织,3,3,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_s15_ber,K300_S15,BLOCK,块交织,5,5,9.1004231696773893e-05,9.1004231696773893e-05,false,21977,6593100,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,BLOCK,块交织,8,8,0.00596,0.00596,false,1000,300000,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,BLOCK,块交织,10,10,0.018120000000000001,0.018120000000000001,false,1000,300000,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,BLOCK,块交织,15,15,0.044446666666666669,0.044446666666666669,false,1000,300000,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,BLOCK,块交织,20,20,0.060826666666666668,0.060826666666666668,false,1000,300000,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,BLOCK,块交织,30,30,0.089599999999999999,0.089599999999999999,false,1000,300000,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,ROW_COLUMN,行列交织,1,1,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_s15_ber,K300_S15,ROW_COLUMN,行列交织,2,2,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_s15_ber,K300_S15,ROW_COLUMN,行列交织,3,3,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_s15_ber,K300_S15,ROW_COLUMN,行列交织,5,5,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_s15_ber,K300_S15,ROW_COLUMN,行列交织,8,8,0.00037803849398052296,0.00037803849398052296,false,4347,1304100,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,ROW_COLUMN,行列交织,10,10,0.014149999999999999,0.014149999999999999,false,1000,300000,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,ROW_COLUMN,行列交织,15,15,0.048406666666666667,0.048406666666666667,false,1000,300000,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,ROW_COLUMN,行列交织,20,20,0.063656666666666667,0.063656666666666667,false,1000,300000,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,ROW_COLUMN,行列交织,30,30,0.087923333333333339,0.087923333333333339,false,1000,300000,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,PSEUDORANDOM,伪随机交织,1,1,0,3.3333333333333334e-08,true,50000,15000000,true
stage15_interleaving_formal_k300_s15_ber,K300_S15,PSEUDORANDOM,伪随机交织,2,2,0.00028757692073356486,0.00028757692073356486,false,5471,1641300,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,PSEUDORANDOM,伪随机交织,3,3,0.00083777067802626908,0.00083777067802626908,false,1878,563400,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,PSEUDORANDOM,伪随机交织,5,5,0.0024599999999999999,0.0024599999999999999,false,1000,300000,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,PSEUDORANDOM,伪随机交织,8,8,0.0062100000000000002,0.0062100000000000002,false,1000,300000,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,PSEUDORANDOM,伪随机交织,10,10,0.0098133333333333336,0.0098133333333333336,false,1000,300000,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,PSEUDORANDOM,伪随机交织,15,15,0.021170000000000001,0.021170000000000001,false,1000,300000,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,PSEUDORANDOM,伪随机交织,20,20,0.03429666666666667,0.03429666666666667,false,1000,300000,false
stage15_interleaving_formal_k300_s15_ber,K300_S15,PSEUDORANDOM,伪随机交织,30,30,0.066059999999999994,0.066059999999999994,false,1000,300000,false
