caseId,configurationId,interleaverMode,interleaverDepth,burstLengthIndex,burstLengthBits,snrIndex,targetSnrDb,derivedEbN0Db,permutationSha256
K200_S15,NONE_LREP,NONE,1,1,8,1,0.5,2.0381486434452905,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22
K200_S15,NONE_LREP,NONE,1,1,8,5,2.5,4.0381486434452905,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22
K200_S15,NONE_LREP,NONE,1,1,8,9,4.5,6.0381486434452905,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22
K200_S15,NONE_LREP,NONE,1,1,8,13,6.5,8.0381486434452896,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22
K200_S15,NONE_LREP,NONE,1,1,8,17,8.5,10.03814864344529,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22
K200_S15,NONE_LREP,NONE,1,1,8,21,10.5,12.03814864344529,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22
K200_S15,NONE_LREP,NONE,1,1,8,25,12.5,14.03814864344529,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22
K200_S15,NONE_LREP,NONE,1,1,8,29,14.5,16.03814864344529,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22
K200_S15,NONE_LREP,NONE,1,1,8,33,16.5,18.03814864344529,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22
K200_S15,BEST_LREP,ROW_COLUMN,16,1,8,0,0,1.5381486434452905,3e176e22f2606ff990324081ee68cc2f588770bc0ecb7b9e0911f2b1505ef056
K200_S15,BEST_LREP,ROW_COLUMN,16,1,8,4,2,3.5381486434452905,3e176e22f2606ff990324081ee68cc2f588770bc0ecb7b9e0911f2b1505ef056
K200_S15,BEST_LREP,ROW_COLUMN,16,1,8,8,4,5.5381486434452905,3e176e22f2606ff990324081ee68cc2f588770bc0ecb7b9e0911f2b1505ef056
K200_S15,BEST_LREP,ROW_COLUMN,16,1,8,12,6,7.5381486434452905,3e176e22f2606ff990324081ee68cc2f588770bc0ecb7b9e0911f2b1505ef056
K200_S15,BEST_LREP,ROW_COLUMN,16,1,8,16,8,9.5381486434452896,3e176e22f2606ff990324081ee68cc2f588770bc0ecb7b9e0911f2b1505ef056
K200_S15,BEST_LREP,ROW_COLUMN,16,1,8,20,10,11.53814864344529,3e176e22f2606ff990324081ee68cc2f588770bc0ecb7b9e0911f2b1505ef056
K200_S15,BEST_LREP,ROW_COLUMN,16,1,8,24,12,13.53814864344529,3e176e22f2606ff990324081ee68cc2f588770bc0ecb7b9e0911f2b1505ef056
K200_S15,BEST_LREP,ROW_COLUMN,16,1,8,28,14,15.53814864344529,3e176e22f2606ff990324081ee68cc2f588770bc0ecb7b9e0911f2b1505ef056
K200_S15,BEST_LREP,ROW_COLUMN,16,1,8,32,16,17.53814864344529,3e176e22f2606ff990324081ee68cc2f588770bc0ecb7b9e0911f2b1505ef056
K200_S15,BEST_LREP,ROW_COLUMN,16,1,8,36,18,19.53814864344529,3e176e22f2606ff990324081ee68cc2f588770bc0ecb7b9e0911f2b1505ef056
K200_M255K207,NONE_LREP,NONE,1,1,8,3,1.5,2.434216851622351,01aeb77782a2e6b0bac376fd888553f0b68e9ce200da0456fb5bed5a31560793
K200_M255K207,NONE_LREP,NONE,1,1,8,7,3.5,4.4342168516223506,01aeb77782a2e6b0bac376fd888553f0b68e9ce200da0456fb5bed5a31560793
K200_M255K207,NONE_LREP,NONE,1,1,8,11,5.5,6.4342168516223506,01aeb77782a2e6b0bac376fd888553f0b68e9ce200da0456fb5bed5a31560793
K200_M255K207,NONE_LREP,NONE,1,1,8,15,7.5,8.4342168516223506,01aeb77782a2e6b0bac376fd888553f0b68e9ce200da0456fb5bed5a31560793
