stageId,runId,gitCommit,caseId,legendLabel,payloadLength,encodedLength,actualRate,motherN,motherK,motherT,blockCount,configurationId,interleaverMode,interleaverDepth,interleaverSeed,permutationFile,permutationSha256,burstLengthIndex,burstLengthBits,burstRatio,snrIndex,targetSnrDb,derivedEbN0Db,sigma2,masterSeed,framesProcessed,payloadBitsProcessed,payloadErrorBits,payloadErrorFrames,decoderDeclaredSuccessFrames,decoderDeclaredFailureFrames,trueSuccessFrames,miscorrectionFrames,undetectedErrorFrames,affectedCodeBlocksTotal,meanAffectedCodeBlocks,maxAffectedCodeBlocks,maxErrorsInOneCodeBlockObserved,meanMaxErrorsInOneCodeBlock,interleaverApplyTimeTotalNs,deinterleaverApplyTimeTotalNs,decoderTimeTotalNs,interleaverTimeMeanNs,deinterleaverTimeMeanNs,decoderTimeMeanNs,decoderTimeP50Ns,decoderTimeP95Ns,decoderTimeP99Ns,decoderTimeMaxNs,interleaverBufferBits,interleaverBufferBytes,interleaverStartupDelayBits,burstStartChecksum,payloadChecksum,awgnChecksum,ber,fer,decoderFailureRate,miscorrectionRate,undetectedErrorRate,trueSuccessRate,stopReason,checkpointPath,resultSha256
stage16_burst_interleaving_comparison,stage16_formal_v1,1ef10ee8fe32bb6b353084e14ba42264096b2fe8,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE_LREP,NONE,1,1140071481932319848,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,1,8,0.028070175438596492,2,1,2.5381486434452905,0.39716411736214075,1397048147,1000,200000,14250,998,1000,0,2,998,0,1456,1.456,2,8,6.9660000000000002,667400,675500,9029800,667,675,9029,7600,12400,22300,58700,285,36,285,10213349243255252009,2316545862110743317,9675955982536889938,0.071249999999999994,0.998,0,0.998,0,0.002,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage16_burst_interleaving_comparison_K200_S15_NONE_LREP_S2.json,
stage16_burst_interleaving_comparison,stage16_formal_v1,1ef10ee8fe32bb6b353084e14ba42264096b2fe8,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE_LREP,NONE,1,1140071481932319848,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,1,8,0.028070175438596492,6,3,4.5381486434452905,0.25059361681363618,1397048147,1000,200000,7941,995,1000,0,5,995,0,1440,1.4399999999999999,2,8,7.0090000000000003,750400,751800,9205900,750,751,9205,9300,11800,24500,86400,285,36,285,7737594389289044585,1173733885670028005,7351587508147074428,0.039704999999999997,0.995,0,0.995,0,0.0050000000000000001,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage16_burst_interleaving_comparison_K200_S15_NONE_LREP_S6.json,
stage16_burst_interleaving_comparison,stage16_formal_v1,1ef10ee8fe32bb6b353084e14ba42264096b2fe8,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE_LREP,NONE,1,1140071481932319848,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,1,8,0.028070175438596492,10,5,6.5381486434452905,0.15811388300841897,1397048147,1000,200000,6363,993,1000,0,7,993,0,1462,1.462,2,8,6.9509999999999996,721300,744300,8361800,721,744,8361,8000,11200,15900,62200,285,36,285,15585167627542728747,15508658966236342691,16867771261066937415,0.031815000000000003,0.99299999999999999,0,0.99299999999999999,0,0.0070000000000000001,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage16_burst_interleaving_comparison_K200_S15_NONE_LREP_S10.json,
stage16_burst_interleaving_comparison,stage16_formal_v1,1ef10ee8fe32bb6b353084e14ba42264096b2fe8,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE_LREP,NONE,1,1140071481932319848,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,1,8,0.028070175438596492,14,7,8.5381486434452896,0.099763115748444001,1397048147,1000,200000,6136,985,1000,0,15,985,0,1472,1.472,2,8,6.8879999999999999,677100,704600,7649900,677,704,7649,6100,11100,13800,52300,285,36,285,8626798923186273894,5348711210770128269,13705895276785603081,0.030679999999999999,0.98499999999999999,0,0.98499999999999999,0,0.014999999999999999,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage16_burst_interleaving_comparison_K200_S15_NONE_LREP_S14.json,
stage16_burst_interleaving_comparison,stage16_formal_v1,1ef10ee8fe32bb6b353084e14ba42264096b2fe8,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE_LREP,NONE,1,1140071481932319848,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,1,8,0.028070175438596492,18,9,10.53814864344529,0.06294627058970835,1397048147,1000,200000,6136,988,1000,0,12,988,0,1479,1.4790000000000001,2,8,6.8840000000000003,664800,668000,7537700,664,668,7537,6100,10600,12500,60400,285,36,285,9068060952800164912,14206626168188384001,8229078509261478379,0.030679999999999999,0.98799999999999999,0,0.98799999999999999,0,0.012,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage16_burst_interleaving_comparison_K200_S15_NONE_LREP_S18.json,
stage16_burst_interleaving_comparison,stage16_formal_v1,1ef10ee8fe32bb6b353084e14ba42264096b2fe8,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE_LREP,NONE,1,1140071481932319848,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,1,8,0.028070175438596492,22,11,12.53814864344529,0.039716411736214069,1397048147,1000,200000,6194,986,1000,0,14,986,0,1460,1.46,2,8,6.9770000000000003,794400,786300,8788800,794,786,8788,9900,10700,12300,85200,285,36,285,14530067526276214218,11848301433337141861,14416496575202998193,0.030970000000000001,0.98599999999999999,0,0.98599999999999999,0,0.014,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage16_burst_interleaving_comparison_K200_S15_NONE_LREP_S22.json,
stage16_burst_interleaving_comparison,stage16_formal_v1,1ef10ee8fe32bb6b353084e14ba42264096b2fe8,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE_LREP,NONE,1,1140071481932319848,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,1,8,0.028070175438596492,26,13,14.53814864344529,0.025059361681363614,1397048147,1000,200000,6119,987,1000,0,13,987,0,1455,1.4550000000000001,2,8,6.9429999999999996,666400,634100,7093600,666,634,7093,5900,10700,18800,52300,285,36,285,16246517853626874510,10285257058111983512,16136007818929647969,0.030595000000000001,0.98699999999999999,0,0.98699999999999999,0,0.012999999999999999,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage16_burst_interleaving_comparison_K200_S15_NONE_LREP_S26.json,
stage16_burst_interleaving_comparison,stage16_formal_v1,1ef10ee8fe32bb6b353084e14ba42264096b2fe8,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE_LREP,NONE,1,1140071481932319848,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,1,8,0.028070175438596492,30,15,16.53814864344529,0.015811388300841896,1397048147,1000,200000,6195,991,1000,0,9,991,0,1468,1.468,2,8,6.9080000000000004,741600,765000,8222200,741,765,8222,7600,11000,18200,102600,285,36,285,8478345743040979222,2089486670877237434,2072709215242055493,0.030974999999999999,0.99099999999999999,0,0.99099999999999999,0,0.0089999999999999993,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage16_burst_interleaving_comparison_K200_S15_NONE_LREP_S30.json,
stage16_burst_interleaving_comparison,stage16_formal_v1,1ef10ee8fe32bb6b353084e14ba42264096b2fe8,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,NONE_LREP,NONE,1,1140071481932319848,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22,1,8,0.028070175438596492,34,17,18.53814864344529,0.0099763115748443994,1397048147,1000,200000,6171,986,1000,0,14,986,0,1466,1.466,2,8,6.923,693300,688900,7693500,693,688,7693,6300,10600,13900,57000,285,36,285,2054716939193362945,5626283628907223708,3240994754072225756,0.030855,0.98599999999999999,0,0.98599999999999999,0,0.014,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage16_burst_interleaving_comparison_K200_S15_NONE_LREP_S34.json,
stage16_burst_interleaving_comparison,stage16_formal_v1,1ef10ee8fe32bb6b353084e14ba42264096b2fe8,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,BEST_LREP,ROW_COLUMN,16,1140071481932319848,../stage13_burst_interleaving_validation/results/stage13_burst_interleaving_validation_permutations.csv,3e176e22f2606ff990324081ee68cc2f588770bc0ecb7b9e0911f2b1505ef056,1,8,0.028070175438596492,1,0.5,2.0381486434452905,0.44562546906687278,1397048147,1000,200000,18088,1000,1000,0,0,1000,0,8000,8,8,1,1,669900,667500,9086300,669,667,9086,7500,12700,13900,31700,285,36,285,4523128573567806643,9213379136773596738,2163159563430553775,0.090440000000000006,1,0,1,0,0,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage16_burst_interleaving_comparison_K200_S15_BEST_LREP_S1.json,
