figureName,caseId,seriesLabel,payloadGroup,codeType,configuration,configurationId,snrIndex,snr,derivedEbN0Db,actualRate,ber,fer,payloadErrorBits,payloadBitsProcessed,payloadErrorFrames,framesProcessed,sourceBer,sourceFer,plotMetric,plotValue,zeroRemovedForPublication
s16_nm_k200_fer_overview,K200_S15,分块-无突发,200,分块,无突发,NONE_L0,0,0,1.5381486434452905,0.70175438596491224,0.074245000000000005,1,14849,200000,1000,1000,0.074245000000000005,1,FER,1,false
s16_nm_k200_fer_overview,K200_S15,分块-无突发,200,分块,无突发,NONE_L0,1,0.5,2.0381486434452905,0.70175438596491224,0.057685,0.996,11537,200000,996,1000,0.057685,0.996,FER,0.996,false
s16_nm_k200_fer_overview,K200_S15,分块-无突发,200,分块,无突发,NONE_L0,2,1,2.5381486434452905,0.70175438596491224,0.043674999999999999,0.98499999999999999,8735,200000,985,1000,0.043674999999999999,0.98499999999999999,FER,0.98499999999999999,false
s16_nm_k200_fer_overview,K200_S15,分块-无突发,200,分块,无突发,NONE_L0,3,1.5,3.0381486434452905,0.70175438596491224,0.031995000000000003,0.95999999999999996,6399,200000,960,1000,0.031995000000000003,0.95999999999999996,FER,0.95999999999999996,false
s16_nm_k200_fer_overview,K200_S15,分块-无突发,200,分块,无突发,NONE_L0,4,2,3.5381486434452905,0.70175438596491224,0.022210000000000001,0.86799999999999999,4442,200000,868,1000,0.022210000000000001,0.86799999999999999,FER,0.86799999999999999,false
s16_nm_k200_fer_overview,K200_S15,分块-无突发,200,分块,无突发,NONE_L0,5,2.5,4.0381486434452905,0.70175438596491224,0.014515,0.73099999999999998,2903,200000,731,1000,0.014515,0.73099999999999998,FER,0.73099999999999998,false
s16_nm_k200_fer_overview,K200_S15,分块-无突发,200,分块,无突发,NONE_L0,6,3,4.5381486434452905,0.70175438596491224,0.0093550000000000005,0.58099999999999996,1871,200000,581,1000,0.0093550000000000005,0.58099999999999996,FER,0.58099999999999996,false
s16_nm_k200_fer_overview,K200_S15,分块-无突发,200,分块,无突发,NONE_L0,7,3.5,5.0381486434452905,0.70175438596491224,0.0053800000000000002,0.38700000000000001,1076,200000,387,1000,0.0053800000000000002,0.38700000000000001,FER,0.38700000000000001,false
s16_nm_k200_fer_overview,K200_S15,分块-无突发,200,分块,无突发,NONE_L0,8,4,5.5381486434452905,0.70175438596491224,0.0029350000000000001,0.23799999999999999,587,200000,238,1000,0.0029350000000000001,0.23799999999999999,FER,0.23799999999999999,false
s16_nm_k200_fer_overview,K200_S15,分块-无突发,200,分块,无突发,NONE_L0,9,4.5,6.0381486434452905,0.70175438596491224,0.0013716814159292034,0.11799410029498525,465,339000,200,1695,0.0013716814159292034,0.11799410029498525,FER,0.11799410029498525,false
s16_nm_k200_fer_overview,K200_S15,分块-无突发,200,分块,无突发,NONE_L0,10,5,6.5381486434452905,0.70175438596491224,0.00073233959818535318,0.064808813998703821,452,617200,200,3086,0.00073233959818535318,0.064808813998703821,FER,0.064808813998703821,false
s16_nm_k200_fer_overview,K200_S15,分块-无突发,200,分块,无突发,NONE_L0,11,5.5,7.0381486434452905,0.70175438596491224,0.00032003973885892705,0.028384899233607722,451,1409200,200,7046,0.00032003973885892705,0.028384899233607722,FER,0.028384899233607722,false
s16_nm_k200_fer_overview,K200_S15,分块-无突发,200,分块,无突发,NONE_L0,12,6,7.5381486434452905,0.70175438596491224,0.00012661102594674388,0.011355248963833532,446,3522600,200,17613,0.00012661102594674388,0.011355248963833532,FER,0.011355248963833532,false
s16_nm_k200_fer_overview,K200_S15,分块-无突发,200,分块,无突发,NONE_L0,13,6.5,8.0381486434452896,0.70175438596491224,3.8600000000000003e-05,0.00364,386,10000000,182,50000,3.8600000000000003e-05,0.00364,FER,0.00364,false
s16_nm_k200_fer_overview,K200_S15,分块-无突发,200,分块,无突发,NONE_L0,14,7,8.5381486434452896,0.70175438596491224,1.5999999999999999e-05,0.0014,160,10000000,70,50000,1.5999999999999999e-05,0.0014,FER,0.0014,false
s16_nm_k200_fer_overview,K200_S15,分块-无突发,200,分块,无突发,NONE_L0,15,7.5,9.0381486434452896,0.70175438596491224,5.2000000000000002e-06,0.00044000000000000002,52,10000000,22,50000,5.2000000000000002e-06,0.00044000000000000002,FER,0.00044000000000000002,false
s16_nm_k200_fer_overview,K200_S15,分块-无突发,200,分块,无突发,NONE_L0,16,8,9.5381486434452896,0.70175438596491224,9.9999999999999995e-08,2.0000000000000002e-05,1,10000000,1,50000,9.9999999999999995e-08,2.0000000000000002e-05,FER,2.0000000000000002e-05,false
s16_nm_k200_fer_overview,K200_S15,分块-无突发,200,分块,无突发,NONE_L0,17,8.5,10.03814864344529,0.70175438596491224,1.9999999999999999e-07,2.0000000000000002e-05,2,10000000,1,50000,1.9999999999999999e-07,2.0000000000000002e-05,FER,2.0000000000000002e-05,false
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,0,0,1.5381486434452905,0.70175438596491224,0.110995,1,22199,200000,1000,1000,0.110995,1,FER,1,false
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,1,0.5,2.0381486434452905,0.70175438596491224,0.095835000000000004,1,19167,200000,1000,1000,0.095835000000000004,1,FER,1,false
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,2,1,2.5381486434452905,0.70175438596491224,0.082475000000000007,1,16495,200000,1000,1000,0.082475000000000007,1,FER,1,false
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,3,1.5,3.0381486434452905,0.70175438596491224,0.072535000000000002,1,14507,200000,1000,1000,0.072535000000000002,1,FER,1,false
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,4,2,3.5381486434452905,0.70175438596491224,0.062869999999999995,1,12574,200000,1000,1000,0.062869999999999995,1,FER,1,false
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,5,2.5,4.0381486434452905,0.70175438596491224,0.055219999999999998,0.998,11044,200000,998,1000,0.055219999999999998,0.998,FER,0.998,false
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,6,3,4.5381486434452905,0.70175438596491224,0.050955,0.99299999999999999,10191,200000,993,1000,0.050955,0.99299999999999999,FER,0.99299999999999999,false
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,7,3.5,5.0381486434452905,0.70175438596491224,0.04727,0.997,9454,200000,997,1000,0.04727,0.997,FER,0.997,false
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,8,4,5.5381486434452905,0.70175438596491224,0.044760000000000001,0.99099999999999999,8952,200000,991,1000,0.044760000000000001,0.99099999999999999,FER,0.99099999999999999,false
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,9,4.5,6.0381486434452905,0.70175438596491224,0.043139999999999998,0.99299999999999999,8628,200000,993,1000,0.043139999999999998,0.99299999999999999,FER,0.99299999999999999,false
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,10,5,6.5381486434452905,0.70175438596491224,0.043104999999999997,0.99399999999999999,8621,200000,994,1000,0.043104999999999997,0.99399999999999999,FER,0.99399999999999999,false
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,11,5.5,7.0381486434452905,0.70175438596491224,0.04231,0.995,8462,200000,995,1000,0.04231,0.995,FER,0.995,false
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,12,6,7.5381486434452905,0.70175438596491224,0.042325000000000002,0.99399999999999999,8465,200000,994,1000,0.042325000000000002,0.99399999999999999,FER,0.99399999999999999,false
s16_nm_k200_fer_overview,K200_S15,分块-无交织突发,200,分块,无交织突发,NONE_LREP,13,6.5,8.0381486434452896,0.70175438596491224,0.04197,0.99099999999999999,8394,200000,991,1000,0.04197,0.99099999999999999,FER,0.99099999999999999,false
