figureName,seriesLabel,payloadGroup,codeType,configuration,rawPointCount,positivePointCount,publicationPointCount,zeroPointCount,firstSnr,lastSnr,firstPositiveSnr,lastPositiveSnr,includedInPublicationPlot,tailPointExclusionReason,reason
s16_org_k300_fer_overview,分块300-无突发,300,分块,无突发,37,17,17,20,0,18,0,8,true,,rendered; zero-valued high-SNR points removed from publication plot
s16_org_k300_fer_overview,分块300-无交织突发,300,分块,无交织突发,37,37,37,0,0,18,0,18,true,,rendered; zero-valued high-SNR points removed from publication plot
s16_org_k300_fer_overview,分块300-交织突发,300,分块,交织突发,37,23,23,14,0,18,0,11,true,,rendered; zero-valued high-SNR points removed from publication plot
s16_org_k300_fer_overview,255双块300-无突发,300,255,无突发,37,11,11,26,0,18,0,5,true,,rendered; zero-valued high-SNR points removed from publication plot
s16_org_k300_fer_overview,255双块300-无交织突发,300,255,无交织突发,37,37,37,0,0,18,0,18,true,,rendered; zero-valued high-SNR points removed from publication plot
s16_org_k300_fer_overview,255双块300-交织突发,300,255,交织突发,37,17,17,20,0,18,0,8,true,,rendered; zero-valued high-SNR points removed from publication plot
s16_org_k300_fer_overview,421整块300-无突发,300,421,无突发,37,11,11,26,0,18,0,5,true,,rendered; zero-valued high-SNR points removed from publication plot
s16_org_k300_fer_overview,421整块300-无交织突发,300,421,无交织突发,37,17,17,20,0,18,0,8,true,,rendered; zero-valued high-SNR points removed from publication plot
s16_org_k300_fer_overview,421整块300-交织突发,300,421,交织突发,37,17,17,20,0,18,0,8,true,,rendered; zero-valued high-SNR points removed from publication plot
s16_org_k300_fer_overview,385整块300-无突发,300,385,无突发,37,10,10,27,0,18,0,4.5,true,,rendered; zero-valued high-SNR points removed from publication plot
s16_org_k300_fer_overview,385整块300-无交织突发,300,385,无交织突发,37,13,13,24,0,18,0,6,true,,rendered; zero-valued high-SNR points removed from publication plot
s16_org_k300_fer_overview,385整块300-交织突发,300,385,交织突发,37,13,13,24,0,18,0,6,true,,rendered; zero-valued high-SNR points removed from publication plot
