caseId,configurationId,interleaverMode,interleaverDepth,burstLengthIndex,burstLengthBits,snrIndex,targetSnrDb,derivedEbN0Db,permutationSha256
K200_S15,NONE_L0,NONE,1,0,0,2,1,2.5381486434452905,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22
K200_S15,NONE_L0,NONE,1,0,0,6,3,4.5381486434452905,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22
K200_S15,NONE_L0,NONE,1,0,0,10,5,6.5381486434452905,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22
K200_S15,NONE_L0,NONE,1,0,0,14,7,8.5381486434452896,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22
K200_S15,NONE_L0,NONE,1,0,0,18,9,10.53814864344529,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22
K200_S15,NONE_L0,NONE,1,0,0,22,11,12.53814864344529,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22
K200_S15,NONE_L0,NONE,1,0,0,26,13,14.53814864344529,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22
K200_S15,NONE_L0,NONE,1,0,0,30,15,16.53814864344529,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22
K200_S15,NONE_L0,NONE,1,0,0,34,17,18.53814864344529,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22
K200_S15,NONE_LREP,NONE,1,1,12,1,0.5,2.0381486434452905,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22
K200_S15,NONE_LREP,NONE,1,1,12,5,2.5,4.0381486434452905,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22
K200_S15,NONE_LREP,NONE,1,1,12,9,4.5,6.0381486434452905,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22
K200_S15,NONE_LREP,NONE,1,1,12,13,6.5,8.0381486434452896,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22
K200_S15,NONE_LREP,NONE,1,1,12,17,8.5,10.03814864344529,4e5faa22aa4624526bfc7ba6cd69df14d8268dd64226d430f4fc43c2e2979f22
