caseId,vectorId,interleaverMode,interleaverDepth,encodedMismatch,interleavedBitMismatch,burstPositionMismatch,deinterleavedBitMismatch,decodedPayloadMismatch,statusMismatch,matlabRecoveredBits,matlabStatus,passed
K200_S15,V0,NONE,1,0,0,0,0,0,0,11110011101100011110111101100111000111010000010011010001100010111000111101000010011010110000000001111000110000011001101100010001000010100101111011110010011010000110001101101010000010111011100111110101,TRUE_SUCCESS,1
K200_S15,V1,NONE,1,0,0,0,0,0,0,00011001000010000101110011000011001000011101000010001101011010010001101010101111001010000111111001110001001001111101111101111001011111010000010000001110001100011110110110000011101000111111111110011000,TRUE_SUCCESS,1
K200_S15,V2,NONE,1,0,0,0,0,0,0,11111100010100011001011011100110001001111011100100110111010100011111001000001011101101010100111010010011011001111111101001101111000011001110110101010111010001100011101111100111110101000001100000010011,MISCORRECTION,1
K200_S15,V0,BLOCK,8,0,0,0,0,0,0,11110011101100011110111101100111000111010000010011010001100010111000111101000010011010110000000001111000110000011001101100010001000010100101111011110010011010000110001101101010000010111011100111110101,TRUE_SUCCESS,1
K200_S15,V1,BLOCK,8,0,0,0,0,0,0,00011001000010000101110011000011001000011101000010001101011010010001101010101111001010000111111001110001001001111101111101111001011111010000010000001110001100011110110110000011101000111111111110011000,TRUE_SUCCESS,1
K200_S15,V2,BLOCK,8,0,0,0,0,0,0,11111100010100011001011011100110001001111011100100110111010100011111001000001011101101010100111010010011011001111111101001101111000011001110110101010111010001100011101111100111110101000001100000010000,TRUE_SUCCESS,1
K200_S15,V0,ROW_COLUMN,8,0,0,0,0,0,0,11110011101100011110111101100111000111010000010011010001100010111000111101000010011010110000000001111000110000011001101100010001000010100101111011110010011010000110001101101010000010111011100111110101,TRUE_SUCCESS,1
K200_S15,V1,ROW_COLUMN,8,0,0,0,0,0,0,00011001000010000101110011000011001000011101000010001101011010010001101010101111001010000111111001110001001001111101111101111001011111010000010000001110001100011110110110000011101000111111111110011000,TRUE_SUCCESS,1
K200_S15,V2,ROW_COLUMN,8,0,0,0,0,0,0,11111100010100011001011011100110001001111011100100110111010100011111001000001011101101010100111010010011011001111111101001101111000011001110110101010111010001100011101111100111110101000001100000010000,TRUE_SUCCESS,1
K200_S15,V0,PSEUDORANDOM,8,0,0,0,0,0,0,11110011101100011110111101100111000111010000010011010001100010111000111101000010011010110000000001111000110000011001101100010001000010100101111011110010011010000110001101101010000010111011100111110101,TRUE_SUCCESS,1
K200_S15,V1,PSEUDORANDOM,8,0,0,0,0,0,0,00011001000010000101110011000011001000011101000010001101011010010001101010101111001010000111111001110001001001111101111101111001011111010000010000001110001100011110110110000011101000111111111110011000,TRUE_SUCCESS,1
K200_S15,V2,PSEUDORANDOM,8,0,0,0,0,0,0,11111100010100011001010001100111001001111011100100110111010100011111001000001011101101010100111010010011011001111111101001101111000011001110110101010111010001100011101111100111110101000001100000010000,MISCORRECTION,1
K200_M255K207,V0,NONE,1,0,0,0,0,0,0,01101100011100001100101100010100111011101011100110011001001101000100110101111000010000010101000110101010000010111010001111110111010101010111110110100000001100110010011101110110100101001010010101101010,TRUE_SUCCESS,1
K200_M255K207,V1,NONE,1,0,0,0,0,0,0,00010111110000011100110000001100000010010111100010011110101100000000110100001111111101111000001101010111100101101000011000010110111111011100110110011111111001010101111010000110100011101011001000000111,TRUE_SUCCESS,1
K200_M255K207,V2,NONE,1,0,0,0,0,0,0,10100110010100010011011111010100000100110110101100000101011111001000001000110101001000011001001110111011110111001101010100010101010010101101101001011100000000011101010111001100100010111110111011001001,TRUE_SUCCESS,1
K200_M255K207,V0,BLOCK,8,0,0,0,0,0,0,01101100011100001100101100010100111011101011100110011001001101000100110101111000010000010101000110101010000010111010001111110111010101010111110110100000001100110010011101110110100101001010010101101010,TRUE_SUCCESS,1
K200_M255K207,V1,BLOCK,8,0,0,0,0,0,0,00010111110000011100110000001100000010010111100010011110101100000000110100001111111101111000001101010111100101101000011000010110111111011100110110011111111001010101111010000110100011101011001000000111,TRUE_SUCCESS,1
K200_M255K207,V2,BLOCK,8,0,0,0,0,0,0,10100110010100010011011110110100000100110110101100000101001111001000001000110101001000010001001110111011110111001101010000010101010010101101101001011110000000011101010111001100100011111110111011001001,DECODER_FAILURE,1
K200_M255K207,V0,ROW_COLUMN,8,0,0,0,0,0,0,01101100011100001100101100010100111011101011100110011001001101000100110101111000010000010101000110101010000010111010001111110111010101010111110110100000001100110010011101110110100101001010010101101010,TRUE_SUCCESS,1
K200_M255K207,V1,ROW_COLUMN,8,0,0,0,0,0,0,00010111110000011100110000001100000010010111100010011110101100000000110100001111111101111000001101010111100101101000011000010110111111011100110110011111111001010101111010000110100011101011001000000111,TRUE_SUCCESS,1
K200_M255K207,V2,ROW_COLUMN,8,0,0,0,0,0,0,10100110010100010011011111110100000100110110101100000101001111001000001000110101001000010001001110111011110111001101010000010101010010101101101001011110000000011101010111001100100011111110111011001001,DECODER_FAILURE,1
K200_M255K207,V0,PSEUDORANDOM,8,0,0,0,0,0,0,01101100011100001100101100010100111011101011100110011001001101000100110101111000010000010101000110101010000010111010001111110111010101010111110110100000001100110010011101110110100101001010010101101010,TRUE_SUCCESS,1
K200_M255K207,V1,PSEUDORANDOM,8,0,0,0,0,0,0,00010111110000011100110000001100000010010111100010011110101100000000110100001111111101111000001101010111100101101000011000010110111111011100110110011111111001010101111010000110100011101011001000000111,TRUE_SUCCESS,1
K200_M255K207,V2,PSEUDORANDOM,8,0,0,0,0,0,0,10100110000100010011011111110100000110110110101100000101011111001100001000110111001000011000001110111011110111001101010001010101010010101101101001011100000000011101010111001100100010111111111011001001,DECODER_FAILURE,1
K200_M511K421,V0,NONE,1,0,0,0,0,0,0,10000110000001101101010010010011010101110011001100100101111000101010010010000001110000111011011010101001010000001101010101011100100110111011010011011011111110000000100111010100010101100010010111000111,TRUE_SUCCESS,1
K200_M511K421,V1,NONE,1,0,0,0,0,0,0,00100100001111000000101001100111010010011100001111001001100110110101001101110011011100111010000011111111110101111101111101001010000001101111100111010100001001111111101101010100010111110110111001011010,TRUE_SUCCESS,1
K200_M511K421,V2,NONE,1,0,0,0,0,0,0,01111011100000110110001011110101000100001001001010000010101001001000101101010101001010110000001011100101010000101100000000010111010111011100111101101100010001101001001011001011101000000010100111000001,DECODER_FAILURE,1
K200_M511K421,V0,BLOCK,8,0,0,0,0,0,0,10000110000001101101010010010011010101110011001100100101111000101010010010000001110000111011011010101001010000001101010101011100100110111011010011011011111110000000100111010100010101100010010111000111,TRUE_SUCCESS,1
K200_M511K421,V1,BLOCK,8,0,0,0,0,0,0,00100100001111000000101001100111010010011100001111001001100110110101001101110011011100111010000011111111110101111101111101001010000001101111100111010100001001111111101101010100010111110110111001011010,TRUE_SUCCESS,1
K200_M511K421,V2,BLOCK,8,0,0,0,0,0,0,01111011100000100110001011110101000100001001001010011010101001001000101101010101001010111100001011100101010000101101111111100100010111011100111101101100010001100101001011001011101000000010100111001101,DECODER_FAILURE,1
K200_M511K421,V0,ROW_COLUMN,8,0,0,0,0,0,0,10000110000001101101010010010011010101110011001100100101111000101010010010000001110000111011011010101001010000001101010101011100100110111011010011011011111110000000100111010100010101100010010111000111,TRUE_SUCCESS,1
K200_M511K421,V1,ROW_COLUMN,8,0,0,0,0,0,0,00100100001111000000101001100111010010011100001111001001100110110101001101110011011100111010000011111111110101111101111101001010000001101111100111010100001001111111101101010100010111110110111001011010,TRUE_SUCCESS,1
K200_M511K421,V2,ROW_COLUMN,8,0,0,0,0,0,0,01111011100000100110001011110101000100001001001010001010101001001000101101010101001010110100001011100101010000101101111111101110010111011100111101101100010001101010001011001011101000000010100111000000,DECODER_FAILURE,1
K200_M511K421,V0,PSEUDORANDOM,8,0,0,0,0,0,0,10000110000001101101010010010011010101110011001100100101111000101010010010000001110000111011011010101001010000001101010101011100100110111011010011011011111110000000100111010100010101100010010111000111,TRUE_SUCCESS,1
K200_M511K421,V1,PSEUDORANDOM,8,0,0,0,0,0,0,00100100001111000000101001100111010010011100001111001001100110110101001101110011011100111010000011111111110101111101111101001010000001101111100111010100001001111111101101010100010111110110111001011010,TRUE_SUCCESS,1
K200_M511K421,V2,PSEUDORANDOM,8,0,0,0,0,0,0,01111011100010110101001011100101100110001001001010000010101001001001101101010101001010110000001011100101010000101101111101101000010111011100111101101100010001101001001111001011101000000010100111000001,DECODER_FAILURE,1
K200_M511K385,V0,NONE,1,0,0,0,0,0,0,11101010010101111110010001001100110101110101111100101100100110100101100110100101110100111001000101001100110110011101010001101101111100111100110111011110101011011111101011110110100011100001010111011010,TRUE_SUCCESS,1
K200_M511K385,V1,NONE,1,0,0,0,0,0,0,01100101010101101000000100100110011101101101010010100000001111110011100111100101011010011000101011110000010111110001001100000110110111001100101100110000101011001011100011000011011010110010001110011001,TRUE_SUCCESS,1
K200_M511K385,V2,NONE,1,0,0,0,0,0,0,00001010010001010011100100111011101001101101110011000101000100001011100110001000011111010011111011100100110011111100100101110000110011110100001001011000100100010001100100101001011111110101100000101110,TRUE_SUCCESS,1
K200_M511K385,V0,BLOCK,8,0,0,0,0,0,0,11101010010101111110010001001100110101110101111100101100100110100101100110100101110100111001000101001100110110011101010001101101111100111100110111011110101011011111101011110110100011100001010111011010,TRUE_SUCCESS,1
K200_M511K385,V1,BLOCK,8,0,0,0,0,0,0,01100101010101101000000100100110011101101101010010100000001111110011100111100101011010011000101011110000010111110001001100000110110111001100101100110000101011001011100011000011011010110010001110011001,TRUE_SUCCESS,1
K200_M511K385,V2,BLOCK,8,0,0,0,0,0,0,00001010010001010011100100100111101001101101110011000101000100001011011110001000011111010011111011100100110010001100100101110000110011110100001001011001100100010001100100101001011111110101100010101110,DECODER_FAILURE,1
K200_M511K385,V0,ROW_COLUMN,8,0,0,0,0,0,0,11101010010101111110010001001100110101110101111100101100100110100101100110100101110100111001000101001100110110011101010001101101111100111100110111011110101011011111101011110110100011100001010111011010,TRUE_SUCCESS,1
K200_M511K385,V1,ROW_COLUMN,8,0,0,0,0,0,0,01100101010101101000000100100110011101101101010010100000001111110011100111100101011010011000101011110000010111110001001100000110110111001100101100110000101011001011100011000011011010110010001110011001,TRUE_SUCCESS,1
K200_M511K385,V2,ROW_COLUMN,8,0,0,0,0,0,0,00001010010001010011100100110111101001101101110011000101000100001011111110001000011111010011111011100100110011001100100101110000110011110100001001011001000100010001100100101001011111110101100011101110,DECODER_FAILURE,1
K200_M511K385,V0,PSEUDORANDOM,8,0,0,0,0,0,0,11101010010101111110010001001100110101110101111100101100100110100101100110100101110100111001000101001100110110011101010001101101111100111100110111011110101011011111101011110110100011100001010111011010,TRUE_SUCCESS,1
K200_M511K385,V1,PSEUDORANDOM,8,0,0,0,0,0,0,01100101010101101000000100100110011101101101010010100000001111110011100111100101011010011000101011110000010111110001001100000110110111001100101100110000101011001011100011000011011010110010001110011001,TRUE_SUCCESS,1
K200_M511K385,V2,PSEUDORANDOM,8,0,0,0,0,0,0,00001010000101010011100100111011101001101101110011000101000100001011100110001000101101010011111011100100110011111100100101110100110011111100001001011000101100010001000100001001011111110101100000011010,DECODER_FAILURE,1
K300_S15,V0,NONE,1,0,0,0,0,0,0,001000101111100010101001001011110001111110111100111110101011111000001111101001110000001011010101100100111001000000100010110101011010111001110011011110110001110101010001101001110111000010101101110101101000010000110011011001010001000111001011000010011010111010010000000000111000101010001011001110100110,TRUE_SUCCESS,1
K300_S15,V1,NONE,1,0,0,0,0,0,0,101000110111000110010010110111111100110110011101001111100110100111101011111101000001111110010011110010100000100000001001000100101100100111000111110101110111100000111011001011011001100111011100001010001001000101101011110110110101101000111101111011110001011011001011010011111000000101110100000101100100,TRUE_SUCCESS,1
K300_S15,V2,NONE,1,0,0,0,0,0,0,010110110101000010001010110001010011000000011100101001110101101110011101110100000011011100100011100101011011111010110111111011000011001011011001110001110010101111100000101011100101000111011001101001111001100110100110010001111100011010000111110101100011110101101100111110001100010101001110110110011110,MISCORRECTION,1
K300_S15,V0,BLOCK,8,0,0,0,0,0,0,001000101111100010101001001011110001111110111100111110101011111000001111101001110000001011010101100100111001000000100010110101011010111001110011011110110001110101010001101001110111000010101101110101101000010000110011011001010001000111001011000010011010111010010000000000111000101010001011001110100110,TRUE_SUCCESS,1
