caseName,ebn0Db,metric,rawValue,plottedValue,zeroHandlingPolicy
BCH-S200,0,trueSuccessRate,0.0,0.0,RAW_LINEAR
BCH-S200,2,trueSuccessRate,0.0,0.0,RAW_LINEAR
BCH-S200,4,trueSuccessRate,0.255,0.255,RAW_LINEAR
BCH-S200,6,trueSuccessRate,0.905,0.905,RAW_LINEAR
BCH-S200,8,trueSuccessRate,1.0,1.0,RAW_LINEAR
BCH-B200,0,trueSuccessRate,0.0,0.0,RAW_LINEAR
BCH-B200,2,trueSuccessRate,0.02,0.02,RAW_LINEAR
BCH-B200,4,trueSuccessRate,0.735,0.735,RAW_LINEAR
BCH-B200,6,trueSuccessRate,1.0,1.0,RAW_LINEAR
BCH-B200,8,trueSuccessRate,1.0,1.0,RAW_LINEAR
BCH-S300,0,trueSuccessRate,0.0,0.0,RAW_LINEAR
BCH-S300,2,trueSuccessRate,0.0,0.0,RAW_LINEAR
BCH-S300,4,trueSuccessRate,0.12,0.12,RAW_LINEAR
BCH-S300,6,trueSuccessRate,0.835,0.835,RAW_LINEAR
BCH-S300,8,trueSuccessRate,0.995,0.995,RAW_LINEAR
BCH-B300,0,trueSuccessRate,0.0,0.0,RAW_LINEAR
BCH-B300,2,trueSuccessRate,0.0,0.0,RAW_LINEAR
BCH-B300,4,trueSuccessRate,0.64,0.64,RAW_LINEAR
BCH-B300,6,trueSuccessRate,1.0,1.0,RAW_LINEAR
BCH-B300,8,trueSuccessRate,1.0,1.0,RAW_LINEAR
