caseName,ebn0Db,metric,rawValue,plottedValue,zeroHandlingPolicy
BCH-S200,0,miscorrectionRate,1.0,1.0,RAW_POSITIVE
BCH-S200,0.5,miscorrectionRate,1.0,1.0,RAW_POSITIVE
BCH-S200,1,miscorrectionRate,0.9995,0.9995,RAW_POSITIVE
BCH-S200,1.5,miscorrectionRate,0.999,0.999,RAW_POSITIVE
BCH-S200,2,miscorrectionRate,0.9965,0.9965,RAW_POSITIVE
BCH-S200,2.5,miscorrectionRate,0.9865,0.9865,RAW_POSITIVE
BCH-S200,3,miscorrectionRate,0.956,0.956,RAW_POSITIVE
BCH-S200,3.5,miscorrectionRate,0.875,0.875,RAW_POSITIVE
BCH-S200,4,miscorrectionRate,0.7555,0.7555,RAW_POSITIVE
BCH-S200,4.5,miscorrectionRate,0.578,0.578,RAW_POSITIVE
BCH-S200,5,miscorrectionRate,0.3935,0.3935,RAW_POSITIVE
BCH-S200,5.5,miscorrectionRate,0.2445,0.2445,RAW_POSITIVE
BCH-S200,6,miscorrectionRate,0.1415,0.1415,RAW_POSITIVE
BCH-S200,6.5,miscorrectionRate,0.0685,0.0685,RAW_POSITIVE
BCH-S200,7,miscorrectionRate,0.024,0.024,RAW_POSITIVE
BCH-S200,7.5,miscorrectionRate,0.009,0.009,RAW_POSITIVE
BCH-S200,8,miscorrectionRate,0.0045,0.0045,RAW_POSITIVE
BCH-S200,8.5,miscorrectionRate,0.0005,0.0005,RAW_POSITIVE
BCH-S200,9,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-S200,9.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-S200,10,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B200,0,miscorrectionRate,0.002,0.002,RAW_POSITIVE
BCH-B200,0.5,miscorrectionRate,0.002,0.002,RAW_POSITIVE
BCH-B200,1,miscorrectionRate,0.0005,0.0005,RAW_POSITIVE
BCH-B200,1.5,miscorrectionRate,0.0025,0.0025,RAW_POSITIVE
BCH-B200,2,miscorrectionRate,0.0005,0.0005,RAW_POSITIVE
BCH-B200,2.5,miscorrectionRate,0.0015,0.0015,RAW_POSITIVE
BCH-B200,3,miscorrectionRate,0.0015,0.0015,RAW_POSITIVE
BCH-B200,3.5,miscorrectionRate,0.002,0.002,RAW_POSITIVE
BCH-B200,4,miscorrectionRate,0.001,0.001,RAW_POSITIVE
BCH-B200,4.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B200,5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B200,5.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B200,6,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B200,6.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B200,7,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B200,7.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B200,8,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B200,8.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B200,9,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B200,9.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B200,10,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-S300,0,miscorrectionRate,1.0,1.0,RAW_POSITIVE
BCH-S300,0.5,miscorrectionRate,1.0,1.0,RAW_POSITIVE
BCH-S300,1,miscorrectionRate,1.0,1.0,RAW_POSITIVE
BCH-S300,1.5,miscorrectionRate,1.0,1.0,RAW_POSITIVE
BCH-S300,2,miscorrectionRate,1.0,1.0,RAW_POSITIVE
BCH-S300,2.5,miscorrectionRate,0.996,0.996,RAW_POSITIVE
BCH-S300,3,miscorrectionRate,0.99,0.99,RAW_POSITIVE
BCH-S300,3.5,miscorrectionRate,0.9545,0.9545,RAW_POSITIVE
BCH-S300,4,miscorrectionRate,0.852,0.852,RAW_POSITIVE
BCH-S300,4.5,miscorrectionRate,0.702,0.702,RAW_POSITIVE
BCH-S300,5,miscorrectionRate,0.5125,0.5125,RAW_POSITIVE
BCH-S300,5.5,miscorrectionRate,0.319,0.319,RAW_POSITIVE
BCH-S300,6,miscorrectionRate,0.176,0.176,RAW_POSITIVE
BCH-S300,6.5,miscorrectionRate,0.0865,0.0865,RAW_POSITIVE
BCH-S300,7,miscorrectionRate,0.034,0.034,RAW_POSITIVE
BCH-S300,7.5,miscorrectionRate,0.0175,0.0175,RAW_POSITIVE
BCH-S300,8,miscorrectionRate,0.0055,0.0055,RAW_POSITIVE
BCH-S300,8.5,miscorrectionRate,0.0015,0.0015,RAW_POSITIVE
BCH-S300,9,miscorrectionRate,0.001,0.001,RAW_POSITIVE
BCH-S300,9.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-S300,10,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,0,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,0.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,1,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
