caseName,ebn0Db,metric,rawValue,plottedValue,zeroHandlingPolicy
BCH-S300,5,miscorrectionRate,0.515,0.515,RAW_POSITIVE
BCH-S300,5.2000000000000002,miscorrectionRate,0.4228,0.4228,RAW_POSITIVE
BCH-S300,5.4000000000000004,miscorrectionRate,0.3568,0.3568,RAW_POSITIVE
BCH-S300,5.5999999999999996,miscorrectionRate,0.2994,0.2994,RAW_POSITIVE
BCH-S300,5.7999999999999998,miscorrectionRate,0.2232,0.2232,RAW_POSITIVE
BCH-S300,6,miscorrectionRate,0.1776,0.1776,RAW_POSITIVE
BCH-S300,6.2000000000000002,miscorrectionRate,0.1374,0.1374,RAW_POSITIVE
BCH-S300,6.4000000000000004,miscorrectionRate,0.1022,0.1022,RAW_POSITIVE
BCH-S300,6.5999999999999996,miscorrectionRate,0.0748,0.0748,RAW_POSITIVE
BCH-S300,6.7999999999999998,miscorrectionRate,0.0576,0.0576,RAW_POSITIVE
BCH-S300,7,miscorrectionRate,0.0402,0.0402,RAW_POSITIVE
BCH-S300,7.2000000000000002,miscorrectionRate,0.02496255616575137,0.02496255616575137,RAW_POSITIVE
BCH-S300,7.4000000000000004,miscorrectionRate,0.016627868307283005,0.016627868307283005,RAW_POSITIVE
BCH-S300,7.5999999999999996,miscorrectionRate,0.012337301832089321,0.012337301832089321,RAW_POSITIVE
BCH-S300,7.7999999999999998,miscorrectionRate,0.008401243384020835,0.008401243384020835,RAW_POSITIVE
BCH-S300,8,miscorrectionRate,0.00556808374397951,0.00556808374397951,RAW_POSITIVE
BCH-S300,8.1999999999999993,miscorrectionRate,0.00314,0.00314,RAW_POSITIVE
BCH-S300,8.4000000000000004,miscorrectionRate,0.00204,0.00204,RAW_POSITIVE
BCH-S300,8.5999999999999996,miscorrectionRate,0.00116,0.00116,RAW_POSITIVE
BCH-S300,8.8000000000000007,miscorrectionRate,0.00072,0.00072,RAW_POSITIVE
BCH-S300,9,miscorrectionRate,0.00046,0.00046,RAW_POSITIVE
BCH-B300,4,miscorrectionRate,0.0,0.0006,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,4.2000000000000002,miscorrectionRate,0.0,0.0006,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,4.4000000000000004,miscorrectionRate,0.0,0.0006,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,4.5999999999999996,miscorrectionRate,0.0,0.0006,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,4.7999999999999998,miscorrectionRate,0.0,0.0006,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,5,miscorrectionRate,0.0,0.00031315240083507306,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,5.2000000000000002,miscorrectionRate,0.0,0.0001228551537737008,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,5.4000000000000004,miscorrectionRate,0.0,6e-05,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,5.5,miscorrectionRate,0.0,6e-05,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
