caseName,ebn0Db,metric,rawValue,plottedValue,zeroHandlingPolicy
BCH-S200,4.5,FER,0.5936,0.5936,RAW
BCH-S200,4.7000000000000002,FER,0.5068,0.5068,RAW
BCH-S200,4.9000000000000004,FER,0.4398,0.4398,RAW
BCH-S200,5.0999999999999996,FER,0.3576,0.3576,RAW
BCH-S200,5.2999999999999998,FER,0.3088,0.3088,RAW
BCH-S200,5.5,FER,0.2426,0.2426,RAW
BCH-S200,5.7000000000000002,FER,0.1992,0.1992,RAW
BCH-S200,5.9000000000000004,FER,0.1618,0.1618,RAW
BCH-S200,6.0999999999999996,FER,0.1182,0.1182,RAW
BCH-S200,6.2999999999999998,FER,0.0854,0.0854,RAW
BCH-S200,6.5,FER,0.0656,0.0656,RAW
BCH-S200,6.7000000000000002,FER,0.0414,0.0414,RAW
BCH-S200,6.9000000000000004,FER,0.03717472118959108,0.03717472118959108,RAW
BCH-S200,7.0999999999999996,FER,0.024603272235207283,0.024603272235207283,RAW
BCH-S200,7.2999999999999998,FER,0.017053206002728513,0.017053206002728513,RAW
BCH-S200,7.5,FER,0.011385631333257429,0.011385631333257429,RAW
BCH-S200,7.7000000000000002,FER,0.008625894936599671,0.008625894936599671,RAW
BCH-S200,7.9000000000000004,FER,0.004400827355542842,0.004400827355542842,RAW
BCH-S200,8.0999999999999996,FER,0.00332,0.00332,RAW
BCH-S200,8.3000000000000007,FER,0.00226,0.00226,RAW
BCH-S200,8.5,FER,0.0014,0.0014,RAW
BCH-B200,3.5,FER,0.5542,0.5542,RAW
BCH-B200,3.7000000000000002,FER,0.471,0.471,RAW
BCH-B200,3.8999999999999999,FER,0.3566,0.3566,RAW
BCH-B200,4.0999999999999996,FER,0.2622,0.2622,RAW
BCH-B200,4.2999999999999998,FER,0.1854,0.1854,RAW
BCH-B200,4.5,FER,0.1302,0.1302,RAW
BCH-B200,4.7000000000000002,FER,0.0712,0.0712,RAW
BCH-B200,4.9000000000000004,FER,0.0414,0.0414,RAW
BCH-B200,5.0999999999999996,FER,0.021381227282446014,0.021381227282446014,RAW
BCH-B200,5.2999999999999998,FER,0.012215232394796311,0.012215232394796311,RAW
BCH-B200,5.5,FER,0.005321838162901466,0.005321838162901466,RAW
BCH-B200,5.7000000000000002,FER,0.002,0.002,RAW
BCH-B200,5.9000000000000004,FER,0.00078,0.00078,RAW
BCH-B200,6,FER,0.00044,0.00044,RAW
