caseName,ebn0Db,metric,rawValue,plottedValue,zeroHandlingPolicy
BCH-S300,5,decoderFailureRate,0.0,0.0001,ZERO_TO_HALF_EVENT_OVER_PROCESSED_FRAMES_FOR_LOG_PLOT
BCH-S300,5.2000000000000002,decoderFailureRate,0.0,0.0001,ZERO_TO_HALF_EVENT_OVER_PROCESSED_FRAMES_FOR_LOG_PLOT
BCH-S300,5.4000000000000004,decoderFailureRate,0.0,0.0001,ZERO_TO_HALF_EVENT_OVER_PROCESSED_FRAMES_FOR_LOG_PLOT
BCH-S300,5.5999999999999996,decoderFailureRate,0.0,0.0001,ZERO_TO_HALF_EVENT_OVER_PROCESSED_FRAMES_FOR_LOG_PLOT
BCH-S300,5.7999999999999998,decoderFailureRate,0.0,0.0001,ZERO_TO_HALF_EVENT_OVER_PROCESSED_FRAMES_FOR_LOG_PLOT
BCH-S300,6,decoderFailureRate,0.0,0.0001,ZERO_TO_HALF_EVENT_OVER_PROCESSED_FRAMES_FOR_LOG_PLOT
BCH-S300,6.2000000000000002,decoderFailureRate,0.0,0.0001,ZERO_TO_HALF_EVENT_OVER_PROCESSED_FRAMES_FOR_LOG_PLOT
BCH-S300,6.4000000000000004,decoderFailureRate,0.0,0.0001,ZERO_TO_HALF_EVENT_OVER_PROCESSED_FRAMES_FOR_LOG_PLOT
BCH-S300,6.5999999999999996,decoderFailureRate,0.0,0.0001,ZERO_TO_HALF_EVENT_OVER_PROCESSED_FRAMES_FOR_LOG_PLOT
BCH-S300,6.7999999999999998,decoderFailureRate,0.0,0.0001,ZERO_TO_HALF_EVENT_OVER_PROCESSED_FRAMES_FOR_LOG_PLOT
BCH-S300,7,decoderFailureRate,0.0,0.0001,ZERO_TO_HALF_EVENT_OVER_PROCESSED_FRAMES_FOR_LOG_PLOT
BCH-S300,7.2000000000000002,decoderFailureRate,0.0,6.240639041437844e-05,ZERO_TO_HALF_EVENT_OVER_PROCESSED_FRAMES_FOR_LOG_PLOT
BCH-S300,7.4000000000000004,decoderFailureRate,0.0,4.156967076820751e-05,ZERO_TO_HALF_EVENT_OVER_PROCESSED_FRAMES_FOR_LOG_PLOT
BCH-S300,7.5999999999999996,decoderFailureRate,0.0,3.0843254580223306e-05,ZERO_TO_HALF_EVENT_OVER_PROCESSED_FRAMES_FOR_LOG_PLOT
BCH-S300,7.7999999999999998,decoderFailureRate,0.0,2.100310846005209e-05,ZERO_TO_HALF_EVENT_OVER_PROCESSED_FRAMES_FOR_LOG_PLOT
BCH-S300,8,decoderFailureRate,0.0,1.3920209359948774e-05,ZERO_TO_HALF_EVENT_OVER_PROCESSED_FRAMES_FOR_LOG_PLOT
BCH-S300,8.1999999999999993,decoderFailureRate,0.0,1e-05,ZERO_TO_HALF_EVENT_OVER_PROCESSED_FRAMES_FOR_LOG_PLOT
BCH-S300,8.4000000000000004,decoderFailureRate,0.0,1e-05,ZERO_TO_HALF_EVENT_OVER_PROCESSED_FRAMES_FOR_LOG_PLOT
BCH-S300,8.5999999999999996,decoderFailureRate,0.0,1e-05,ZERO_TO_HALF_EVENT_OVER_PROCESSED_FRAMES_FOR_LOG_PLOT
BCH-S300,8.8000000000000007,decoderFailureRate,0.0,1e-05,ZERO_TO_HALF_EVENT_OVER_PROCESSED_FRAMES_FOR_LOG_PLOT
BCH-S300,9,decoderFailureRate,0.0,1e-05,ZERO_TO_HALF_EVENT_OVER_PROCESSED_FRAMES_FOR_LOG_PLOT
BCH-B300,4,decoderFailureRate,0.3598,0.3598,RAW
BCH-B300,4.2000000000000002,decoderFailureRate,0.2424,0.2424,RAW
BCH-B300,4.4000000000000004,decoderFailureRate,0.148,0.148,RAW
BCH-B300,4.5999999999999996,decoderFailureRate,0.0862,0.0862,RAW
BCH-B300,4.7999999999999998,decoderFailureRate,0.0476,0.0476,RAW
BCH-B300,5,decoderFailureRate,0.020876826722338204,0.020876826722338204,RAW
BCH-B300,5.2000000000000002,decoderFailureRate,0.008190343584913388,0.008190343584913388,RAW
BCH-B300,5.4000000000000004,decoderFailureRate,0.00318,0.00318,RAW
BCH-B300,5.5,decoderFailureRate,0.00176,0.00176,RAW
BCH-B300-426,4,decoderFailureRate,0.2972,0.2972,RAW
BCH-B300-426,4.2000000000000002,decoderFailureRate,0.1876,0.1876,RAW
BCH-B300-426,4.4000000000000004,decoderFailureRate,0.113,0.113,RAW
BCH-B300-426,4.5999999999999996,decoderFailureRate,0.0502,0.0502,RAW
BCH-B300-426,4.7999999999999998,decoderFailureRate,0.022660321776569226,0.022660321776569226,RAW
BCH-B300-426,5,decoderFailureRate,0.008755417414525237,0.008755417414525237,RAW
BCH-B300-426,5.2000000000000002,decoderFailureRate,0.00254,0.00254,RAW
BCH-B300-426,5.4000000000000004,decoderFailureRate,0.0008,0.0008,RAW
BCH-B300-426,5.5,decoderFailureRate,0.00066,0.00066,RAW
