caseName,targetFer,awgnLowerBracket,awgnUpperBracket,multipathLowerBracket,multipathUpperBracket,awgnInterpolatedSnrDb,multipathInterpolatedSnrDb,multipathLossDb,valid,reason
BCH-B200,0.1,3.565783148377649;0.13020000000000001,3.7657831483776492;0.071199999999999999,6.6657831483776491;0.10639999999999999,6.8657831483776492;0.074999999999999997,3.6532287296665187,6.7012605822589535,3.0480318525924348,true,PASS
BCH-B200,0.01,4.3657831483776492;0.012215232394796311,4.5657831483776494;0.0053218381629014664,8.0657831483776494;0.012433944668946224,8.2657831483776487;0.0076074553062000757,4.4139494918569664,8.1544639778053494,3.740514485948383,true,PASS
BCH-B200,0.001,4.7657831483776496;0.002,4.9657831483776498;0.00077999999999999999,9.4657831483776498;0.00134,9.6657831483776491;0.00054000000000000001,4.9130093365904601,9.5301871229076571,4.617177786317197,true,PASS
BCH-B300,0.1,3.2605664769316327;0.14799999999999999,3.460566476931632;0.086199999999999999,6.2605664769316327;0.125,6.460566476931632;0.092200000000000004,3.4056216319726964,6.4072008826838962,3.0015792507111998,true,PASS
BCH-B300,0.01,3.8605664769316324;0.020876826722338204,4.0605664769316325;0.0081903435849133878,7.460566476931632;0.010282247699347078,7.6605664769316331;0.006929046563192905,4.0178962463675845,7.4746703666584349,3.4567741202908504,true,PASS
BCH-B300,0.001,,,8.2605664769316327;0.00148,8.460566476931632;0.00077999999999999999,,8.3829833318499514,,false,AWGN:TARGET_NOT_BRACKETED_NO_EXTRAPOLATION;MULTIPATH:PASS
BCH-B300-426,0.1,2.877116556169435;0.113,3.0771165561694342;0.050200000000000002,5.6771165561694348;0.105,5.877116556169435;0.065799999999999997,2.9072426915111884,5.6979964768845344,2.790753785373346,true,PASS
BCH-B300-426,0.01,3.2771165561694344;0.022660321776569226,3.4771165561694346;0.0087554174145252368,6.4771165561694346;0.016161616161616162,6.6771165561694339;0.0084828434491241462,3.4491627298851952,6.6260644047742092,3.176901674889014,true,PASS
BCH-B300-426,0.001,3.6771165561694348;0.0025400000000000002,3.877116556169435;0.00080000000000000004,7.2771165561694353;0.00142,7.4771165561694346;0.00072000000000000005,3.8384872690311949,7.3803783463258714,3.5418910772946766,true,PASS
BCH-S200,0.1,4.5618513565547092;0.1182,4.7618513565547094;0.085400000000000004,9.2618513565547111;0.1072,9.4618513565547104;0.091399999999999995,4.6647384057282473,9.3490582889158507,4.6843198831876034,true,PASS
BCH-S200,0.01,5.9618513565547095;0.011385631333257429,6.1618513565547097;0.0086258949365996714,11.861851356554709;0.012398487384539086,12.061851356554708;0.0093751464866638542,6.0553490532810139,12.015683155783043,5.9603341025020287,true,PASS
BCH-S200,0.001,,,13.861851356554709;0.0013600000000000001,14.061851356554708;0.00089999999999999998,,14.010810185807813,,false,AWGN:TARGET_NOT_BRACKETED_NO_EXTRAPOLATION;MULTIPATH:PASS
BCH-S300,0.1,4.9387196432176204;0.1022,5.1387196432176196;0.074800000000000005,9.7387196432176193;0.11119999999999999,9.9387196432176204;0.097799999999999998,4.9526642315596119,9.9040707284178939,4.951406496858282,true,PASS
BCH-S300,0.01,6.1387196432176196;0.012337301832089321,6.3387196432176198;0.0084012433840208352,12.338719643217621;0.011837821840781295,12.53871964321762;0.008775393795796586,6.2480461480068641,12.451440992824901,6.2033948448180372,true,PASS
BCH-S300,0.001,7.1387196432176196;0.00116,7.3387196432176207;0.00072000000000000005,14.53871964321762;0.00106,14.738719643217619;0.00085999999999999998,7.2009601606516691,14.594454883643829,7.3934947229921599,true,PASS
