caseName,sourcePayloadEbN0Db,frameRotationDeg,processedFrames,decodedFrameErrors,FER,aggregation
BCH-S200,6.2999999999999998,0,2000,1511,0.7555,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S200,6.2999999999999998,10,2000,1547,0.7735,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S200,6.2999999999999998,30,2000,1595,0.7975,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S200,6.2999999999999998,60,2000,1911,0.9555,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S200,6.2999999999999998,90,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S200,6.2999999999999998,120,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S200,6.2999999999999998,180,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S200,7.5,0,2000,1285,0.6425,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S200,7.5,10,2000,1433,0.7165,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S200,7.5,30,2000,1507,0.7535,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S200,7.5,60,2000,1742,0.871,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S200,7.5,90,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S200,7.5,120,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S200,7.5,180,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S200,8.5,0,2000,1114,0.557,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S200,8.5,10,2000,1267,0.6335,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S200,8.5,30,2000,1500,0.75,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S200,8.5,60,2000,1620,0.81,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S200,8.5,90,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S200,8.5,120,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S200,8.5,180,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
