caseName,sourcePayloadEbN0Db,targetFER,maximumToleratedParameter,parameter,status
BCH-S200,6.3,0.1,64.0,blockageLength,VALID
BCH-S200,6.3,0.01,,blockageLength,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
BCH-S200,6.3,0.5,64.0,blockageLength,VALID
BCH-S200,8.5,0.1,64.0,blockageLength,VALID
BCH-S200,8.5,0.01,64.0,blockageLength,VALID
BCH-S200,8.5,0.5,64.0,blockageLength,VALID
BCH-B200,4.5,0.1,,blockageLength,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
BCH-B200,4.5,0.01,,blockageLength,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
BCH-B200,4.5,0.5,64.0,blockageLength,VALID
BCH-B200,6.0,0.1,64.0,blockageLength,VALID
BCH-B200,6.0,0.01,64.0,blockageLength,VALID
BCH-B200,6.0,0.5,64.0,blockageLength,VALID
BCH-S300,6.4,0.1,,blockageLength,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
BCH-S300,6.4,0.01,,blockageLength,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
BCH-S300,6.4,0.5,64.0,blockageLength,VALID
BCH-S300,9.0,0.1,64.0,blockageLength,VALID
BCH-S300,9.0,0.01,64.0,blockageLength,VALID
BCH-S300,9.0,0.5,64.0,blockageLength,VALID
BCH-B300,4.6,0.1,64.0,blockageLength,VALID
BCH-B300,4.6,0.01,,blockageLength,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
BCH-B300,4.6,0.5,64.0,blockageLength,VALID
BCH-B300,5.5,0.1,64.0,blockageLength,VALID
BCH-B300,5.5,0.01,64.0,blockageLength,VALID
BCH-B300,5.5,0.5,64.0,blockageLength,VALID
BCH-B300-426,4.4,0.1,,blockageLength,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
BCH-B300-426,4.4,0.01,,blockageLength,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
BCH-B300-426,4.4,0.5,64.0,blockageLength,VALID
BCH-B300-426,5.5,0.1,64.0,blockageLength,VALID
BCH-B300-426,5.5,0.01,64.0,blockageLength,VALID
BCH-B300-426,5.5,0.5,64.0,blockageLength,VALID
