requirement,status
PASS_BCH_S2_07A_BLOCK_BURST_CORRECTION_BOUNDARY,PASS
PASS_BCH_S2_07B_SEGMENTED_BOUNDARY_HEATMAP,PASS
PASS_BCH_S2_07C_RANDOM_BURST_PERFORMANCE,PASS
PASS_BCH_S2_07D_BURST_INTERLEAVING,PASS
PASS_BCH_S2_CHANNEL_FER_PLOT_DISTINGUISHABILITY,PASS
PASS_BCH_S2_BURST_REDESIGN_CTEST,PASS
PASS_BCH_S2_07_MATLAB_BURST_REFERENCE,PASS
PASS_BCH_S2_07_REAL_RESUME,PASS
PASS_BCH_S2_07_REAL_THREE_SHARD,PASS
PASS_BCH_S2_07_REAL_NEGATIVE_SHARD_REJECTION,PASS
PASS_BCH_S2_07_BURST_PLOT_AUDIT,PASS
PASS_BCH_S2_07_BURST_STRUCTURE_AND_INTERLEAVING,PASS
PASS_BCH_S2_BURST_REDESIGN_AND_PLOT_QUALITY,PASS
