stage,mode,caseName,payloadLength,encodedLength,organization,correctionCapabilityT,burstLength,relativeStartInSubblock,interleaverMode,payloadCount,legalStartCountPerPayload,totalPatterns,processedFrames,processedBits,bitErrors,frameErrors,BER,FER,trueSuccessRate,reportedSuccessRate,decoderFailureRate,miscorrectionRate,explicitFailureWithWrongPayloadPatterns,averageTouchedSubblocks,averageMaximumSubblockErrorWeight,fractionAllSubblocksWithinGuaranteedRegion,averageSubblocksWithOneError,averageSubblocksWithMoreThanOneError,minimumFailingStart,maximumSuccessfulStart,allStartsGuaranteedCorrect,theoreticalGuaranteedRegion,ferWilson95Low,ferWilson95High,masterSeed,caseSeed,lengthSeed,randomStartSeed,stopReason,runtimeSeconds,configHash,permutationHash,inversePermutationHash,errorWeightConserved,pairedFrameCount,plotStatus
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,0,,NONE,100000,1,100000,100000,30000000,0,0,0,0,1,1,0,0,0,0,0,1,0,0,,0,true,true,0,3.8413112583039631e-05,2026072607,10005808911069659570,12945100786885778195,12945100786885778195,MAXIMUM_FRAMES,1.4330491999999999,fd28e2e0c102bdfc,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,1,,NONE,100000,420,100000,100000,30000000,0,0,0,0,1,1,0,0,0,1,1,1,1,0,,419,true,true,0,3.8413112583039631e-05,2026072607,10005808911069659570,10848967929944152390,10848967929944152390,MAXIMUM_FRAMES,1.4773037,8c347f36e997ca8f,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,2,,NONE,5000,419,5000,5000,1500000,10369,4579,0.0069126666666666668,0.91579999999999995,0.084199999999999997,1,0,0.91579999999999995,0,1.0646,1.9354,0.064600000000000005,0.12920000000000001,0.93540000000000001,0,418,false,false,0.90778016172051335,0.92318141734197712,2026072607,10005808911069659570,13533003870586228306,13533003870586228306,TARGET_FRAME_ERRORS,0.070882299999999995,6bfd801ffdf059bb,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,3,,NONE,5000,418,5000,5000,1500000,13650,4914,0.0091000000000000004,0.98280000000000001,0.0172,1,0,0.98280000000000001,0,1.1355999999999999,2.8643999999999998,0,0.1356,1,0,417,false,false,0.9788079262492988,0.98605078075255426,2026072607,10005808911069659570,18142870433938997793,18142870433938997793,TARGET_FRAME_ERRORS,0.073370699999999997,29ec59531d14acbb,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,4,,NONE,5000,417,5000,5000,1500000,17564,4945,0.011709333333333334,0.98899999999999999,0.010999999999999999,1,0,0.98899999999999999,0,1.1941999999999999,3.7402000000000002,0,0.12859999999999999,1.0656000000000001,0,413,false,false,0.98571035983346733,0.99153882766426693,2026072607,10005808911069659570,17786800579348279966,17786800579348279966,TARGET_FRAME_ERRORS,0.072202699999999995,39df3825000beae4,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,5,,NONE,5000,416,5000,5000,1500000,21912,4928,0.014607999999999999,0.98560000000000003,0.0144,1,0,0.98560000000000003,0,1.2647999999999999,4.6017999999999999,0,0.13139999999999999,1.1334,0,415,false,false,0.98190535290943826,0.98854905496152246,2026072607,10005808911069659570,3922052907045332478,3922052907045332478,TARGET_FRAME_ERRORS,0.073221499999999995,fecf58e86d92d453,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,6,,NONE,5000,415,5000,5000,1500000,25220,4955,0.016813333333333333,0.99099999999999999,0.0089999999999999993,1,0,0.99099999999999999,0,1.3278000000000001,5.4084000000000003,0,0.1318,1.196,0,414,false,false,0.98797934530093157,0.99326677138902242,2026072607,10005808911069659570,11550230368595441278,11550230368595441278,TARGET_FRAME_ERRORS,0.076478599999999994,8adbc6310abec1b2,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,7,,NONE,5000,414,5000,5000,1500000,24107,4929,0.016071333333333333,0.98580000000000001,0.014200000000000001,1,0,0.98580000000000001,0,1.3902000000000001,6.2156000000000002,0,0.1268,1.2634000000000001,0,413,false,false,0.98212770809587291,0.98872639269430962,2026072607,10005808911069659570,4958808046588775833,4958808046588775833,TARGET_FRAME_ERRORS,0.075320300000000007,2604a9d36a2c2882,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,8,,NONE,5000,413,5000,5000,1500000,31387,4969,0.020924666666666668,0.99380000000000002,0.0061999999999999998,1,0,0.99380000000000002,0,1.4605999999999999,6.9561999999999999,0,0.13400000000000001,1.3266,0,410,false,false,0.991213205957586,0.99562861160147564,2026072607,10005808911069659570,13693728842573621080,13693728842573621080,TARGET_FRAME_ERRORS,0.074999300000000005,173c4aeb27d804a7,,,true,0,PLOTTED
s2-07c,formal,BCH-S300,300,420,SEGMENTED,1,9,,NONE,5000,412,5000,5000,1500000,32161,4947,0.021440666666666667,0.98939999999999995,0.0106,1,0,0.98939999999999995,0,1.5274000000000001,7.6896000000000004,0,0.13439999999999999,1.393,0,411,false,false,0.98616202495139815,0.99188654838477996,2026072607,10005808911069659570,1077535610364462312,1077535610364462312,TARGET_FRAME_ERRORS,0.074123800000000004,cad4f706f58b4a6f,,,true,0,PLOTTED
