stage,mode,caseName,payloadLength,encodedLength,organization,correctionCapabilityT,burstLength,relativeStartInSubblock,interleaverMode,payloadCount,legalStartCountPerPayload,totalPatterns,processedFrames,processedBits,bitErrors,frameErrors,BER,FER,trueSuccessRate,reportedSuccessRate,decoderFailureRate,miscorrectionRate,explicitFailureWithWrongPayloadPatterns,averageTouchedSubblocks,averageMaximumSubblockErrorWeight,fractionAllSubblocksWithinGuaranteedRegion,averageSubblocksWithOneError,averageSubblocksWithMoreThanOneError,minimumFailingStart,maximumSuccessfulStart,allStartsGuaranteedCorrect,theoreticalGuaranteedRegion,ferWilson95Low,ferWilson95High,masterSeed,caseSeed,lengthSeed,randomStartSeed,stopReason,runtimeSeconds,configHash,permutationHash,inversePermutationHash,errorWeightConserved,pairedFrameCount
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,0,,NONE,100000,1,100000,100000,20000000,0,0,0,0,1,1,0,0,0,0,0,1,0,0,,0,true,true,0,3.8413112583039631e-05,2026072607,4017947825915577414,6142472192736942299,6142472192736942299,MAXIMUM_FRAMES,1.0062968000000001,e3c52da59ef63d04,0c676aafaea3bec0,0c676aafaea3bec0,true,100000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,0,,FIXED_RANDOM,100000,1,100000,100000,20000000,0,0,0,0,1,1,0,0,0,0,0,1,0,0,,0,true,true,0,3.8413112583039631e-05,2026072607,4017947825915577414,6142472192736942299,6142472192736942299,MAXIMUM_FRAMES,1.0062968000000001,e3c52da59ef63d04,086532f4a013163c,273ca9cc3e6ed03c,true,100000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,1,,NONE,100000,285,100000,100000,20000000,0,0,0,0,1,1,0,0,0,1,1,1,1,0,,284,true,true,0,3.8413112583039631e-05,2026072607,4017947825915577414,9621336497066466428,9621336497066466428,MAXIMUM_FRAMES,1.0542921999999999,37c29e4279c04446,0c676aafaea3bec0,0c676aafaea3bec0,true,100000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,1,,FIXED_RANDOM,100000,285,100000,100000,20000000,0,0,0,0,1,1,0,0,0,1,1,1,1,0,,284,true,true,0,3.8413112583039631e-05,2026072607,4017947825915577414,9621336497066466428,9621336497066466428,MAXIMUM_FRAMES,1.0542921999999999,37c29e4279c04446,086532f4a013163c,273ca9cc3e6ed03c,true,100000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,2,,NONE,8589,284,8589,8589,1717800,17602,7782,0.010246827337291885,0.90604261264407959,0.093957387355920366,1,0,0.90604261264407959,0,1.059611130515776,1.940388869484224,0.05961113051577599,0.11922226103155198,0.94038886948422395,0,283,false,false,0.89968935312664156,0.91203282671644714,2026072607,4017947825915577414,5640354087230502487,5640354087230502487,PAIRED_TARGET_FRAME_ERRORS,0.086156650000000001,58f579949d6218a6,0c676aafaea3bec0,0c676aafaea3bec0,true,8589
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,2,,FIXED_RANDOM,8589,284,8589,8589,1717800,687,300,0.00039993014320642681,0.034928396786587497,0.96507160321341245,1,0,0.034928396786587497,0,1.9650716032134126,1.0349283967865874,0.96507160321341245,1.9301432064268249,0.034928396786587497,112,283,false,false,0.031248805148583421,0.039023812089203629,2026072607,4017947825915577414,5640354087230502487,5640354087230502487,PAIRED_TARGET_FRAME_ERRORS,0.086156650000000001,58f579949d6218a6,086532f4a013163c,273ca9cc3e6ed03c,true,8589
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,3,,NONE,5000,283,5000,5000,1000000,13343,4845,0.013343000000000001,0.96899999999999997,0.031,1,0,0.96899999999999997,0,1.1288,2.8712,0,0.1288,1,0,282,false,false,0.96382428206815018,0.97345561350738619,2026072607,4017947825915577414,16030843550405113190,16030843550405113190,PAIRED_TARGET_FRAME_ERRORS,0.050834249999999997,ed64c16fcab996a8,0c676aafaea3bec0,0c676aafaea3bec0,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,3,,FIXED_RANDOM,5000,283,5000,5000,1000000,1477,699,0.001477,0.13980000000000001,0.86019999999999996,1,0,0.13980000000000001,0,2.8601999999999999,1.1397999999999999,0.86019999999999996,2.7204000000000002,0.13980000000000001,56,282,false,false,0.13046417995271206,0.14968887252850713,2026072607,4017947825915577414,16030843550405113190,16030843550405113190,PAIRED_TARGET_FRAME_ERRORS,0.050834249999999997,ed64c16fcab996a8,086532f4a013163c,273ca9cc3e6ed03c,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,4,,NONE,5000,282,5000,5000,1000000,17237,4865,0.017236999999999999,0.97299999999999998,0.027,1,0,0.97299999999999998,0,1.1966000000000001,3.7338,0,0.127,1.0696000000000001,0,281,false,false,0.96813130752360865,0.97714244643636738,2026072607,4017947825915577414,1735388984397293476,1735388984397293476,PAIRED_TARGET_FRAME_ERRORS,0.049689900000000002,ba81f6913420ec54,0c676aafaea3bec0,0c676aafaea3bec0,true,5000
s2-07d,formal,BCH-S200,200,285,SEGMENTED,1,4,,FIXED_RANDOM,5000,282,5000,5000,1000000,2544,1152,0.0025439999999999998,0.23039999999999999,0.76959999999999995,1,0,0.23039999999999999,0,3.7564000000000002,1.2347999999999999,0.76759999999999995,3.5152000000000001,0.2412,9,281,false,false,0.21893784424858062,0.24227610064019425,2026072607,4017947825915577414,1735388984397293476,1735388984397293476,PAIRED_TARGET_FRAME_ERRORS,0.049689900000000002,ba81f6913420ec54,086532f4a013163c,273ca9cc3e6ed03c,true,5000
