checkName,caseName,burstLength,mode,uninterruptedFrames,resumedFrames,singleFrames,mergedFrames,allRawCountsEqual,resultHash,status
resumeVsUninterruptedRawCounts,BCH-S300,8,FIXED_RANDOM,300,300,,,true,d8afe39d2aa38a2822b834aacd651817c7c7b96f08e85d0f8e04158fb1ef22e0,PASS
threeShardVsSingleRawCounts,BCH-S300,8,FIXED_RANDOM,,,300,300,true,d8afe39d2aa38a2822b834aacd651817c7c7b96f08e85d0f8e04158fb1ef22e0,PASS
seedMismatchRejected,BCH-S300,8,FIXED_RANDOM,,,,,,,PASS_REJECTED
configHashMismatchRejected,BCH-S300,8,FIXED_RANDOM,,,,,,,PASS_REJECTED
caseMismatchRejected,BCH-S300,8,FIXED_RANDOM,,,,,,,PASS_REJECTED
burstLengthMismatchRejected,BCH-S300,8,FIXED_RANDOM,,,,,,,PASS_REJECTED
interleaverHashMismatchRejected,BCH-S300,8,FIXED_RANDOM,,,,,,,PASS_REJECTED
duplicateShardRejected,BCH-S300,8,FIXED_RANDOM,,,,,,,PASS_REJECTED
missingShardRejected,BCH-S300,8,FIXED_RANDOM,,,,,,,PASS_REJECTED
seedMismatchShardRejected,BCH-S300,8,FIXED_RANDOM,,,,,,,PASS_REJECTED
configHashMismatchShardRejected,BCH-S300,8,FIXED_RANDOM,,,,,,,PASS_REJECTED
caseMismatchShardRejected,BCH-S300,8,FIXED_RANDOM,,,,,,,PASS_REJECTED
burstLengthMismatchShardRejected,BCH-S300,8,FIXED_RANDOM,,,,,,,PASS_REJECTED
interleaverHashMismatchShardRejected,BCH-S300,8,FIXED_RANDOM,,,,,,,PASS_REJECTED
overlapRejected,BCH-S300,8,FIXED_RANDOM,,,,,,,PASS_REJECTED
