stage,mode,caseName,payloadLength,encodedLength,organization,correctionCapabilityT,burstLength,relativeStartInSubblock,interleaverMode,payloadCount,legalStartCountPerPayload,totalPatterns,processedFrames,processedBits,bitErrors,frameErrors,BER,FER,trueSuccessRate,reportedSuccessRate,decoderFailureRate,miscorrectionRate,explicitFailureWithWrongPayloadPatterns,averageTouchedSubblocks,averageMaximumSubblockErrorWeight,fractionAllSubblocksWithinGuaranteedRegion,averageSubblocksWithOneError,averageSubblocksWithMoreThanOneError,minimumFailingStart,maximumSuccessfulStart,allStartsGuaranteedCorrect,theoreticalGuaranteedRegion,ferWilson95Low,ferWilson95High,masterSeed,caseSeed,lengthSeed,randomStartSeed,stopReason,runtimeSeconds,configHash,permutationHash,inversePermutationHash,errorWeightConserved,pairedFrameCount
s2-07d,smoke,BCH-S200,200,285,SEGMENTED,1,0,,NONE,500,1,500,500,100000,0,0,0,0,1,1,0,0,0,0,0,1,0,0,,0,true,true,4.3368086899420177e-19,0.0076243404615522412,2026072607,4017947825915577414,6142472192736942299,6142472192736942299,MAXIMUM_FRAMES,0.0052310999999999998,e3c52da59ef63d04,0c676aafaea3bec0,0c676aafaea3bec0,true,500
s2-07d,smoke,BCH-S200,200,285,SEGMENTED,1,0,,FIXED_RANDOM,500,1,500,500,100000,0,0,0,0,1,1,0,0,0,0,0,1,0,0,,0,true,true,4.3368086899420177e-19,0.0076243404615522412,2026072607,4017947825915577414,6142472192736942299,6142472192736942299,MAXIMUM_FRAMES,0.0052310999999999998,e3c52da59ef63d04,086532f4a013163c,273ca9cc3e6ed03c,true,500
s2-07d,smoke,BCH-S200,200,285,SEGMENTED,1,1,,NONE,500,285,500,500,100000,0,0,0,0,1,1,0,0,0,1,1,1,1,0,,283,true,true,4.3368086899420177e-19,0.0076243404615522412,2026072607,4017947825915577414,9621336497066466428,9621336497066466428,MAXIMUM_FRAMES,0.0048561999999999998,37c29e4279c04446,0c676aafaea3bec0,0c676aafaea3bec0,true,500
s2-07d,smoke,BCH-S200,200,285,SEGMENTED,1,1,,FIXED_RANDOM,500,285,500,500,100000,0,0,0,0,1,1,0,0,0,1,1,1,1,0,,283,true,true,4.3368086899420177e-19,0.0076243404615522412,2026072607,4017947825915577414,9621336497066466428,9621336497066466428,MAXIMUM_FRAMES,0.0048561999999999998,37c29e4279c04446,086532f4a013163c,273ca9cc3e6ed03c,true,500
s2-07d,smoke,BCH-S200,200,285,SEGMENTED,1,2,,NONE,500,284,500,500,100000,1005,453,0.01005,0.90600000000000003,0.094,1,0,0.90600000000000003,0,1.0600000000000001,1.9399999999999999,0.059999999999999998,0.12,0.93999999999999995,1,283,false,false,0.87723544413744092,0.92857359140777873,2026072607,4017947825915577414,5640354087230502487,5640354087230502487,MAXIMUM_FRAMES,0.0047727500000000001,58f579949d6218a6,0c676aafaea3bec0,0c676aafaea3bec0,true,500
s2-07d,smoke,BCH-S200,200,285,SEGMENTED,1,2,,FIXED_RANDOM,500,284,500,500,100000,55,23,0.00055000000000000003,0.045999999999999999,0.95399999999999996,1,0,0.045999999999999999,0,1.954,1.046,0.95399999999999996,1.9079999999999999,0.045999999999999999,112,283,false,false,0.030845108370816204,0.068077792768273235,2026072607,4017947825915577414,5640354087230502487,5640354087230502487,MAXIMUM_FRAMES,0.0047727500000000001,58f579949d6218a6,086532f4a013163c,273ca9cc3e6ed03c,true,500
s2-07d,smoke,BCH-S200,200,285,SEGMENTED,1,3,,NONE,500,283,500,500,100000,1337,485,0.01337,0.96999999999999997,0.029999999999999999,1,0,0.96999999999999997,0,1.1439999999999999,2.8559999999999999,0,0.14399999999999999,1,0,282,false,false,0.95109633316405429,0.98173678680208654,2026072607,4017947825915577414,16030843550405113190,16030843550405113190,MAXIMUM_FRAMES,0.0048807499999999997,ed64c16fcab996a8,0c676aafaea3bec0,0c676aafaea3bec0,true,500
s2-07d,smoke,BCH-S200,200,285,SEGMENTED,1,3,,FIXED_RANDOM,500,283,500,500,100000,125,63,0.00125,0.126,0.874,1,0,0.126,0,2.8740000000000001,1.1259999999999999,0.874,2.7480000000000002,0.126,56,282,false,false,0.09973528894537706,0.15796771771986404,2026072607,4017947825915577414,16030843550405113190,16030843550405113190,MAXIMUM_FRAMES,0.0048807499999999997,ed64c16fcab996a8,086532f4a013163c,273ca9cc3e6ed03c,true,500
s2-07d,smoke,BCH-S200,200,285,SEGMENTED,1,4,,NONE,500,282,500,500,100000,1718,485,0.017180000000000001,0.96999999999999997,0.029999999999999999,1,0,0.96999999999999997,0,1.196,3.7519999999999998,0,0.14399999999999999,1.052,0,281,false,false,0.95109633316405429,0.98173678680208654,2026072607,4017947825915577414,1735388984397293476,1735388984397293476,MAXIMUM_FRAMES,0.0050352499999999998,ba81f6913420ec54,0c676aafaea3bec0,0c676aafaea3bec0,true,500
s2-07d,smoke,BCH-S200,200,285,SEGMENTED,1,4,,FIXED_RANDOM,500,282,500,500,100000,295,128,0.0029499999999999999,0.25600000000000001,0.74399999999999999,1,0,0.25600000000000001,0,3.7240000000000002,1.258,0.74399999999999999,3.4500000000000002,0.27400000000000002,9,281,false,false,0.21970770819171886,0.29601296995351872,2026072607,4017947825915577414,1735388984397293476,1735388984397293476,MAXIMUM_FRAMES,0.0050352499999999998,ba81f6913420ec54,086532f4a013163c,273ca9cc3e6ed03c,true,500
