caseName,sourcePayloadEbN0Db,initialPhaseDeg,targetFER,parameter,maximumToleratedParameter,lowerBound,upperBound,numberOfCrossings,firstCrossing,lastCrossing,method,status
BCH-B200,4.5,0,0.5,frameRotationDeg,,30.0,45.0,1,30.0..45.0,30.0..45.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,4.5,0,0.1,frameRotationDeg,,,0.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-B200,4.5,0,0.01,frameRotationDeg,,,0.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-B200,5.2999999999999998,0,0.5,frameRotationDeg,,45.0,60.0,1,45.0..60.0,45.0..60.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,5.2999999999999998,0,0.1,frameRotationDeg,,30.0,45.0,1,30.0..45.0,30.0..45.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,5.2999999999999998,0,0.01,frameRotationDeg,,,0.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-B200,6,0,0.5,frameRotationDeg,,60.0,75.0,1,60.0..75.0,60.0..75.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,6,0,0.1,frameRotationDeg,,45.0,60.0,1,45.0..60.0,45.0..60.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B200,6,0,0.01,frameRotationDeg,,30.0,45.0,1,30.0..45.0,30.0..45.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,4.5999999999999996,0,0.5,frameRotationDeg,,30.0,45.0,1,30.0..45.0,30.0..45.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,4.5999999999999996,0,0.1,frameRotationDeg,,5.0,10.0,1,5.0..10.0,5.0..10.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,4.5999999999999996,0,0.01,frameRotationDeg,,,0.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-B300,5.2000000000000002,0,0.5,frameRotationDeg,,45.0,60.0,1,45.0..60.0,45.0..60.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,5.2000000000000002,0,0.1,frameRotationDeg,,30.0,45.0,1,30.0..45.0,30.0..45.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,5.2000000000000002,0,0.01,frameRotationDeg,,5.0,10.0,1,5.0..10.0,5.0..10.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,5.5,0,0.5,frameRotationDeg,,45.0,60.0,1,45.0..60.0,45.0..60.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,5.5,0,0.1,frameRotationDeg,,30.0,45.0,1,30.0..45.0,30.0..45.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300,5.5,0,0.01,frameRotationDeg,,20.0,30.0,1,20.0..30.0,20.0..30.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300-426,4.4000000000000004,0,0.5,frameRotationDeg,,30.0,45.0,1,30.0..45.0,30.0..45.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300-426,4.4000000000000004,0,0.1,frameRotationDeg,,,0.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-B300-426,4.4000000000000004,0,0.01,frameRotationDeg,,,0.0,0,,,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BELOW_MINIMUM_TESTED_PARAMETER
BCH-B300-426,5,0,0.5,frameRotationDeg,,45.0,60.0,1,45.0..60.0,45.0..60.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300-426,5,0,0.1,frameRotationDeg,,30.0,45.0,1,30.0..45.0,30.0..45.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300-426,5,0,0.01,frameRotationDeg,,5.0,10.0,1,5.0..10.0,5.0..10.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300-426,5.5,0,0.5,frameRotationDeg,,45.0,60.0,1,45.0..60.0,45.0..60.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300-426,5.5,0,0.1,frameRotationDeg,,45.0,60.0,1,45.0..60.0,45.0..60.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
BCH-B300-426,5.5,0,0.01,frameRotationDeg,,30.0,45.0,1,30.0..45.0,30.0..45.0,OBSERVED_POINTS_NO_SMOOTHING_NO_EXTRAPOLATION,BRACKETED_INTERVAL
