schemaVersion,stage,channelType,caseName,organization,decoderType,payloadLength,encodedLength,frameRate,sourcePayloadEbN0Db,snrDb,noisePolicyVersion,initialPhaseDeg,frameRotationDeg,compensationMode,attenuationDb,completeBlockage,blockageLength,blockageStartPolicy,burstMode,burstLength,burstStartPolicy,burstInjectionDomain,backgroundAwgnEnabled,processedFrames,processedPayloadBits,channelHardBitErrors,channelHardFrameErrors,channelHardBER,decodedBitErrors,decodedFrameErrors,BER,FER,trueSuccessFrames,trueSuccessRate,reportedSuccessFrames,reportedSuccessRate,miscorrectedFrames,miscorrectionRate,decoderFailureFrames,decoderFailureRate,avgDecodeTimeUs,p50DecodeTimeUs,p95DecodeTimeUs,p99DecodeTimeUs,maxDecodeTimeUs,avgTotalReceiverTimeUs,medianReceiverTimeUs,p95ReceiverTimeUs,p99ReceiverTimeUs,maxReceiverTimeUs,minFrames,targetFrameErrors,maxFrames,stopReason,checkpointCount,resumeCount,shardIndex,shardCount,configHash,gitCommit,seriesKey,plotted
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,BURST,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,0,-0.93421685162235091,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1000000,5000,5000,0.0040322580645161289,0,0,0,0,5000,1,5000,1,0,0,0,0,21.672800000000006,20,28,39.703000000000067,434.19999999999999,22.841400000000004,21,29.699999999999999,41.518000000000391,435.80000000000001,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,23af279e2b6ab1444cf1ac7b0ee147759e7597fd83568821865a330e3e0aa85d,WORKTREE,BCH-B200,true
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,BURST,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,0,-0.93421685162235091,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,2,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1000000,10000,5000,0.0080645161290322578,0,0,0,0,5000,1,5000,1,0,0,0,0,24.802579999999985,22,33.505000000000017,51.505000000000109,595.20000000000005,26.226839999999992,23.100000000000001,35.600000000000001,54.606000000000137,597.10000000000002,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,b92c34465a302cd8f620e7d886828c9f9d9942b509194aad36666645db9403bc,WORKTREE,BCH-B200,true
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,BURST,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,0,-0.93421685162235091,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,3,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1000000,15000,5000,0.012096774193548387,0,0,0,0,5000,1,5000,1,0,0,0,0,30.434120000000032,24.949999999999999,41.100000000000001,117.20200000000006,2298.9000000000001,31.921499999999931,26.199999999999999,43.705000000000027,119.60200000000005,2301.5999999999999,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,1c5d3d7664350f08c0594004f0948540818a33de66501d68c6037f3a6ea7cef6,WORKTREE,BCH-B200,true
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,BURST,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,0,-0.93421685162235091,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,4,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1000000,20000,5000,0.016129032258064516,0,0,0,0,5000,1,5000,1,0,0,0,0,28.579139999999995,25.899999999999999,37.299999999999997,52.903000000000063,571.20000000000005,29.844260000000002,27,39.105000000000018,56.402000000000037,573,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,53a29e672b54397d48a134108f630258843ebb5d675ffa7c44829aa5959d8e6e,WORKTREE,BCH-B200,true
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,BURST,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,0,-0.93421685162235091,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,5,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1000000,25000,5000,0.020161290322580645,0,0,0,0,5000,1,5000,1,0,0,0,0,32.627579999999988,28.300000000000001,41.899999999999999,74.201000000000036,1753.0999999999999,33.959440000000036,29.5,44.105000000000018,76.34000000000087,1755.0999999999999,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,591e9e13b32441e5bae79f2e4ed80a9fce8eba4715c37a69e0098ca288642f4c,WORKTREE,BCH-B200,true
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,BURST,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,0,-0.93421685162235091,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,6,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1000000,30000,5000,0.024193548387096774,0,0,0,0,5000,1,5000,1,0,0,0,0,33.632979999999954,29.699999999999999,44.600000000000001,65.299999999999997,658.39999999999998,34.95331999999992,30.899999999999999,46.700000000000003,67.306000000000125,659.5,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,d295c1b3366bc9eff8de5419d6e89e5541cfa2576b6e02f51a393f0af89dd39d,WORKTREE,BCH-B200,true
bch.s2.impairment.result.v1,S2_07,BURST,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,0,-0.93421685162235091,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,7,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1000000,35000,5000,0.028225806451612902,28697,4165,0.028697,0.83299999999999996,835,0.16700000000000001,0,0,0,0,5000,1,34.800960000000096,31.699999999999999,46.005000000000017,80.314000000000291,365.39999999999998,36.361499999999822,,,,,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,40e9903ba195b2fc61881dd2ff14d3367bde0a370dc08ce17ff7c056a9297768,WORKTREE,BCH-B200,true
bch.s2.impairment.result.v1,S2_07,BURST,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,0,-0.93421685162235091,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,8,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1000000,40000,5000,0.032258064516129031,32365,4117,0.032364999999999998,0.82340000000000002,883,0.17660000000000001,0,0,0,0,5000,1,46.190960000000018,39.200000000000003,75.005000000000024,193.12700000000058,2521.5999999999999,48.450899999999876,,,,,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,ae383cd4a479b82303ead319073984325152b729dc66fe589dc6e87ef20f33aa,WORKTREE,BCH-B200,true
bch.s2.impairment.result.v1,S2_07,BURST,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,0,-0.93421685162235091,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,10,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1000000,50000,5000,0.040322580645161289,41284,4225,0.041284000000000001,0.84499999999999997,775,0.155,0,0,0,0,5000,1,37.668819999999954,37.700000000000003,49.600000000000001,83.109000000000194,533.60000000000002,39.360820000000096,,,,,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,8b0ef3f7e848375d63e544cbd2aef8d95386c75cd124ac3fd9179d19c69e14c0,WORKTREE,BCH-B200,true
bch.s2.impairment.result.v1,S2_07,BURST,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,0,-0.93421685162235091,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,12,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,0,5000,1000000,60000,5000,0.048387096774193547,49270,4227,0.049270000000000001,0.84540000000000004,773,0.15459999999999999,0,0,0,0,5000,1,40.683700000000094,38.299999999999997,51.5,106.4040000000001,1724.2,42.740899999999939,,,,,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,f7da1e5cc017d3301fddb2846d877cfae565d5e32f2dbdaab654cf1014046a2c,WORKTREE,BCH-B200,true
