channelType,parameterPoint,caseName,comparedFrames,maxSampleAbsDiff,hardBitMismatches,decodedPayloadBitMismatches,frameErrorMismatches,reportedStatusMismatches,miscorrectionMismatches,decoderFailureMismatches,matlabFrameErrors,cppFrameErrors,gate
RESIDUAL_CFO,0,BCH-S200,100,0,0,0,0,0,0,0,0,0,PASS
RESIDUAL_CFO,0,BCH-B200,100,0,0,0,0,0,0,0,0,0,PASS
RESIDUAL_CFO,0,BCH-S300,100,0,0,0,0,0,0,0,2,2,PASS
RESIDUAL_CFO,0,BCH-B300,100,0,0,0,0,0,0,0,0,0,PASS
RESIDUAL_CFO,0,BCH-B300-426,100,0,0,0,0,0,0,0,0,0,PASS
RESIDUAL_CFO,1,BCH-S200,100,2.22044604925031e-16,0,0,0,0,0,0,99,99,PASS
RESIDUAL_CFO,1,BCH-B200,100,2.22044604925031e-16,0,0,0,0,0,0,86,86,PASS
RESIDUAL_CFO,1,BCH-S300,100,3.14018491736755e-16,0,0,0,0,0,0,100,100,PASS
RESIDUAL_CFO,1,BCH-B300,100,2.22044604925031e-16,0,0,0,0,0,0,98,98,PASS
RESIDUAL_CFO,1,BCH-B300-426,100,2.48253415324727e-16,0,0,0,0,0,0,95,95,PASS
RESIDUAL_CFO,2,BCH-S200,100,2.22044604925031e-16,0,0,0,0,0,0,100,100,PASS
RESIDUAL_CFO,2,BCH-B200,100,2.22044604925031e-16,0,0,0,0,0,0,100,100,PASS
RESIDUAL_CFO,2,BCH-S300,100,2.22044604925031e-16,0,0,0,0,0,0,100,100,PASS
RESIDUAL_CFO,2,BCH-B300,100,2.22044604925031e-16,0,0,0,0,0,0,100,100,PASS
RESIDUAL_CFO,2,BCH-B300-426,100,2.22044604925031e-16,0,0,0,0,0,0,100,100,PASS
SHORT_BLOCKAGE,0,BCH-S200,100,0,0,0,0,0,0,0,8,8,PASS
SHORT_BLOCKAGE,0,BCH-B200,100,0,0,0,0,0,0,0,0,0,PASS
SHORT_BLOCKAGE,0,BCH-S300,100,0,0,0,0,0,0,0,9,9,PASS
SHORT_BLOCKAGE,0,BCH-B300,100,0,0,0,0,0,0,0,0,0,PASS
SHORT_BLOCKAGE,0,BCH-B300-426,100,0,0,0,0,0,0,0,0,0,PASS
SHORT_BLOCKAGE,1,BCH-S200,100,0,0,0,0,0,0,0,79,79,PASS
SHORT_BLOCKAGE,1,BCH-B200,100,0,0,0,0,0,0,0,1,1,PASS
SHORT_BLOCKAGE,1,BCH-S300,100,0,0,0,0,0,0,0,62,62,PASS
SHORT_BLOCKAGE,1,BCH-B300,100,0,0,0,0,0,0,0,0,0,PASS
SHORT_BLOCKAGE,1,BCH-B300-426,100,0,0,0,0,0,0,0,0,0,PASS
SHORT_BLOCKAGE,2,BCH-S200,100,0,0,0,0,0,0,0,100,100,PASS
SHORT_BLOCKAGE,2,BCH-B200,100,0,0,0,0,0,0,0,0,0,PASS
SHORT_BLOCKAGE,2,BCH-S300,100,0,0,0,0,0,0,0,100,100,PASS
SHORT_BLOCKAGE,2,BCH-B300,100,0,0,0,0,0,0,0,0,0,PASS
SHORT_BLOCKAGE,2,BCH-B300-426,100,0,0,0,0,0,0,0,0,0,PASS
BURST,0,BCH-S200,100,0,0,0,0,0,0,0,100,100,PASS
BURST,0,BCH-B200,100,0,0,0,0,0,0,0,0,0,PASS
BURST,0,BCH-S300,100,0,0,0,0,0,0,0,100,100,PASS
BURST,0,BCH-B300,100,0,0,0,0,0,0,0,0,0,PASS
BURST,0,BCH-B300-426,100,0,0,0,0,0,0,0,0,0,PASS
BURST,1,BCH-S200,100,0,0,0,0,0,0,0,100,100,PASS
BURST,1,BCH-B200,100,0,0,0,0,0,0,0,100,100,PASS
BURST,1,BCH-S300,100,0,0,0,0,0,0,0,100,100,PASS
BURST,1,BCH-B300,100,0,0,0,0,0,0,0,100,100,PASS
BURST,1,BCH-B300-426,100,0,0,0,0,0,0,0,100,100,PASS
BURST,2,BCH-S200,100,0,0,0,0,0,0,0,100,100,PASS
BURST,2,BCH-B200,100,0,0,0,0,0,0,0,0,0,PASS
BURST,2,BCH-S300,100,0,0,0,0,0,0,0,100,100,PASS
BURST,2,BCH-B300,100,0,0,0,0,0,0,0,0,0,PASS
BURST,2,BCH-B300-426,100,0,0,0,0,0,0,0,0,0,PASS
