experimentClass,caseName,initialPhaseDeg,frameRotationDeg,comparedFrames,maxReceivedAbsDiff,maxPerfectCompensatedAbsDiff,maxPerfectAwgnRealAbsDiff,noCompHardBitMismatches,perfectHardBitMismatches,noCompDecodedPayloadBitMismatches,perfectDecodedPayloadBitMismatches,frameErrorMismatches,gate
RESIDUAL_CFO_PHI0_ZERO,BCH-S200,0,0,100,0,0,0,0,0,0,0,0,PASS
RESIDUAL_CFO_PHI0_ZERO,BCH-S200,0,30,100,4.47545209131181e-16,9.03656071976605e-16,8.88178419700125e-16,0,0,0,0,0,PASS
RESIDUAL_CFO_PHI0_ZERO,BCH-S200,0,60,100,4.96506830649455e-16,9.15513359704447e-16,4.44089209850063e-16,0,0,0,0,0,PASS
RESIDUAL_CFO_PHI0_ZERO,BCH-B200,0,0,100,0,0,0,0,0,0,0,0,PASS
RESIDUAL_CFO_PHI0_ZERO,BCH-B200,0,30,100,4.57756679852224e-16,8.95090418262362e-16,8.88178419700125e-16,0,0,0,0,0,PASS
RESIDUAL_CFO_PHI0_ZERO,BCH-B200,0,60,100,4.96506830649455e-16,8.95090418262362e-16,4.44089209850063e-16,0,0,0,0,0,PASS
RESIDUAL_CFO_PHI0_ZERO,BCH-S300,0,0,100,0,0,0,0,0,0,0,0,PASS
RESIDUAL_CFO_PHI0_ZERO,BCH-S300,0,30,100,8.88178419700125e-16,9.15513359704447e-16,8.88178419700125e-16,0,0,0,0,0,PASS
RESIDUAL_CFO_PHI0_ZERO,BCH-S300,0,60,100,6.2803698347351e-16,9.93013661298909e-16,8.88178419700125e-16,0,0,0,0,0,PASS
RESIDUAL_CFO_PHI0_ZERO,BCH-B300,0,0,100,0,0,0,0,0,0,0,0,PASS
RESIDUAL_CFO_PHI0_ZERO,BCH-B300,0,30,100,4.96506830649455e-16,9.93013661298909e-16,8.88178419700125e-16,0,0,0,0,0,PASS
RESIDUAL_CFO_PHI0_ZERO,BCH-B300,0,60,100,6.2803698347351e-16,9.93013661298909e-16,8.88178419700125e-16,0,0,0,0,0,PASS
RESIDUAL_CFO_PHI0_ZERO,BCH-B300-426,0,0,100,0,0,0,0,0,0,0,0,PASS
RESIDUAL_CFO_PHI0_ZERO,BCH-B300-426,0,30,100,4.96506830649455e-16,9.15513359704447e-16,8.88178419700125e-16,0,0,0,0,0,PASS
RESIDUAL_CFO_PHI0_ZERO,BCH-B300-426,0,60,100,6.2803698347351e-16,9.93013661298909e-16,8.88178419700125e-16,0,0,0,0,0,PASS
INITIAL_PHASE_SENSITIVITY,BCH-S200,0,0,100,0,0,0,0,0,0,0,0,PASS
INITIAL_PHASE_SENSITIVITY,BCH-S200,45,0,100,8.88178419700125e-16,1.04738230666885e-15,4.44089209850063e-16,0,0,0,0,0,PASS
INITIAL_PHASE_SENSITIVITY,BCH-S200,90,0,100,0,0,0,0,0,0,0,0,PASS
INITIAL_PHASE_SENSITIVITY,BCH-S200,135,0,100,0,0,4.44089209850063e-16,0,0,0,0,0,PASS
INITIAL_PHASE_SENSITIVITY,BCH-B200,0,0,100,0,0,0,0,0,0,0,0,PASS
INITIAL_PHASE_SENSITIVITY,BCH-B200,45,0,100,4.96506830649455e-16,9.93013661298909e-16,4.44089209850063e-16,0,0,0,0,0,PASS
INITIAL_PHASE_SENSITIVITY,BCH-B200,90,0,100,0,0,0,0,0,0,0,0,PASS
INITIAL_PHASE_SENSITIVITY,BCH-B200,135,0,100,0,0,4.44089209850063e-16,0,0,0,0,0,PASS
INITIAL_PHASE_SENSITIVITY,BCH-S300,0,0,100,0,0,0,0,0,0,0,0,PASS
INITIAL_PHASE_SENSITIVITY,BCH-S300,45,0,100,6.2803698347351e-16,1.04738230666885e-15,4.44089209850063e-16,0,0,0,0,0,PASS
INITIAL_PHASE_SENSITIVITY,BCH-S300,90,0,100,0,0,0,0,0,0,0,0,PASS
INITIAL_PHASE_SENSITIVITY,BCH-S300,135,0,100,0,0,4.44089209850063e-16,0,0,0,0,0,PASS
INITIAL_PHASE_SENSITIVITY,BCH-B300,0,0,100,0,0,0,0,0,0,0,0,PASS
INITIAL_PHASE_SENSITIVITY,BCH-B300,45,0,100,8.88178419700125e-16,1.04738230666885e-15,4.44089209850063e-16,0,0,0,0,0,PASS
INITIAL_PHASE_SENSITIVITY,BCH-B300,90,0,100,0,0,0,0,0,0,0,0,PASS
INITIAL_PHASE_SENSITIVITY,BCH-B300,135,0,100,0,0,4.44089209850063e-16,0,0,0,0,0,PASS
INITIAL_PHASE_SENSITIVITY,BCH-B300-426,0,0,100,0,0,0,0,0,0,0,0,PASS
INITIAL_PHASE_SENSITIVITY,BCH-B300-426,45,0,100,9.15513359704447e-16,1.11022302462516e-15,4.44089209850063e-16,0,0,0,0,0,PASS
INITIAL_PHASE_SENSITIVITY,BCH-B300-426,90,0,100,0,0,0,0,0,0,0,0,PASS
INITIAL_PHASE_SENSITIVITY,BCH-B300-426,135,0,100,0,0,4.44089209850063e-16,0,0,0,0,0,PASS
