caseName,burstMode,sourcePayloadEbN0Db,burstLength,burstStartPolicy,processedFrames,processedPayloadBits,decodedBitErrors,decodedFrameErrors,BER,FER,aggregation,seriesLabel,visualStyleKey,plotted,omissionReason
BCH-B200,AWGN,5.2999999999999998,1,UNIFORM_RANDOM,5000,1000000,1136,188,0.001136,0.0376,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,AWGN,5.2999999999999998,2,UNIFORM_RANDOM,5000,1000000,2962,488,0.002962,0.0976,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,AWGN,5.2999999999999998,3,UNIFORM_RANDOM,5000,1000000,6729,1084,0.006729,0.2168,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,AWGN,5.2999999999999998,4,UNIFORM_RANDOM,5000,1000000,13113,2063,0.013113,0.4126,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,AWGN,5.2999999999999998,5,UNIFORM_RANDOM,5000,1000000,22024,3353,0.022024,0.6706,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,AWGN,5.2999999999999998,6,UNIFORM_RANDOM,5000,1000000,30964,4395,0.030964,0.879,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,AWGN,5.2999999999999998,7,UNIFORM_RANDOM,5000,1000000,37644,4842,0.037644,0.9684,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,AWGN,5.2999999999999998,8,UNIFORM_RANDOM,5000,1000000,41562,4879,0.041562,0.9758,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,AWGN,5.2999999999999998,10,UNIFORM_RANDOM,5000,1000000,50296,4876,0.050296,0.9752,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,AWGN,5.2999999999999998,12,UNIFORM_RANDOM,5000,1000000,58071,4892,0.058071,0.9784,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,AWGN,5.2999999999999998,14,UNIFORM_RANDOM,5000,1000000,66425,4879,0.066425,0.9758,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,AWGN,5.2999999999999998,15,UNIFORM_RANDOM,5000,1000000,71109,4898,0.071109,0.9796,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,AWGN,5.2999999999999998,16,UNIFORM_RANDOM,5000,1000000,74386,4897,0.074386,0.9794,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,AWGN,5.2999999999999998,20,UNIFORM_RANDOM,5000,1000000,91492,4908,0.091492,0.9816,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,AWGN,5.2999999999999998,24,UNIFORM_RANDOM,5000,1000000,109284,4928,0.109284,0.9856,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,AWGN,5.2999999999999998,29,UNIFORM_RANDOM,5000,1000000,129088,4925,0.129088,0.985,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,AWGN,5.2999999999999998,30,UNIFORM_RANDOM,5000,1000000,134664,4953,0.134664,0.9906,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,AWGN,5.2999999999999998,31,UNIFORM_RANDOM,5000,1000000,139317,4952,0.139317,0.9904,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,AWGN,5.2999999999999998,32,UNIFORM_RANDOM,5000,1000000,144024,4944,0.144024,0.9888,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,AWGN,5.2999999999999998,48,UNIFORM_RANDOM,5000,1000000,216190,4996,0.21619,0.9992,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B200,AWGN,5.2999999999999998,64,UNIFORM_RANDOM,5000,1000000,292610,5000,0.29261,1.0,RAW_COUNTS,BCH-B200,BCH-B200|DEFAULT|#d62728|--|s,true,
BCH-B300,AWGN,5.2000000000000002,1,UNIFORM_RANDOM,5000,1500000,756,86,0.000504,0.0172,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,2,UNIFORM_RANDOM,5000,1500000,1805,202,0.0012033333333333334,0.0404,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,3,UNIFORM_RANDOM,5000,1500000,4104,458,0.002736,0.0916,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,4,UNIFORM_RANDOM,5000,1500000,7951,870,0.005300666666666667,0.174,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,5,UNIFORM_RANDOM,5000,1500000,14294,1543,0.009529333333333334,0.3086,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,6,UNIFORM_RANDOM,5000,1500000,22521,2383,0.015014,0.4766,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,7,UNIFORM_RANDOM,5000,1500000,32385,3330,0.02159,0.666,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,8,UNIFORM_RANDOM,5000,1500000,42493,4170,0.028328666666666665,0.834,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,10,UNIFORM_RANDOM,5000,1500000,55153,4914,0.036768666666666665,0.9828,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,12,UNIFORM_RANDOM,5000,1500000,63505,4971,0.04233666666666667,0.9942,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,14,UNIFORM_RANDOM,5000,1500000,71232,4969,0.047488,0.9938,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,15,UNIFORM_RANDOM,5000,1500000,74967,4974,0.049978,0.9948,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,16,UNIFORM_RANDOM,5000,1500000,78899,4978,0.05259933333333333,0.9956,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
BCH-B300,AWGN,5.2000000000000002,20,UNIFORM_RANDOM,5000,1500000,95222,4976,0.06348133333333333,0.9952,RAW_COUNTS,BCH-B300,BCH-B300|DEFAULT|#9467bd|:|D,true,
