caseName,sourcePayloadEbN0Db,attenuationDb,completeBlockage,blockageLength,blockageStartPolicy,processedFrames,processedPayloadBits,decodedBitErrors,decodedFrameErrors,BER,FER,aggregation,seriesLabel,visualStyleKey,plotted,omissionReason
BCH-B200,4.5,-12,0,1,UNIFORM_RANDOM,5000,1000000,4742,744,0.004742,0.1488,RAW_COUNTS,BCH-B200 / -12,BCH-B200|-12|#d62728|-|s,true,
BCH-B200,4.5,-12,0,2,UNIFORM_RANDOM,5000,1000000,5826,903,0.005826,0.1806,RAW_COUNTS,BCH-B200 / -12,BCH-B200|-12|#d62728|-|s,true,
BCH-B200,4.5,-12,0,4,UNIFORM_RANDOM,5000,1000000,8603,1325,0.008603,0.265,RAW_COUNTS,BCH-B200 / -12,BCH-B200|-12|#d62728|-|s,true,
BCH-B200,4.5,-12,0,6,UNIFORM_RANDOM,5000,1000000,12011,1802,0.012011,0.3604,RAW_COUNTS,BCH-B200 / -12,BCH-B200|-12|#d62728|-|s,true,
BCH-B200,4.5,-12,0,8,UNIFORM_RANDOM,5000,1000000,15347,2236,0.015347,0.4472,RAW_COUNTS,BCH-B200 / -12,BCH-B200|-12|#d62728|-|s,true,
BCH-B200,4.5,-12,0,10,UNIFORM_RANDOM,5000,1000000,19228,2722,0.019228,0.5444,RAW_COUNTS,BCH-B200 / -12,BCH-B200|-12|#d62728|-|s,true,
BCH-B200,4.5,-12,0,12,UNIFORM_RANDOM,5000,1000000,23036,3176,0.023036,0.6352,RAW_COUNTS,BCH-B200 / -12,BCH-B200|-12|#d62728|-|s,true,
BCH-B200,4.5,-12,0,14,UNIFORM_RANDOM,5000,1000000,27263,3606,0.027263,0.7212,RAW_COUNTS,BCH-B200 / -12,BCH-B200|-12|#d62728|-|s,true,
BCH-B200,4.5,-12,0,15,UNIFORM_RANDOM,5000,1000000,28558,3733,0.028558,0.7466,RAW_COUNTS,BCH-B200 / -12,BCH-B200|-12|#d62728|-|s,true,
BCH-B200,4.5,-12,0,16,UNIFORM_RANDOM,5000,1000000,30319,3887,0.030319,0.7774,RAW_COUNTS,BCH-B200 / -12,BCH-B200|-12|#d62728|-|s,true,
BCH-B200,4.5,-12,0,20,UNIFORM_RANDOM,5000,1000000,37427,4396,0.037427,0.8792,RAW_COUNTS,BCH-B200 / -12,BCH-B200|-12|#d62728|-|s,true,
BCH-B200,4.5,-12,0,24,UNIFORM_RANDOM,5000,1000000,44036,4690,0.044036,0.938,RAW_COUNTS,BCH-B200 / -12,BCH-B200|-12|#d62728|-|s,true,
BCH-B200,4.5,-12,0,29,UNIFORM_RANDOM,5000,1000000,50613,4843,0.050613,0.9686,RAW_COUNTS,BCH-B200 / -12,BCH-B200|-12|#d62728|-|s,true,
BCH-B200,4.5,-12,0,30,UNIFORM_RANDOM,5000,1000000,51481,4877,0.051481,0.9754,RAW_COUNTS,BCH-B200 / -12,BCH-B200|-12|#d62728|-|s,true,
BCH-B200,4.5,-12,0,31,UNIFORM_RANDOM,5000,1000000,52617,4883,0.052617,0.9766,RAW_COUNTS,BCH-B200 / -12,BCH-B200|-12|#d62728|-|s,true,
BCH-B200,4.5,-12,0,32,UNIFORM_RANDOM,5000,1000000,54417,4891,0.054417,0.9782,RAW_COUNTS,BCH-B200 / -12,BCH-B200|-12|#d62728|-|s,true,
BCH-B200,4.5,-12,0,48,UNIFORM_RANDOM,5000,1000000,75602,4994,0.075602,0.9988,RAW_COUNTS,BCH-B200 / -12,BCH-B200|-12|#d62728|-|s,true,
BCH-B200,4.5,-12,0,64,UNIFORM_RANDOM,5000,1000000,96963,5000,0.096963,1.0,RAW_COUNTS,BCH-B200 / -12,BCH-B200|-12|#d62728|-|s,true,
BCH-B200,4.5,-20,0,1,UNIFORM_RANDOM,5000,1000000,5082,791,0.005082,0.1582,RAW_COUNTS,BCH-B200 / -20,BCH-B200|-20|#d62728|--|s,true,
BCH-B200,4.5,-20,0,2,UNIFORM_RANDOM,5000,1000000,6935,1071,0.006935,0.2142,RAW_COUNTS,BCH-B200 / -20,BCH-B200|-20|#d62728|--|s,true,
BCH-B200,4.5,-20,0,4,UNIFORM_RANDOM,5000,1000000,11262,1712,0.011262,0.3424,RAW_COUNTS,BCH-B200 / -20,BCH-B200|-20|#d62728|--|s,true,
BCH-B200,4.5,-20,0,6,UNIFORM_RANDOM,5000,1000000,16701,2447,0.016701,0.4894,RAW_COUNTS,BCH-B200 / -20,BCH-B200|-20|#d62728|--|s,true,
BCH-B200,4.5,-20,0,8,UNIFORM_RANDOM,5000,1000000,21751,3039,0.021751,0.6078,RAW_COUNTS,BCH-B200 / -20,BCH-B200|-20|#d62728|--|s,true,
BCH-B200,4.5,-20,0,10,UNIFORM_RANDOM,5000,1000000,27165,3627,0.027165,0.7254,RAW_COUNTS,BCH-B200 / -20,BCH-B200|-20|#d62728|--|s,true,
BCH-B200,4.5,-20,0,12,UNIFORM_RANDOM,5000,1000000,32510,4107,0.03251,0.8214,RAW_COUNTS,BCH-B200 / -20,BCH-B200|-20|#d62728|--|s,true,
BCH-B200,4.5,-20,0,14,UNIFORM_RANDOM,5000,1000000,37630,4480,0.03763,0.896,RAW_COUNTS,BCH-B200 / -20,BCH-B200|-20|#d62728|--|s,true,
BCH-B200,4.5,-20,0,15,UNIFORM_RANDOM,5000,1000000,39299,4552,0.039299,0.9104,RAW_COUNTS,BCH-B200 / -20,BCH-B200|-20|#d62728|--|s,true,
BCH-B200,4.5,-20,0,16,UNIFORM_RANDOM,5000,1000000,41391,4679,0.041391,0.9358,RAW_COUNTS,BCH-B200 / -20,BCH-B200|-20|#d62728|--|s,true,
