state,inputBit,nextState,g1,g2,outputDecimal
0,0,0,0,0,0
0,1,32,1,1,3
1,0,0,1,1,3
1,1,32,0,0,0
2,0,1,0,1,1
2,1,33,1,0,2
3,0,1,1,0,2
3,1,33,0,1,1
4,0,2,0,0,0
4,1,34,1,1,3
5,0,2,1,1,3
5,1,34,0,0,0
6,0,3,0,1,1
6,1,35,1,0,2
7,0,3,1,0,2
7,1,35,0,1,1
8,0,4,1,1,3
8,1,36,0,0,0
9,0,4,0,0,0
9,1,36,1,1,3
10,0,5,1,0,2
10,1,37,0,1,1
11,0,5,0,1,1
11,1,37,1,0,2
12,0,6,1,1,3
12,1,38,0,0,0
13,0,6,0,0,0
13,1,38,1,1,3
14,0,7,1,0,2
14,1,39,0,1,1
15,0,7,0,1,1
15,1,39,1,0,2
16,0,8,1,1,3
16,1,40,0,0,0
17,0,8,0,0,0
17,1,40,1,1,3
18,0,9,1,0,2
18,1,41,0,1,1
19,0,9,0,1,1
19,1,41,1,0,2
20,0,10,1,1,3
20,1,42,0,0,0
21,0,10,0,0,0
21,1,42,1,1,3
22,0,11,1,0,2
22,1,43,0,1,1
23,0,11,0,1,1
23,1,43,1,0,2
24,0,12,0,0,0
24,1,44,1,1,3
25,0,12,1,1,3
25,1,44,0,0,0
26,0,13,0,1,1
26,1,45,1,0,2
27,0,13,1,0,2
27,1,45,0,1,1
28,0,14,0,0,0
28,1,46,1,1,3
29,0,14,1,1,3
29,1,46,0,0,0
30,0,15,0,1,1
30,1,47,1,0,2
31,0,15,1,0,2
31,1,47,0,1,1
32,0,16,1,0,2
32,1,48,0,1,1
33,0,16,0,1,1
33,1,48,1,0,2
34,0,17,1,1,3
34,1,49,0,0,0
35,0,17,0,0,0
35,1,49,1,1,3
36,0,18,1,0,2
36,1,50,0,1,1
37,0,18,0,1,1
37,1,50,1,0,2
38,0,19,1,1,3
38,1,51,0,0,0
39,0,19,0,0,0
39,1,51,1,1,3
40,0,20,0,1,1
40,1,52,1,0,2
41,0,20,1,0,2
41,1,52,0,1,1
42,0,21,0,0,0
42,1,53,1,1,3
43,0,21,1,1,3
43,1,53,0,0,0
44,0,22,0,1,1
44,1,54,1,0,2
45,0,22,1,0,2
45,1,54,0,1,1
46,0,23,0,0,0
46,1,55,1,1,3
47,0,23,1,1,3
47,1,55,0,0,0
48,0,24,0,1,1
48,1,56,1,0,2
49,0,24,1,0,2
49,1,56,0,1,1
50,0,25,0,0,0
50,1,57,1,1,3
51,0,25,1,1,3
51,1,57,0,0,0
52,0,26,0,1,1
52,1,58,1,0,2
53,0,26,1,0,2
53,1,58,0,1,1
54,0,27,0,0,0
54,1,59,1,1,3
55,0,27,1,1,3
55,1,59,0,0,0
56,0,28,1,0,2
56,1,60,0,1,1
57,0,28,0,1,1
57,1,60,1,0,2
58,0,29,1,1,3
58,1,61,0,0,0
59,0,29,0,0,0
59,1,61,1,1,3
60,0,30,1,0,2
60,1,62,0,1,1
61,0,30,0,1,1
61,1,62,1,0,2
62,0,31,1,1,3
62,1,63,0,0,0
63,0,31,0,0,0
63,1,63,1,1,3
