phase,caseId,snrDb,ebN0Db,actualRate,sigmaSquared,N_transmitted,framesProcessed,payloadBitErrors,payloadErrorFrames,BER,FER,payloadSuccessRate,avgEncodeTime_us,maxEncodeTime_us,avgDecodeTime_us,p95DecodeTime_us,maxDecodeTime_us,rawDecodeThroughput_Mbps,successfulDecodeThroughput_Mbps,normalizedGoodput,stopReason
smoke,CC-B-R12-H,-2,1.0963016742589877,0.49019607843137253,0.79244659623055669,612,60,4552,60,0.25288888888888889,1,0,8.1700000000000017,71.299999999999997,323.61666666666656,434.69999999999999,1106.9000000000001,0.92702271205644571,0,0,TARGET_ERRORS_REACHED
smoke,CC-B-R12-S,-2,1.0963016742589877,0.49019607843137253,0.79244659623055669,612,60,867,43,0.04816666666666667,0.71666666666666667,0.28333333333333333,8.1700000000000017,71.299999999999997,368.55166666666679,600.5,668,0.81399713292120934,0.23063252099434264,0.13888888888888887,TARGET_ERRORS_REACHED
smoke,CC-B-R12-H,-1,2.0963016742589877,0.49019607843137253,0.62946270589708364,612,60,2019,57,0.11216666666666666,0.94999999999999996,0.050000000000000044,7.4733333333333318,89,344.87500000000006,525.20000000000005,1017.9,0.86988039144617602,0.043494019572308841,0.024509803921568648,TARGET_ERRORS_REACHED
smoke,CC-B-R12-S,-1,2.0963016742589877,0.49019607843137253,0.62946270589708364,612,60,99,11,0.0054999999999999997,0.18333333333333332,0.81666666666666665,7.4733333333333318,89,421.72999999999996,658.39999999999998,1324.8,0.71135560666777331,0.58094041211201486,0.40032679738562088,TARGET_ERRORS_REACHED
smoke,CC-B-R12-H,0,3.0963016742589877,0.49019607843137253,0.5,612,60,652,38,0.036222222222222225,0.6333333333333333,0.3666666666666667,6.6616666666666715,11.800000000000001,314.83833333333325,393.60000000000002,574.79999999999995,0.95286999147710749,0.34938566354160611,0.17973856209150327,TARGET_ERRORS_REACHED
smoke,CC-B-R12-S,0,3.0963016742589877,0.49019607843137253,0.5,612,60,3,1,0.00016666666666666666,0.016666666666666666,0.98333333333333328,6.6616666666666715,11.800000000000001,407.83999999999997,590.10000000000002,823.39999999999998,0.73558258140447241,0.7233228717143978,0.48202614379084963,TARGET_ERRORS_REACHED
smoke,CC-B-R12-H,1,4.0963016742589877,0.49019607843137253,0.39716411736214075,612,60,80,9,0.0044444444444444444,0.14999999999999999,0.84999999999999998,7.294999999999999,76.599999999999994,365.76333333333326,621.89999999999998,1705.5,0.82020249888361341,0.69717212405107143,0.41666666666666663,TARGET_ERRORS_REACHED
smoke,CC-B-R12-S,1,4.0963016742589877,0.49019607843137253,0.39716411736214075,612,60,0,0,0,0,1,7.294999999999999,76.599999999999994,426.34333333333342,726.60000000000002,1299.8,0.70365824101076579,0.70365824101076579,0.49019607843137253,TARGET_ERRORS_REACHED
smoke,CC-B-R12-H,2,5.0963016742589877,0.49019607843137253,0.31547867224009662,612,60,10,2,0.00055555555555555556,0.033333333333333333,0.96666666666666667,6.0866666666666669,12.4,314.45166666666665,573.20000000000005,622.5,0.95404169162192387,0.9222403019011931,0.47385620915032678,TARGET_ERRORS_REACHED
smoke,CC-B-R12-S,2,5.0963016742589877,0.49019607843137253,0.31547867224009662,612,60,0,0,0,0,1,6.0866666666666669,12.4,431.93999999999994,886.79999999999995,1059.0999999999999,0.69454090845950833,0.69454090845950833,0.49019607843137253,TARGET_ERRORS_REACHED
