sourceRowId,caseId,xRaw,yRaw,xPlot,yPlot,isZeroPoint,sourceFile,sourceHash
0,CC-B-R12-H,-5.0,0.46385666666666664,-5.0,0.46385666666666664,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
1,CC-B-R12-H,-4.5,0.44675333333333334,-4.5,0.44675333333333334,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
2,CC-B-R12-H,-4.0,0.4240233333333333,-4.0,0.4240233333333333,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
3,CC-B-R12-H,-3.5,0.39466,-3.5,0.39466,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
4,CC-B-R12-H,-3.0,0.35474,-3.0,0.35474,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
5,CC-B-R12-H,-2.5,0.30251333333333336,-2.5,0.30251333333333336,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
6,CC-B-R12-H,-2.0,0.23899666666666666,-2.0,0.23899666666666666,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
7,CC-B-R12-H,-1.5,0.17021666666666666,-1.5,0.17021666666666666,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
8,CC-B-R12-H,-1.0,0.11000333333333333,-1.0,0.11000333333333333,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
9,CC-B-R12-H,-0.5,0.06375333333333333,-0.5,0.06375333333333333,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
10,CC-B-R12-H,0.0,0.029036,0.0,0.029036,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
11,CC-B-R12-H,0.2,0.021318666666666666,0.2,0.021318666666666666,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
12,CC-B-R12-H,0.4,0.015073333333333333,0.4,0.015073333333333333,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
13,CC-B-R12-H,0.5,0.013373333333333333,0.5,0.013373333333333333,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
14,CC-B-R12-H,0.6,0.010349333333333334,0.6,0.010349333333333334,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
15,CC-B-R12-H,0.8,0.007001333333333333,0.8,0.007001333333333333,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
16,CC-B-R12-H,1.0,0.0045646666666666665,1.0,0.0045646666666666665,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
17,CC-B-R12-H,1.2,0.003022,1.2,0.003022,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
18,CC-B-R12-H,1.4,0.001981333333333333,1.4,0.001981333333333333,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
19,CC-B-R12-H,1.5,0.0015279937791601867,1.5,0.0015279937791601867,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
20,CC-B-R12-H,1.6,0.0012386666666666666,1.6,0.0012386666666666666,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
21,CC-B-R12-H,1.8,0.0007926666666666667,1.8,0.0007926666666666667,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
22,CC-B-R12-H,2.0,0.0005144216473386857,2.0,0.0005144216473386857,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
23,CC-B-R12-H,2.5,0.000150765260286503,2.5,0.000150765260286503,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
24,CC-B-R12-H,3.0,3.866666666666667e-05,3.0,3.866666666666667e-05,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
25,CC-B-R12-H,3.5,9.466666666666667e-06,3.5,9.466666666666667e-06,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
26,CC-B-R12-H,4.0,2.6e-06,4.0,2.6e-06,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
27,CC-B-R12-H,4.5,2.6666666666666667e-07,4.5,2.6666666666666667e-07,NO,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
28,CC-B-R12-H,5.0,0.0,5.0,,YES,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
29,CC-B-R12-H,5.5,0.0,5.5,,YES,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
30,CC-B-R12-H,6.0,0.0,6.0,,YES,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
31,CC-B-R12-H,6.5,0.0,6.5,,YES,stage09_two_level_figure_data_ber.csv,8fff4862717f54475b8148af21e5c4a638c50c143eeb5c28b4c4f27a95b5154d
